,KNTC1 (9735)
ACH-000004,-0.37151897462899997
ACH-000007,-0.7325330139120001
ACH-000009,-0.43668527421400005
ACH-000011,-0.753266970245
ACH-000012,-0.459082317858
ACH-000013,-0.188060910393
ACH-000014,-0.44754885382799997
ACH-000015,-0.457322636745
ACH-000017,-0.681464813011
ACH-000018,-0.45553144680200003
ACH-000019,-0.569567769861
ACH-000021,-0.195058183768
ACH-000022,-0.246615850766
ACH-000025,-0.474861888236
ACH-000028,-0.722783332456
ACH-000030,-0.148821605957
ACH-000035,-0.173221111147
ACH-000036,-0.6713947608509999
ACH-000037,-0.25600272884799996
ACH-000039,-0.585695867801
ACH-000040,-0.354825796584
ACH-000041,-0.5306786140349999
ACH-000042,-0.36981090930699995
ACH-000045,0.18995659183
ACH-000047,-0.416282948035
ACH-000052,-0.09490499612950001
ACH-000053,-0.57334963787
ACH-000054,-0.00670944546851
ACH-000055,-0.591179927746
ACH-000060,-0.163190071489
ACH-000067,-0.00380807235553
ACH-000070,-0.438185334537
ACH-000075,-0.19542230740400002
ACH-000078,-0.586677162824
ACH-000082,-0.021875558407600002
ACH-000085,0.135770124267
ACH-000086,-0.465368087109
ACH-000087,-0.518791740018
ACH-000092,-0.5600569701100001
ACH-000095,-0.8955230644169999
ACH-000097,-0.8591932689730001
ACH-000098,-0.189687405475
ACH-000099,-0.7003964183750001
ACH-000108,-0.461111458978
ACH-000113,-0.225548368261
ACH-000115,-0.22596010413400003
ACH-000116,-0.412754246727
ACH-000118,-0.246271476513
ACH-000120,-0.599449737791
ACH-000123,-0.7640476724959999
ACH-000127,-0.358522676212
ACH-000128,-0.577792643481
ACH-000132,-0.42634807614500003
ACH-000133,-0.6090323905830001
ACH-000137,-0.20393259101599998
ACH-000138,-0.40003752294
ACH-000142,-0.73499540472
ACH-000143,-0.231786084304
ACH-000146,-0.7457845252959999
ACH-000148,-0.426770304885
ACH-000150,-0.364272974973
ACH-000152,-0.443325636954
ACH-000153,-0.929800097633
ACH-000159,-0.337657794815
ACH-000160,-0.222197439872
ACH-000163,-0.6232849790739999
ACH-000167,-0.297311590069
ACH-000168,-0.115156154316
ACH-000169,-0.1754411541
ACH-000178,-0.509266764189
ACH-000182,0.037772603389
ACH-000183,-0.0545796752941
ACH-000188,-0.446627421771
ACH-000189,-0.342987385686
ACH-000190,0.0334629233982
ACH-000198,-0.696258017588
ACH-000204,-0.0254903863779
ACH-000206,-0.319359809344
ACH-000207,-0.0676484622052
ACH-000211,-0.372936583237
ACH-000215,-0.44266993030699997
ACH-000221,-0.304574384975
ACH-000222,-0.820889933097
ACH-000223,-0.44816030393999995
ACH-000226,-0.9981068475660001
ACH-000227,-0.390964524169
ACH-000228,-0.09808759609510001
ACH-000231,-0.49302471383100005
ACH-000232,-0.994676724378
ACH-000233,-0.656205489713
ACH-000234,-0.774345164238
ACH-000235,-0.21464164511599998
ACH-000237,-0.308861169594
ACH-000238,-0.550773109833
ACH-000243,-0.76125547452
ACH-000244,-0.225440333602
ACH-000246,-0.790273338142
ACH-000248,-0.659878266518
ACH-000250,0.0947135068691
ACH-000251,-0.273262912026
ACH-000253,-0.111436993868
ACH-000255,-0.195948565692
ACH-000256,-0.8091395095739999
ACH-000257,-0.28743143166900004
ACH-000258,-0.0546743934929
ACH-000259,-0.210769134547
ACH-000260,-0.34903936773500005
ACH-000261,-0.142505843781
ACH-000262,-0.632961376501
ACH-000263,-0.418713136856
ACH-000264,-0.22946772792599998
ACH-000265,-0.599302658244
ACH-000266,-0.406743294041
ACH-000272,-0.569547849713
ACH-000273,-0.463661385706
ACH-000274,-0.47723033000200005
ACH-000277,-0.0664665431311
ACH-000278,-0.8362186082590001
ACH-000279,-0.747019296179
ACH-000280,-0.37087576542499995
ACH-000281,-0.932644977548
ACH-000288,-0.366873922435
ACH-000291,-0.182988557426
ACH-000293,-0.23504941237
ACH-000294,-0.534851577135
ACH-000295,-0.753595135555
ACH-000296,-0.8221486236710001
ACH-000302,-0.40912818596
ACH-000304,-0.275998342891
ACH-000307,0.00133261933044
ACH-000308,-0.654938830841
ACH-000310,-0.5933393828010001
ACH-000311,-0.299040837165
ACH-000312,-0.49280018224
ACH-000315,-0.448713841382
ACH-000316,-0.330785740478
ACH-000317,-0.22858765732900002
ACH-000318,-0.5129430830380001
ACH-000319,-0.763324248748
ACH-000320,-0.488029970066
ACH-000322,-0.19387826120999999
ACH-000323,-0.271293003466
ACH-000324,-0.842345135978
ACH-000329,-0.11954515884000001
ACH-000330,-0.780206915066
ACH-000331,-0.432839521019
ACH-000332,-0.636339738608
ACH-000334,-0.27469552052499996
ACH-000335,-0.544760003647
ACH-000336,-0.11712930560000001
ACH-000337,-0.14267672617000002
ACH-000339,-0.471740244319
ACH-000341,-0.527939174021
ACH-000348,-0.43230963044799997
ACH-000350,-0.375618021409
ACH-000352,-0.11231816086400001
ACH-000356,-0.329054403045
ACH-000361,-0.17348137156100002
ACH-000362,-0.223300313983
ACH-000363,-0.310481208149
ACH-000364,-0.618517568658
ACH-000365,-0.25591935073399996
ACH-000366,-0.473764873252
ACH-000368,-0.139263281214
ACH-000374,-0.25168199682500003
ACH-000375,-0.8285478635950001
ACH-000376,-0.211550501639
ACH-000381,-0.54290186167
ACH-000383,-0.222986118396
ACH-000387,-0.839134444787
ACH-000389,-0.47221443884900005
ACH-000390,-0.20857505825199998
ACH-000393,-0.0776221260276
ACH-000395,-0.44642756821
ACH-000397,-0.107168192605
ACH-000401,-0.203110530698
ACH-000402,-0.356618000871
ACH-000403,-0.417393213593
ACH-000404,-0.603485558052
ACH-000406,-0.845635147271
ACH-000407,-0.368807170164
ACH-000408,-0.572283641781
ACH-000410,-0.35266349015299997
ACH-000411,-0.266734788878
ACH-000414,-0.255989957887
ACH-000415,-0.574576918776
ACH-000416,-0.24787004035799998
ACH-000420,-0.07200686523989999
ACH-000421,-0.10256745545
ACH-000424,-0.204576872696
ACH-000425,-0.37316279453199996
ACH-000426,-0.07205516998019999
ACH-000427,-0.123043415757
ACH-000433,-0.20033477819
ACH-000436,-0.515581539725
ACH-000444,-0.22987548100000002
ACH-000445,-0.248902621701
ACH-000448,-0.464281391687
ACH-000450,-0.15694989364700002
ACH-000452,-0.703676801744
ACH-000454,-0.63114636221
ACH-000458,-0.24040435988400002
ACH-000459,-1.06591164491
ACH-000460,-0.9027375124729999
ACH-000461,-0.578860773108
ACH-000463,-0.37455141609
ACH-000464,-0.42342874490000004
ACH-000466,-0.14796070475700002
ACH-000467,-0.139286216807
ACH-000468,-1.03381612822
ACH-000469,-0.298901225544
ACH-000470,-0.754959468506
ACH-000471,-0.437179232284
ACH-000472,-0.411927246603
ACH-000473,-0.281412623649
