,CACHD1 (57685)
ACH-000004,-0.0611722816124
ACH-000007,0.0548068485546
ACH-000009,0.111229201167
ACH-000011,0.10470116506100001
ACH-000012,0.0755483178901
ACH-000013,-0.028826395908400002
ACH-000014,0.111893140143
ACH-000015,-0.142684506974
ACH-000017,0.0607785721428
ACH-000018,0.0103280995956
ACH-000019,0.104122826623
ACH-000021,-0.20230802991500002
ACH-000022,-0.0871555087813
ACH-000025,-0.0849015860956
ACH-000028,-0.10653048199
ACH-000030,0.0244724609761
ACH-000035,0.0324800508338
ACH-000036,0.0757661514578
ACH-000037,-0.27960551039299997
ACH-000039,-0.0423217912926
ACH-000040,-0.145596270435
ACH-000041,-0.06305722694919999
ACH-000042,0.0560695890126
ACH-000045,0.13300905387
ACH-000047,0.011449316896
ACH-000052,-0.328223617545
ACH-000053,-0.06319136712380001
ACH-000054,-0.05245445330969999
ACH-000055,-0.0386018546677
ACH-000060,-0.029699750336400002
ACH-000067,0.105335391066
ACH-000070,0.0799771973149
ACH-000075,0.30451806629
ACH-000078,0.0951409997638
ACH-000082,0.0005459260545569999
ACH-000085,0.06974267880639999
ACH-000086,-0.10525423657199999
ACH-000087,0.0998887410588
ACH-000092,-0.0651844165454
ACH-000095,-0.0239297421336
ACH-000097,0.044157743136
ACH-000098,0.042889410356
ACH-000099,0.153529158578
ACH-000108,0.021179769232200003
ACH-000113,-0.0352818782045
ACH-000115,0.197161533799
ACH-000116,-0.009743833220870001
ACH-000118,-0.181272028455
ACH-000120,-0.051583771716900005
ACH-000123,-0.035504234484199995
ACH-000127,-0.024728115558000002
ACH-000128,-0.0562597495201
ACH-000132,0.0471516938299
ACH-000133,0.06389266829469999
ACH-000137,-0.159259194618
ACH-000138,-0.012337427978100002
ACH-000142,0.049860925791999994
ACH-000143,0.0911431088022
ACH-000146,0.0669326637691
ACH-000148,-0.03624144801
ACH-000150,-0.0556393638001
ACH-000152,-0.11481323785599999
ACH-000153,0.0830560809327
ACH-000159,0.034857129294
ACH-000160,0.0430829184403
ACH-000163,0.0127071349177
ACH-000167,0.226480829038
ACH-000168,-0.026041883829900005
ACH-000169,-0.0158033574086
ACH-000178,-0.11457116261700001
ACH-000182,0.144405115936
ACH-000183,-0.045678979331099996
ACH-000188,0.0180843413632
ACH-000189,0.17941035619399998
ACH-000190,0.00172579388028
ACH-000198,-0.11439252156
ACH-000204,-0.0463464807594
