,CLUH (23277)
ACH-000004,-0.12149979909900001
ACH-000007,0.057328454165
ACH-000009,-0.606924361076
ACH-000011,-0.278826625945
ACH-000012,-0.320269148737
ACH-000013,-0.276328338197
ACH-000014,-0.301149352323
ACH-000015,-0.45184142198
ACH-000017,-0.359554543333
ACH-000018,-0.403551327689
ACH-000019,-0.414361865567
ACH-000021,-0.17505880288400003
ACH-000022,-0.208565468102
ACH-000025,-0.28626199380899997
ACH-000028,-0.503381118234
ACH-000030,-0.45330808042099996
ACH-000035,-0.269525944711
ACH-000036,-0.287332823627
ACH-000037,-0.243451141664
ACH-000039,-0.152187856377
ACH-000040,-0.486508019161
ACH-000041,-0.269602449412
ACH-000042,-0.345821345854
ACH-000045,-0.605993046391
ACH-000047,-0.528625600262
ACH-000052,-0.0675069215289
ACH-000053,-0.260251933045
ACH-000054,-0.127750318065
ACH-000055,0.08631746733280002
ACH-000060,-0.501069490404
ACH-000067,-0.308595911869
ACH-000070,-0.484515158005
ACH-000075,-0.271905272458
ACH-000078,-0.401137792485
ACH-000082,-0.645232294569
ACH-000085,-0.129192015933
ACH-000086,-0.30605533883999997
ACH-000087,-0.601294587382
ACH-000092,-0.278626134561
ACH-000095,-0.263663542639
ACH-000097,-0.166780654056
ACH-000098,-0.294926748356
ACH-000099,-0.251829765066
ACH-000108,-0.191624552232
ACH-000113,-0.788106250573
ACH-000115,-0.656530509271
ACH-000116,-0.258762091623
ACH-000118,-0.207681867223
ACH-000120,-0.38405317176799997
ACH-000123,-0.36466982161600003
ACH-000127,-0.0208708554456
ACH-000128,-0.40243626162
ACH-000132,-0.396994609715
ACH-000133,-0.36947667526199995
ACH-000137,-0.278149412617
ACH-000138,-0.279944525966
ACH-000142,-0.334470815135
ACH-000143,-0.418335295105
ACH-000146,-0.303606163294
ACH-000148,-0.386679897012
ACH-000150,-0.23369366932799998
ACH-000152,-0.338345369495
ACH-000153,-0.280163183309
ACH-000159,-0.217324707029
ACH-000160,-0.238750985843
ACH-000163,-0.04242566442580001
ACH-000167,-0.492856452008
ACH-000168,-0.12757922158399998
ACH-000169,-0.479064268322
ACH-000178,-0.23032967840399998
ACH-000182,-0.420110940695
ACH-000183,-0.0017652953695499998
ACH-000188,-0.513430672786
