,CAMKK2 (10645)
ACH-000004,-0.492989950778
ACH-000007,-0.46463979931999994
ACH-000009,-0.420051137002
ACH-000011,-0.448321334191
ACH-000012,-0.269174185394
ACH-000013,-0.418462090392
ACH-000014,-0.287400324662
ACH-000015,-0.351152949911
ACH-000017,-0.330648882444
ACH-000018,-0.14859363557299998
ACH-000019,0.00574807135587
ACH-000021,-0.48280626088699996
ACH-000022,-0.510645723591
ACH-000025,-0.29987363581500004
ACH-000028,-0.278852488836
ACH-000030,-0.192423574663
ACH-000035,-0.280921558281
ACH-000036,-0.248696659591
ACH-000037,-0.24545698350200001
ACH-000039,-0.461274061641
ACH-000040,-0.44988464982799997
ACH-000041,-0.20415493020300002
ACH-000042,-0.45009631813699996
ACH-000045,-0.21874868474800002
ACH-000047,-0.312073114281
ACH-000052,-0.42610982534999997
ACH-000053,-0.29584632061599997
ACH-000054,-0.333630499706
ACH-000055,-0.53755362394
ACH-000060,-0.27522030577
ACH-000067,-0.38654416194799995
ACH-000070,-0.344562000243
ACH-000075,-0.0804165505342
ACH-000078,-0.457768814507
ACH-000082,-0.30325377262
ACH-000085,-0.39559428935
ACH-000086,-0.321702037329
ACH-000087,-0.0696805369829
ACH-000092,-0.364422649687
ACH-000095,-0.4643415403600001
ACH-000097,-0.274213008337
ACH-000098,-0.44945044832500003
ACH-000099,-0.268559388591
ACH-000108,-0.336446827003
ACH-000113,-0.17704104814399999
ACH-000115,-0.405770960303
ACH-000116,-0.30243903798599997
ACH-000118,-0.375207508091
ACH-000120,-0.23457134285599998
ACH-000123,-0.23357057318500002
ACH-000127,-0.245821008517
ACH-000128,-0.665423560996
ACH-000132,-0.39408914664000005
ACH-000133,-0.193835509113
ACH-000137,-0.388184530458
ACH-000138,-0.315568272847
ACH-000142,-0.223824268222
ACH-000143,-0.45418386329899996
ACH-000146,-0.22968282156
ACH-000148,-0.41416298989
ACH-000150,-0.37005766733499995
ACH-000152,-0.44054926617
ACH-000153,-0.285171594293
ACH-000159,-0.20019413864799998
ACH-000160,-0.24867781889499999
ACH-000163,-0.40898554064900006
ACH-000167,-0.58738277205
ACH-000168,-0.0876359112672
ACH-000169,-0.39734048775700004
ACH-000178,-0.251468437584
ACH-000182,-0.297685246992
ACH-000183,-0.44830680876199996
ACH-000188,-0.279577620338
ACH-000189,-0.330362265755
ACH-000190,-0.370796781779
ACH-000198,-0.16734566144500002
ACH-000204,-0.218852500735
ACH-000206,-0.125708266214
ACH-000207,-0.465909874578
ACH-000211,-0.308935873674
ACH-000215,-0.450219025848
ACH-000221,-0.247868547995
ACH-000222,-0.326233049653
ACH-000223,-0.281350496538
ACH-000226,-0.42048328423299997
ACH-000227,-0.431441121907
ACH-000228,-0.350683666816
ACH-000231,-0.34328154643500003
ACH-000232,-0.273843511059
ACH-000233,-0.171512445387
ACH-000234,-0.32911540349199997
ACH-000235,-0.351459416946
ACH-000237,-0.270663110951
ACH-000238,-0.356832496137
ACH-000243,-0.328417293366
ACH-000244,-0.403507382259
ACH-000246,-0.30488287709600004
ACH-000248,-0.398475823133
ACH-000250,-0.381796025883
ACH-000251,-0.38560110667900005
ACH-000253,-0.322328644551
ACH-000255,-0.142021875435
ACH-000256,-0.24220033917599998
ACH-000257,-0.296935149567
ACH-000258,-0.210057730064
ACH-000259,-0.45067565343599997
ACH-000260,-0.38230442565300005
ACH-000261,-0.267843835842
ACH-000262,-0.20802348208299998
ACH-000263,-0.432583834988
ACH-000264,-0.30113012248300003
ACH-000265,-0.296592428708
ACH-000266,-0.34528591045699997
ACH-000272,-0.196835873659
ACH-000273,-0.266346934177
ACH-000274,-0.333326575899
ACH-000277,-0.310565179612
ACH-000278,-0.549513521144
ACH-000279,-0.5155176559100001
ACH-000280,-0.328244323349
ACH-000281,-0.546552500119
ACH-000288,-0.37347028003300003
ACH-000291,-0.382335527135
ACH-000293,-0.45376366281400005
ACH-000294,-0.32877770443000004
ACH-000295,-0.238627008084
ACH-000296,-0.547049863229
ACH-000302,-0.246819789879
ACH-000304,-0.37914404379199995
ACH-000307,-0.47177056247
ACH-000308,-0.250241574503
ACH-000310,-0.34202353467299995
ACH-000311,-0.242118420723
ACH-000312,-0.30668838716499996
ACH-000315,-0.053011044935599994
ACH-000316,-0.265956499655
ACH-000317,-0.370353504005
ACH-000318,-0.37271021438100005
ACH-000319,-0.45278362702799996
ACH-000320,-0.477974760842
ACH-000322,-0.214067447605
ACH-000323,-0.498883331145
ACH-000324,-0.416197888846
ACH-000329,-0.288093817047
ACH-000330,-0.238055586863
ACH-000331,-0.212532235484
ACH-000332,-0.35161107328599994
ACH-000334,-0.16062179138
ACH-000335,-0.554438876898
ACH-000336,-0.678800830652
ACH-000337,-0.5299697926899999
ACH-000339,-0.272785970518
ACH-000341,-0.5296397938490001
ACH-000348,-0.380248992188
ACH-000350,-0.514182882119
ACH-000352,-0.363753259505
ACH-000356,-0.129646393851
ACH-000361,-0.244989636574
ACH-000362,-0.381629191478
ACH-000363,-0.139595928106
ACH-000364,-0.329214311884
ACH-000365,-0.313011238772
ACH-000366,-0.498973170999
ACH-000368,-0.414769276227
ACH-000374,-0.136304571654
ACH-000375,-0.10746046481799999
ACH-000376,-0.310928725407
ACH-000381,-0.56371841009
ACH-000383,-0.265943459742
ACH-000387,-0.254417371629
ACH-000389,-0.288253988731
ACH-000390,-0.411932661066
ACH-000393,-0.445277889735
ACH-000395,-0.290365259503
ACH-000397,-0.261104317667
ACH-000401,-0.349150796328
ACH-000402,-0.16986726297000002
ACH-000403,-0.34351636471999997
ACH-000404,-0.38830410067000004
ACH-000406,-0.242469806681
ACH-000407,-0.376701287685
ACH-000408,-0.47713569050399995
ACH-000410,-0.320902070474
ACH-000411,-0.578400549985
ACH-000414,-0.518439971076
ACH-000415,-0.419884950999
ACH-000416,-0.324277303611
ACH-000420,-0.434065983475
ACH-000421,-0.317404809858
ACH-000424,-0.27081385707899996
ACH-000425,-0.3878536218
ACH-000426,0.0519297084394
ACH-000427,-0.28588531307799997
ACH-000433,-0.363495043913
ACH-000436,-0.431684439247
ACH-000444,-0.50739949175
ACH-000445,-0.43152483576300005
ACH-000448,-0.22900851019699997
ACH-000450,-0.334496843389
ACH-000452,-0.38570186008699997
ACH-000454,-0.240609698879
ACH-000458,-0.29528637067200003
ACH-000459,-0.19211798949499997
ACH-000460,-0.250028301725
ACH-000461,-0.367567131585
ACH-000463,-0.272797979779
ACH-000464,-0.578737061624
ACH-000466,-0.293608046196
ACH-000467,-0.142487156283
ACH-000468,-0.402138912573
ACH-000469,-0.250822152196
ACH-000470,-0.29798766367699997
ACH-000471,-0.367425110237
ACH-000472,-0.260116250517
ACH-000473,-0.15542804750999997
ACH-000475,-0.36005248358099995
ACH-000476,-0.410901952795
ACH-000477,-0.5453910876079999
ACH-000480,-0.386649238731
ACH-000481,-0.434201334876
ACH-000483,-0.441938455208
ACH-000484,-0.264064932194
ACH-000485,-0.59425633024
ACH-000486,-0.210318035836
ACH-000487,-0.289778508011
ACH-000488,-0.249994602428
ACH-000490,-0.349638312231
