,PEA15 (8682)
ACH-000004,0.054148713759900005
ACH-000007,-0.17189054343600002
ACH-000009,-0.107028591885
ACH-000011,0.0132045627666
ACH-000012,-0.052521988859900004
ACH-000013,-0.031560486223499995
ACH-000014,0.161406057126
ACH-000015,0.04521115887280001
ACH-000017,-0.0914585832732
ACH-000018,-0.156157615593
ACH-000019,0.07298679747600001
ACH-000021,0.0283723383074
ACH-000022,-0.0686804445435
ACH-000025,-0.215452918001
ACH-000028,0.031613055764799995
ACH-000030,0.011049322084899999
ACH-000035,-0.0174516712503
ACH-000036,0.0813431637886
ACH-000037,-0.008373386976070001
ACH-000039,-0.0834282245027
ACH-000040,-0.0366821479576
ACH-000041,-0.140865749401
ACH-000042,0.029025241433
ACH-000045,-0.102703575589
ACH-000047,0.0230592246917
ACH-000052,0.00682402627842
ACH-000053,0.0191624837762
ACH-000054,-0.0444828498378
ACH-000055,-0.057052571952999995
ACH-000060,0.04961621454969999
ACH-000067,0.0871272692591
ACH-000070,-0.0175293006981
ACH-000075,-0.166145459835
ACH-000078,0.0627565841833
ACH-000082,-0.16168484731899999
ACH-000085,0.11949065611
ACH-000086,-0.171879071665
ACH-000087,0.43417678689499994
ACH-000092,0.0038436755552399998
ACH-000095,-0.013000697845700002
ACH-000097,0.0883457593376
ACH-000098,-0.0799421755452
ACH-000099,0.0186158194359
ACH-000108,0.09300146237089998
ACH-000113,-0.022803236406200002
ACH-000115,0.17107691977000003
ACH-000116,-0.0261671658679
ACH-000118,-0.11039943590700001
ACH-000120,-0.20746731065000001
ACH-000123,-0.0389472605394
ACH-000127,-0.15361914245
ACH-000128,-0.128064870828
ACH-000132,0.033938615218000005
ACH-000133,0.0135233080394
ACH-000137,0.0193915819611
ACH-000138,-0.0773743157407
ACH-000142,-0.020782279393099998
ACH-000143,0.0269464767205
ACH-000146,0.0307648051262
ACH-000148,-0.014175008335100001
ACH-000150,-0.0882886837354
ACH-000152,0.0231319826295
ACH-000153,0.009688030589159999
ACH-000159,0.0614469914561
ACH-000160,0.0997187366985
ACH-000163,0.0728385428904
ACH-000167,0.00418624741561
ACH-000168,0.203646426883
ACH-000169,-0.341933742975
ACH-000178,-0.11341013787399999
ACH-000182,-0.09294319945969999
ACH-000183,-0.06979395039910001
ACH-000188,-0.159431134189
ACH-000189,0.244681583915
ACH-000190,0.0060474103806199995
ACH-000198,-0.127826382867
ACH-000204,-0.262193881683
ACH-000206,0.122186679915
ACH-000207,-0.0204874641539
ACH-000211,0.0301079115495
ACH-000215,-0.0984455816494
ACH-000221,-0.21096656237300002
ACH-000222,-0.060723480062499995
ACH-000223,-0.107261071221
ACH-000226,-0.18788940754500003
ACH-000227,-0.320758419082
ACH-000228,-0.224312502881
ACH-000231,-0.10396030416400001
ACH-000232,0.0228129340839
ACH-000233,-0.040454364334199994
ACH-000234,-0.17307952917999997
