,CNIH1 (10175)
ACH-000004,-0.000326609688131
ACH-000007,-0.372041855193
ACH-000009,-0.135738875054
ACH-000011,0.133697686851
ACH-000012,-0.265945098276
ACH-000013,-0.279831209202
ACH-000014,-0.156285955113
ACH-000015,-0.20976045740600002
ACH-000017,-0.226055658957
ACH-000018,-0.3662609483
ACH-000019,-0.527566123682
ACH-000021,-0.103273465516
ACH-000022,-0.22465875297
ACH-000025,-0.31142735101
ACH-000028,-0.301396180994
ACH-000030,-0.38491537351800004
ACH-000035,-0.162167947229
ACH-000036,-0.733751841181
ACH-000037,-0.294042252205
ACH-000039,-0.07728413012430001
ACH-000040,-0.38567432540299995
ACH-000041,-0.238830748143
ACH-000042,-0.0437357087746
ACH-000045,-0.195507436514
ACH-000047,-0.270468367356
ACH-000052,-0.21320832769900003
ACH-000053,-0.299451937951
ACH-000054,-0.36065925535099996
ACH-000055,-0.429038039168
ACH-000060,-0.336040782385
ACH-000067,-0.102195422884
ACH-000070,-0.24773437598099998
ACH-000075,-0.435403689355
ACH-000078,-0.35024977712300004
ACH-000082,-0.407429292389
ACH-000085,-0.172096011716
ACH-000086,-0.38389588200999997
ACH-000087,-0.0179439454857
ACH-000092,-0.206070243351
ACH-000095,-0.25325326154399996
ACH-000097,-0.259268585405
ACH-000098,-0.19925647176199998
ACH-000099,-0.262600301789
ACH-000108,-0.27943990360800003
ACH-000113,-0.31759515604899996
ACH-000115,-0.0990800014796
ACH-000116,-0.0338578725765
ACH-000118,-0.26917859039299996
ACH-000120,-0.36930850855999997
ACH-000123,-0.21898048923900001
ACH-000127,-0.191842950462
ACH-000128,-0.325312802921
ACH-000132,-0.0687325452318
ACH-000133,-0.324448822633
ACH-000137,-0.196940242291
ACH-000138,-0.13060044148299998
ACH-000142,0.284401214834
ACH-000143,-0.253399109386
ACH-000146,-0.28117974171300003
ACH-000148,-0.33713263129500004
ACH-000150,-0.35295430083000007
ACH-000152,-0.659429069185
ACH-000153,-0.0129913676942
ACH-000159,-0.229936377143
ACH-000160,-0.238132446177
ACH-000163,-0.650556679958
ACH-000167,-0.337486108891
ACH-000168,-0.243673012159
ACH-000169,-0.19022609961599998
ACH-000178,-0.19939808396400002
ACH-000182,-0.140709240696
ACH-000183,0.0433054990299
ACH-000188,-0.129247080171
ACH-000189,-0.715267106641
ACH-000190,-0.270012084308
ACH-000198,-0.27424082096999997
ACH-000204,-0.249960119996
ACH-000206,0.146646045309
ACH-000207,-0.0387602818294
ACH-000211,-0.237429054566
ACH-000215,-0.232769793361
ACH-000221,-0.0756712797075
ACH-000222,-0.20741662518100001
ACH-000223,-0.301757815657
ACH-000226,-0.142061699161
ACH-000227,-0.317395933727
ACH-000228,-0.252143902127
ACH-000231,-0.322614334931
ACH-000232,-0.20051718617699998
ACH-000233,-0.986069123814
ACH-000234,-0.12311952314300001
ACH-000235,-0.17238884392700002
ACH-000237,-0.125423479966
