,AQP12B (653437)
ACH-000004,-0.08421650130950001
ACH-000007,-0.20696897887000001
ACH-000009,-0.0646846797727
ACH-000011,-0.427433718648
ACH-000012,0.0550835387424
ACH-000013,-0.122981874627
ACH-000014,-0.346475493606
ACH-000015,-0.141740425304
ACH-000017,-0.265025595815
ACH-000018,-0.29830399350000003
ACH-000019,-0.338098931354
ACH-000021,-0.11330594443299999
ACH-000022,-0.500721645475
ACH-000025,-0.0948045328554
ACH-000028,0.0756497201409
ACH-000030,-0.0590910303976
ACH-000035,-0.160727346034
ACH-000036,-0.332561425103
ACH-000037,-0.135882375838
ACH-000039,0.0723263289332
ACH-000040,-0.273304585491
ACH-000041,-0.231910006063
ACH-000042,-0.145998469579
ACH-000045,-0.22503850125100003
ACH-000047,-0.19157394641800002
ACH-000052,-0.254844638261
ACH-000053,-0.287000644067
ACH-000054,-0.47570734266000003
ACH-000055,-0.217117926094
ACH-000060,-0.357947474295
ACH-000067,-0.115489274255
ACH-000070,-0.14416668416099998
ACH-000075,-0.32033187858199996
ACH-000078,-0.22972389938999999
ACH-000082,-0.0970589395098
ACH-000085,0.18127504919100002
ACH-000086,-0.026907183067200004
ACH-000087,-0.110706854551
ACH-000092,-0.23251508385400002
ACH-000095,-0.24826666279100001
ACH-000097,-0.314405678838
ACH-000098,-0.38800527649899996
ACH-000099,-0.228614035993
ACH-000108,-0.24680591960200002
ACH-000113,-0.357524187829
ACH-000115,-0.205777706593
ACH-000116,-0.230812804926
ACH-000118,-0.121001350441
ACH-000120,-0.292736773011
ACH-000123,-0.375995217248
ACH-000127,-0.15696244055
ACH-000128,-0.247897322179
ACH-000132,-0.11373634778200001
ACH-000133,-0.223686382308
ACH-000137,-0.19557724871399998
ACH-000138,-0.140884008556
ACH-000142,-0.21257033351799998
ACH-000143,-0.0916164538182
ACH-000146,-0.258112031159
ACH-000148,-0.197173867037
ACH-000150,-0.480960372839
ACH-000152,-0.117166983861
ACH-000153,-0.469304651712
