,RPGRIP1L (23322)
ACH-000004,0.23980261222399998
ACH-000007,0.419687886657
ACH-000009,0.238271804437
ACH-000011,0.17565622103300002
ACH-000012,0.185418412669
ACH-000013,0.228381962176
ACH-000014,0.16815844391399998
ACH-000015,0.41052820450499994
ACH-000017,0.34961530767899995
ACH-000018,0.18588576281
ACH-000019,0.25503658501800003
ACH-000021,0.306193343231
ACH-000022,0.300275770979
ACH-000025,0.23096925188099998
ACH-000028,0.12128435249399999
ACH-000030,0.290532105279
ACH-000035,0.12522276295600002
ACH-000036,0.262041349895
ACH-000037,0.183760037925
ACH-000039,0.49728316156400004
ACH-000040,0.260993023327
ACH-000041,0.167219888416
ACH-000042,0.244453816941
ACH-000045,0.173193782032
ACH-000047,0.192148403257
ACH-000052,0.0018286242241099997
ACH-000053,0.250209458029
ACH-000054,0.286531775428
ACH-000055,0.335863248821
ACH-000060,0.08028382522460001
ACH-000067,0.328088442771
ACH-000070,0.189301012986
ACH-000075,0.22806190555199998
ACH-000078,0.143022525672
ACH-000082,0.205304436571
ACH-000085,0.21800939584600001
ACH-000086,0.226877293779
ACH-000087,0.233161836455
ACH-000092,0.136785881464
ACH-000095,0.209103793354
ACH-000097,0.219663734815
ACH-000098,0.130027448953
ACH-000099,0.307147320779
ACH-000108,0.282334668781
ACH-000113,0.210080690057
ACH-000115,0.25328538173799997
ACH-000116,0.09334174181330002
ACH-000118,0.230755130381
ACH-000120,0.136571653682
ACH-000123,0.23105969014000002
ACH-000127,0.242170507324
ACH-000128,0.36149163071199997
ACH-000132,0.0654842179376
ACH-000133,0.0784197043754
ACH-000137,0.104176575717
ACH-000138,0.355138163279
ACH-000142,-0.00184798834227
ACH-000143,0.0918328827392
ACH-000146,0.24829995834000002
ACH-000148,0.203706337342
ACH-000150,0.39306136924699997
ACH-000152,0.183134382742
ACH-000153,0.294293643142
ACH-000159,0.240857773019
ACH-000160,0.163422290999
ACH-000163,0.40532140403399997
ACH-000167,0.037540378883000006
ACH-000168,0.370089117206
ACH-000169,0.251643431848
ACH-000178,0.27543388957
ACH-000182,0.295673033284
ACH-000183,0.209709355487
ACH-000188,0.24106269116999998
ACH-000189,0.40777313729599995
ACH-000190,0.280275270949
ACH-000198,0.123564867724
ACH-000204,0.323128210913
ACH-000206,0.118590107443
ACH-000207,0.36765786839299996
ACH-000211,0.166085033014
ACH-000215,0.160929083137
ACH-000221,0.126450789602
ACH-000222,0.24740229647700002
ACH-000223,0.148730994555
ACH-000226,0.17358229035599998
ACH-000227,0.047374300610999995
ACH-000228,0.153224959399
ACH-000231,0.332001696273
ACH-000232,0.251485814219
ACH-000233,0.145268041056
ACH-000234,0.389079147866
ACH-000235,0.194307322366
ACH-000237,0.057542195403699994
ACH-000238,0.345216437245
ACH-000243,0.316581456712
ACH-000244,0.0864683185777
ACH-000246,0.262717368309
ACH-000248,0.00181584211054
ACH-000250,0.27111407260000003
ACH-000251,0.31287449213
ACH-000253,0.119849034581
ACH-000255,0.256445702727
ACH-000256,0.411819520962
ACH-000257,0.250034278746
ACH-000258,0.19163799385699998
ACH-000259,0.273529680161
ACH-000260,0.23853798943399998
ACH-000261,0.146625098783
ACH-000262,0.261290091781
ACH-000263,0.150802836064
ACH-000264,0.142557072683
ACH-000265,0.29787062938700004
ACH-000266,0.22669956196
ACH-000272,0.117197673893
ACH-000273,0.335109099807
ACH-000274,0.336797386084
ACH-000277,0.129016322656
ACH-000278,0.134905271054
ACH-000279,0.177269707581
ACH-000280,0.197695758508
ACH-000281,0.324755582852
ACH-000288,0.20251279803199998
ACH-000291,0.25826366302
ACH-000293,0.40558122818899994
ACH-000294,0.280173333042
ACH-000295,0.211863807051
ACH-000296,0.609100092789
ACH-000302,0.333770834098
ACH-000304,0.30548800667599996
ACH-000307,0.172547771376
ACH-000308,0.283767165782
ACH-000310,0.17296728066199998
ACH-000311,0.313723014872
ACH-000312,0.35021812680500003
ACH-000315,0.214363799867
ACH-000316,0.0679538739075
ACH-000317,0.245045364599
ACH-000318,0.159655389686
ACH-000319,0.314756528636
ACH-000320,0.31155570349399997
ACH-000322,0.0890033075845
ACH-000323,0.302417544567
ACH-000324,0.254055467569
ACH-000329,0.24161223591699998
ACH-000330,0.181335950062
ACH-000331,0.322679608608
ACH-000332,0.234067792243
ACH-000334,0.244223963508
ACH-000335,-0.16818739937199997
ACH-000336,-0.129302680759
ACH-000337,0.23209363444400002
ACH-000339,0.263651900306
ACH-000341,0.07195025190719999
ACH-000348,0.142610266797
ACH-000350,0.27279629567200003
ACH-000352,0.19442584159899998
ACH-000356,0.15795343542
ACH-000361,0.252700681168
ACH-000362,0.288794310153
ACH-000363,0.223127758972
ACH-000364,0.232081221023
ACH-000365,0.21552958230099997
ACH-000366,0.28789461184500004
ACH-000368,0.22640729275199997
ACH-000374,0.28099285202700003
ACH-000375,0.0416954938673
ACH-000376,0.10279755864399999
ACH-000381,0.24181108875399998
ACH-000383,0.167720252628
ACH-000387,0.17157741923
ACH-000389,0.123690295002
ACH-000390,0.21960214980599999
ACH-000393,0.276722219233
ACH-000395,0.336263553707
ACH-000397,0.193998028527
