,RPH3AL (9501)
ACH-000004,0.195544465052
ACH-000007,0.35135878486500005
ACH-000009,0.05914910420009999
ACH-000011,0.157697211936
ACH-000012,0.16825611043900002
ACH-000013,-0.0250755530675
ACH-000014,0.0280329533861
ACH-000015,0.0429154291572
ACH-000017,0.207147484101
ACH-000018,0.353180317622
ACH-000019,0.309998594922
ACH-000021,0.259719208101
ACH-000022,0.170042223714
ACH-000025,0.29439408333
ACH-000028,0.10283201619200001
ACH-000030,0.187798893237
ACH-000035,0.0852047251138
ACH-000036,0.229545399092
ACH-000037,0.25230020881299997
ACH-000039,0.024649734952799998
ACH-000040,0.0238698546081
ACH-000041,0.161071958969
ACH-000042,0.303126687977
ACH-000045,0.0667079880436
ACH-000047,0.167977712398
ACH-000052,0.44092763729900003
ACH-000053,0.05451207085030001
ACH-000054,0.146189619397
ACH-000055,-0.0221235547193
ACH-000060,0.0763113742261
ACH-000067,0.111568669024
ACH-000070,0.240283288909
ACH-000075,0.221185845067
ACH-000078,0.161626669132
ACH-000082,0.19967339296300002
ACH-000085,0.04412328395909999
ACH-000086,0.213489326266
ACH-000087,-0.273480792729
ACH-000092,0.252302093937
ACH-000095,0.0264643325177
ACH-000097,0.103942482857
ACH-000098,0.229671262507
ACH-000099,0.04934832014280001
ACH-000108,0.194048328331
ACH-000113,0.346996903671
ACH-000115,0.125630394286
ACH-000116,0.222640701352
ACH-000118,0.186170788692
ACH-000120,0.0122503023556
ACH-000123,0.186785736683
ACH-000127,0.131055190629
ACH-000128,0.215067703336
ACH-000132,0.0651762301083
ACH-000133,0.0728058113194
ACH-000137,0.0920139312
ACH-000138,0.226681835456
ACH-000142,0.0862937604656
ACH-000143,0.163555527327
ACH-000146,0.20863567188999999
ACH-000148,0.13083889097999998
ACH-000150,0.011781021291100001
ACH-000152,0.146804611015
ACH-000153,0.0440535329247
ACH-000159,0.251112501659
ACH-000160,0.297693025435
ACH-000163,0.182859741363
ACH-000167,0.0321962224456
ACH-000168,-0.0395165951058
ACH-000169,0.108752062073
ACH-000178,0.281914217797
ACH-000182,0.277294366015
ACH-000183,0.20426436493
ACH-000188,0.100759471757
ACH-000189,-0.040303348653000004
ACH-000190,0.186929264412
ACH-000198,0.240694976952
ACH-000204,0.135792236648
ACH-000206,0.504291724723
ACH-000207,0.271353928913
ACH-000211,0.147471558901
ACH-000215,0.028996721501099998
ACH-000221,-0.00374336416701
ACH-000222,0.187500243869
ACH-000223,0.22411302972600003
ACH-000226,0.130240274933
ACH-000227,0.17835329177700002
ACH-000228,0.20542372203899997
ACH-000231,0.0548599398752
ACH-000232,0.127457731074
ACH-000233,0.21191599959000001
