,AURKA (6790)
ACH-000004,-1.31075877566
ACH-000007,-1.20568834632
ACH-000009,-0.752027253802
ACH-000011,-1.02256910126
ACH-000012,-1.065617365
ACH-000013,-0.87687789954
ACH-000014,-1.15965655213
ACH-000015,-1.25778892655
ACH-000017,-0.886927604614
ACH-000018,-1.0210283100700002
ACH-000019,-1.15934800017
ACH-000021,-1.39647348894
ACH-000022,-0.981008079878
ACH-000025,-1.22901845541
ACH-000028,-1.17033239654
ACH-000030,-1.45004608264
ACH-000035,-0.8700387731370001
ACH-000036,-1.10516249244
ACH-000037,-1.5741572106200001
ACH-000039,-1.08389619553
ACH-000040,-1.3265969321100002
ACH-000041,-1.03811172505
ACH-000042,-1.0547051964
ACH-000045,-1.2039729877399998
ACH-000047,-1.34063285244
ACH-000052,-1.4362412891299998
ACH-000053,-1.4470210666
ACH-000054,-1.3209674731299998
ACH-000055,-1.1564189576200001
ACH-000060,-1.0865592730700002
ACH-000067,-1.4179252734099999
ACH-000070,-1.15825046501
ACH-000075,-1.3915368111300002
ACH-000078,-1.32428979719
ACH-000082,-1.06747973154
ACH-000085,-0.943628264864
ACH-000086,-1.2483606416500002
ACH-000087,-1.09260908355
ACH-000092,-0.925370337512
ACH-000095,-1.16579782465
ACH-000097,-1.45187476026
ACH-000098,-1.54558910194
ACH-000099,-1.206352475
ACH-000108,-1.21787448079
ACH-000113,-1.23620570085
ACH-000115,-2.02136035978
ACH-000116,-1.51271230362
ACH-000118,-1.18278435561
ACH-000120,-1.2132659574
ACH-000123,-1.5171327422999998
ACH-000127,-0.7268361237209999
ACH-000128,-1.3790815627500002
ACH-000132,-1.01092008382
ACH-000133,-1.52993942803
ACH-000137,-1.2268742535400001
ACH-000138,-1.05861403974
ACH-000142,-0.722140386172
ACH-000143,-0.899724734055
ACH-000146,-1.2752501779799998
ACH-000148,-1.47378344782
ACH-000150,-1.35063160474
ACH-000152,-1.4546381721200001
ACH-000153,-1.2857512662000001
ACH-000159,-1.07232606656
ACH-000160,-1.3660106970700001
ACH-000163,-1.33178453376
ACH-000167,-1.09484923664
ACH-000168,-1.23632081987
ACH-000169,-1.0850902994
ACH-000178,-1.08004276397
ACH-000182,-1.19470361016
ACH-000183,-1.21916425986
ACH-000188,-1.0636222117899998
ACH-000189,-1.17547991228
ACH-000190,-1.2091941673200002
ACH-000198,-1.32299811559
ACH-000204,-1.2464460608399999
ACH-000206,-0.911561958182
ACH-000207,-1.55847685767
ACH-000211,-1.41871505905
ACH-000215,-1.12075064022
ACH-000221,-1.33146739404
ACH-000222,-1.03030677134
ACH-000223,-1.12737641335
ACH-000226,-1.22474788104
ACH-000227,-1.5444744906999999
ACH-000228,-1.583116789
ACH-000231,-1.23619853028
ACH-000232,-1.232349631
ACH-000233,-1.0113404190200002
ACH-000234,-1.16923610087
ACH-000235,-1.00142562763
ACH-000237,-1.21197273852
ACH-000238,-1.07428117964
ACH-000243,-1.0931837812799998
ACH-000244,-1.54348994676
ACH-000246,-1.17862425332
ACH-000248,-1.18702865101
ACH-000250,-0.76144626531
ACH-000251,-0.7288359103000001
ACH-000253,-1.07362243049
ACH-000255,-1.12173719018
ACH-000256,-0.93740634168
ACH-000257,-1.12074298402
ACH-000258,-1.3618447712900001
ACH-000259,-1.1426131244700002
ACH-000260,-1.26398743247
ACH-000261,-1.50143702494
ACH-000262,-1.2317074195200002
ACH-000263,-1.4214517927399999
ACH-000264,-1.49539727629
ACH-000265,-1.1540559732
ACH-000266,-1.27044976631
ACH-000272,-1.10978451662
ACH-000273,-1.3216260512
ACH-000274,-1.43951838852
ACH-000277,-1.31072056464
ACH-000278,-1.0763929661799998
ACH-000279,-1.1695858913500001
ACH-000280,-1.18383016431
ACH-000281,-1.01153653767
ACH-000288,-1.02898768043
ACH-000291,-1.42035237637
ACH-000293,-1.02193346741
ACH-000294,-1.2908530162899998
ACH-000295,-1.3890997863999999
ACH-000296,-1.50935060196
ACH-000302,-1.19631910146
ACH-000304,-1.06115373355
ACH-000307,-1.0609645695999999
ACH-000308,-1.08320518681
ACH-000310,-1.3782865290000001
ACH-000311,-1.10706574896
ACH-000312,-1.2323302425700002
ACH-000315,-1.12145112109
ACH-000316,-1.23492033465
ACH-000317,-0.727309372067
ACH-000318,-1.0426534422
ACH-000319,-1.2999546499099999
ACH-000320,-1.13182725263
ACH-000322,-1.3417969650900001
ACH-000323,-1.04523043682
ACH-000324,-1.01866167963
ACH-000329,-1.32388221276
ACH-000330,-1.0126473177500002
ACH-000331,-1.15462557134
ACH-000332,-1.19416094932
ACH-000334,-1.3297757052799999
ACH-000335,-1.0105460636599999
ACH-000336,-1.37505267348
ACH-000337,-1.03284375517
ACH-000339,-1.0461602074299998
ACH-000341,-1.20987714105
ACH-000348,-1.34576763379
ACH-000350,-1.25976614718
ACH-000352,-1.10553984701
ACH-000356,-1.13256100859
ACH-000361,-1.13336898934
ACH-000362,-1.25344020342
ACH-000363,-1.34592690532
ACH-000364,-1.28789471936
ACH-000365,-1.17470902771
ACH-000366,-1.32654518299
ACH-000368,-1.2232975680299998
ACH-000374,-0.8813352527420001
ACH-000375,-1.1117871451399999
ACH-000376,-1.32870926054
ACH-000381,-1.2989262511
ACH-000383,-1.24891811931
ACH-000387,-1.2373193958
ACH-000389,-0.988442000546
ACH-000390,-1.16293783434
ACH-000393,-1.06160034118
ACH-000395,-1.57048007731
ACH-000397,-0.9525108733319999
ACH-000401,-0.861763714615
ACH-000402,-0.776995251516
ACH-000403,-1.38341260083
ACH-000404,-1.3514596345299998
ACH-000406,-1.12363311545
ACH-000407,-1.15978684834
ACH-000408,-1.0328838839499999
ACH-000410,-1.04484506984
ACH-000411,-1.25175608999
ACH-000414,-1.1625469736799998
ACH-000415,-0.9873439226180001
ACH-000416,-0.9972884907969999
ACH-000420,-1.32300922863
ACH-000421,-1.08196303485
ACH-000424,-1.29598250086
ACH-000425,-1.0570928906100001
ACH-000426,-1.00132442684
ACH-000427,-1.31350493847
ACH-000433,-1.2621487387299999
ACH-000436,-1.2330945666600002
ACH-000444,-1.0244720084999999
ACH-000445,-0.8958211627830001
ACH-000448,-1.01568848384
ACH-000450,-0.8662017445899999
ACH-000452,-0.8967533995550001
ACH-000454,-0.9691338736409999
ACH-000458,-1.11041661456
ACH-000459,-0.8507857623459999
ACH-000460,-0.974983354779
ACH-000461,-1.85527411229
ACH-000463,-1.15844339666
ACH-000464,-1.21312074296
ACH-000466,-1.11221993858
ACH-000467,-1.1902951151899999
ACH-000468,-1.33366334404
ACH-000469,-1.6985578237399999
ACH-000470,-1.22298071218
ACH-000471,-1.16681419096
ACH-000472,-1.08112828346
ACH-000473,-0.8977887869069999
ACH-000475,-1.05173194814
ACH-000476,-1.0970568027399998
ACH-000477,-0.8391046203139999
ACH-000480,-1.03420424985
ACH-000481,-1.02095128998
ACH-000483,-0.9114404606409999
ACH-000484,-1.51659788556
ACH-000485,-1.3458324398600001
ACH-000486,-1.18954008719
ACH-000487,-1.1814045124700001
ACH-000488,-1.27804245746
ACH-000490,-1.21825362292
ACH-000491,-1.26014799476
ACH-000495,-1.0448778780799999
ACH-000496,-1.3479087204499998
ACH-000499,-1.2451846841399998
ACH-000500,-0.650247858849
ACH-000502,-0.7840517268230001
ACH-000503,-1.0571023246
ACH-000505,-0.7984372364810001
ACH-000507,-0.994920035536
ACH-000510,-1.4324458343000002
ACH-000511,-1.2072525004
ACH-000512,-1.34372150846
ACH-000516,-1.46491884618
ACH-000517,-1.1906173658499999
ACH-000518,-0.790303184886
ACH-000520,-1.21093436252
ACH-000521,-1.3843476937299999
ACH-000522,-1.2836553094399998
ACH-000524,-1.19304959555
ACH-000527,-1.31977786515
ACH-000528,-1.21798049681
ACH-000537,-1.22094755092
ACH-000541,-1.7644037172999998
ACH-000542,-1.0829086416
ACH-000544,-1.0653809891500001
ACH-000545,-1.1093173126
ACH-000547,-1.15853151223
ACH-000548,-1.16109408032
ACH-000549,-1.05844378931
ACH-000550,-1.0424639477200002
ACH-000552,-1.08823157782
ACH-000556,-0.902447041373
ACH-000557,-1.5176595726100002
ACH-000570,-1.2308233369200001
ACH-000571,-1.16761675441
ACH-000573,-1.3091817857799999
ACH-000576,-0.8947972520890001
ACH-000580,-1.2410263890200002
ACH-000584,-1.16288943426
ACH-000585,-1.30509491505
ACH-000588,-1.07658256433
ACH-000589,-1.52336191142
ACH-000591,-0.988737840393
ACH-000593,-0.922305787621
ACH-000600,-1.2470467958
ACH-000601,-1.2223405109899999
ACH-000604,-1.5278170365700001
ACH-000605,-1.21474256666
ACH-000606,-1.10666143584
ACH-000608,-1.4997182066899999
ACH-000614,-1.30609923061
ACH-000616,-1.1114342711
ACH-000618,-0.830958937805
ACH-000619,-0.99206969748
ACH-000620,-0.948703832727
ACH-000621,-1.17122002662
ACH-000622,-1.38160509468
ACH-000623,-1.4582374356
ACH-000624,-1.1544169181200001
ACH-000627,-1.69585962877
ACH-000630,-0.964610036949
ACH-000632,-1.08224008348
ACH-000633,-1.15126446951
ACH-000637,-0.853529156259
ACH-000638,-1.1824040647399998
ACH-000646,-1.30151054401
ACH-000647,-1.1521035618100002
ACH-000648,-0.970800266008
