,POLL (27343)
ACH-000004,-0.209323139168
ACH-000007,-0.28445953972800003
ACH-000009,-0.339496400822
ACH-000011,-0.214667796428
ACH-000012,-0.15180015287
ACH-000013,-0.176653340894
ACH-000014,-0.21392616811299997
ACH-000015,-0.253880584615
ACH-000017,-0.208370981978
ACH-000018,-0.25685420956
ACH-000019,0.0116958762397
ACH-000021,-0.00611139947453
ACH-000022,-0.13710434237
ACH-000025,-0.08475073681610001
ACH-000028,-0.275491274662
ACH-000030,-0.243122467261
ACH-000035,-0.144541295804
ACH-000036,-0.00853534195369
ACH-000037,0.07698370906489999
ACH-000039,-0.0594861262849
ACH-000040,-0.198638823785
ACH-000041,-0.211779417854
ACH-000042,-0.142073474878
ACH-000045,-0.196715758312
ACH-000047,-0.005584140411
ACH-000052,-0.134262274307
ACH-000053,-0.10081542448400001
ACH-000054,-0.172933322795
ACH-000055,-0.401681442851
ACH-000060,-0.054019406574499995
ACH-000067,-0.234354260847
ACH-000070,-0.0859343317871
ACH-000075,-0.128363276867
ACH-000078,-0.125275595139
ACH-000082,-0.202831106477
ACH-000085,0.00804239721395
ACH-000086,-0.084578256152
ACH-000087,-0.225486856235
ACH-000092,-0.033677716079799996
ACH-000095,-0.13653256542199999
ACH-000097,-0.146217475561
ACH-000098,-0.19443220455200003
ACH-000099,-0.31907011167300003
ACH-000108,-0.0610805800921
ACH-000113,-0.0448589324034
ACH-000115,-0.205344094412
ACH-000116,-0.0920506624908
ACH-000118,-0.22280981759399998
ACH-000120,-0.20217301837
ACH-000123,-0.272872151107
ACH-000127,-0.179501783664
ACH-000128,-0.184044599783
ACH-000132,-0.18879939601100001
ACH-000133,-0.07727272615669999
ACH-000137,-0.030180079802200003
ACH-000138,-0.151401835802
ACH-000142,0.0759325411057
ACH-000143,-0.0407909231234
ACH-000146,-0.0275984537572
ACH-000148,-0.44064980261299996
ACH-000150,-0.132662472
ACH-000152,-0.24943445143000004
ACH-000153,-0.0658975476675
ACH-000159,-0.225484147991
ACH-000160,-0.304560173882
ACH-000163,-0.139911669079
ACH-000167,-0.234555125902
ACH-000168,-0.0792137688984
ACH-000169,-0.32670564484000003
ACH-000178,-0.117567587817
ACH-000182,-0.199337641648
ACH-000183,-0.0707567110985
ACH-000188,-0.15643225033
ACH-000189,-0.52514185324
ACH-000190,-0.314276180215
ACH-000198,-0.191973932875
ACH-000204,-0.0367082366075
ACH-000206,0.020039459898
ACH-000207,-0.08232783372010001
ACH-000211,-0.265729638222
ACH-000215,-0.108660554371
ACH-000221,-0.056018211902
ACH-000222,-0.0210823915632
ACH-000223,-0.0795249859541
ACH-000226,-0.0320503726517
ACH-000227,-0.35873535677
ACH-000228,-0.19005042607500003
ACH-000231,-0.266898617424
ACH-000232,-0.18264345197299997
ACH-000233,-0.20057084321199997
ACH-000234,-0.09394652013299999
ACH-000235,-0.18136195981
ACH-000237,-0.21239307467399998
ACH-000238,-0.10196744862
ACH-000243,-0.21892195919500002
ACH-000244,0.0324300267446
ACH-000246,-0.11558776817399999
ACH-000248,-0.258968413454
ACH-000250,-0.156009741873
ACH-000251,0.137572076035
ACH-000253,-0.130301829617
ACH-000255,-0.24757742320599999
ACH-000256,-0.154447457479
ACH-000257,0.155033822678
ACH-000258,-0.0960566610144
ACH-000259,-0.122456927865
ACH-000260,0.060365147234300004
ACH-000261,-0.207578517806
ACH-000262,-0.37473660438600004
ACH-000263,0.251237889557
ACH-000264,-0.30020287724800004
ACH-000265,-0.273219252905
ACH-000266,-0.175314611826
ACH-000272,-0.0763475446959
ACH-000273,-0.168718454298
ACH-000274,-0.149027973325
ACH-000277,-0.122362676987
ACH-000278,-0.254417362486
ACH-000279,-0.11678713990299999
ACH-000280,-0.252481329962
ACH-000281,-0.27744173500700003
ACH-000288,-0.128425994549
ACH-000291,-0.21339080138799998
ACH-000293,-0.433150221986
ACH-000294,-0.49012443855800003
ACH-000295,-0.141338367478
ACH-000296,-0.190259295692
ACH-000302,-0.158976554347
ACH-000304,-0.266282958302
ACH-000307,-0.237807673167
ACH-000308,-0.10094285531300001
ACH-000310,-0.206021295421
ACH-000311,-0.148521480199
ACH-000312,-0.147226528369
ACH-000315,-0.281414107893
ACH-000316,0.0122950264643
ACH-000317,-0.269669447765
ACH-000318,-0.316777441261
ACH-000319,-0.123261011302
ACH-000320,-0.17440653758000002
ACH-000322,-0.221312913361
ACH-000323,-0.0918995207252
ACH-000324,-0.269986048448
ACH-000329,-0.16320550220799998
ACH-000330,-0.24591007145799998
ACH-000331,-0.059416569999199996
ACH-000332,-0.205340930332
ACH-000334,-0.35801536572899995
ACH-000335,-0.151480646602
ACH-000336,-0.23781604720600003
ACH-000337,-0.187679471274
ACH-000339,-0.221788653527
ACH-000341,-0.276952913594
ACH-000348,-0.18889035526099998
ACH-000350,-0.27070545552700004
ACH-000352,-0.198832449179
ACH-000356,-0.191216058055
ACH-000361,-0.195548419034
ACH-000362,-0.06304079239230001
ACH-000363,-0.071772881818
ACH-000364,-0.165384118375
ACH-000365,-0.17051837978
ACH-000366,-0.245556846737
ACH-000368,-0.25990320302700004
ACH-000374,-0.257559425227
ACH-000375,-0.10385659110300001
ACH-000376,-0.127140761228
ACH-000381,-0.228090820216
ACH-000383,-0.192910931323
ACH-000387,-0.341837716489
ACH-000389,-0.017864969633099997
ACH-000390,-0.110716099627
ACH-000393,-0.158674970862
ACH-000395,-0.41584115502400004
ACH-000397,0.0025405230240100004
ACH-000401,-0.103110347471
ACH-000402,0.709571085866
ACH-000403,-0.183909609625
ACH-000404,-0.0722498432207
ACH-000406,-0.22805564720600002
ACH-000407,-0.316829256138
ACH-000408,-0.130079743909
ACH-000410,-0.100691121125
ACH-000411,-0.12613358775699998
ACH-000414,-0.116658420843
ACH-000415,-0.293756221996
ACH-000416,-0.102238623288
ACH-000420,-0.219659868668
ACH-000421,-0.22042387108699998
ACH-000424,-0.14990757466600002
ACH-000425,-0.25869468129900003
ACH-000426,-0.0318846747458
ACH-000427,-0.204638061017
ACH-000433,-0.07611898004420001
ACH-000436,-0.41771634041199995
ACH-000444,-0.0173561480294
ACH-000445,0.028825895958500002
ACH-000448,-0.200569035807
ACH-000450,0.184858610136
ACH-000452,-0.319252230005
ACH-000454,-0.149814117139
ACH-000458,-0.165814779488
ACH-000459,0.0377667432365
ACH-000460,-0.0860067383805
ACH-000461,-0.06310497705149999
ACH-000463,-0.153348196408
ACH-000464,-0.251751241105
ACH-000466,-0.174419737227
ACH-000467,-0.0931737051917
ACH-000468,-0.26081524343
ACH-000469,-0.115291665992
ACH-000470,-0.213640938686
ACH-000471,-0.07664609012510001
ACH-000472,-0.201426208127
ACH-000473,-0.06792414042759999
ACH-000475,-0.126300973563
ACH-000476,-0.14567352139599998
ACH-000477,-0.0991951287201
ACH-000480,-0.014345320498600002
ACH-000481,-0.331993833661
ACH-000483,-0.32191168476
ACH-000484,-0.17744085690000003
ACH-000485,-0.225606827295
ACH-000486,-0.153872462957
ACH-000487,-0.39916500448299996
ACH-000488,-0.015918937697299997
ACH-000490,-0.170715031613
ACH-000491,-0.273943578546
ACH-000495,-0.34512732540799995
ACH-000496,-0.26246466006999997
ACH-000499,-0.27461064543
ACH-000500,-0.160923732602
ACH-000502,-0.07427209280489999
ACH-000503,-0.312708693349
ACH-000505,-0.17553512827
ACH-000507,-0.139565012777
ACH-000510,-0.24128356419799998
ACH-000511,-0.272521760619
ACH-000512,-0.10638479656500001
ACH-000516,-0.09571919037110001
ACH-000517,-0.191575176917
ACH-000518,-0.163778854786
ACH-000520,-0.07878565003139999
ACH-000521,-0.17450130205400002
ACH-000522,-0.027735157211299998
ACH-000524,-0.127628053104
ACH-000527,-0.22258428866500002
ACH-000528,-0.26090065747900004
ACH-000537,-0.0877033408677
ACH-000541,-0.35774555342200004
ACH-000542,-0.22097992998500002
ACH-000544,-0.126020248947
ACH-000545,-0.18519414000599999
ACH-000547,-0.155677311759
ACH-000548,-0.112014032534
ACH-000549,-0.147517294189
ACH-000550,-0.289208913538
ACH-000552,-0.12202328990700001
ACH-000556,-0.112145555576
ACH-000557,-0.40419047511999995
ACH-000570,-0.254865603975
ACH-000571,-0.10597244527699999
ACH-000573,-0.3006801812
ACH-000576,-0.245655796028
ACH-000580,-0.0887857097023
ACH-000584,-0.217624390818
ACH-000585,-0.162598116709
