,TAL1 (6886)
ACH-000004,-0.117818020625
ACH-000007,-0.14945239053200002
ACH-000009,-0.157528648184
ACH-000011,-0.054027408103599996
ACH-000012,-0.129841486409
ACH-000013,-0.31202421508
ACH-000014,-0.019052835091400003
ACH-000015,-0.134468493435
ACH-000017,-0.164670661587
ACH-000018,-0.247340292786
ACH-000019,-0.0809319504595
ACH-000021,-0.050748673656699994
ACH-000022,-0.0986627942691
ACH-000025,-0.0594424191273
ACH-000028,-0.0656346614602
ACH-000030,-0.050507759145
ACH-000035,-0.273627284771
ACH-000036,-0.0452321211841
ACH-000037,-0.228160513536
ACH-000039,0.212878527388
ACH-000040,-0.121260653464
ACH-000041,-0.0972410882869
ACH-000042,-0.0770407129453
ACH-000045,0.09890550496960002
ACH-000047,-0.250784014587
ACH-000052,0.0401575176445
ACH-000053,-0.025931447535200002
ACH-000054,-0.213400299003
ACH-000055,-0.00121425261879
ACH-000060,-0.141801375556
ACH-000067,-0.159080910421
ACH-000070,-0.0444697960657
ACH-000075,0.079648469528
ACH-000078,-0.048998249293499996
ACH-000082,0.0592596099071
ACH-000085,-0.0100727022945
ACH-000086,-0.173050204831
ACH-000087,-0.255359310789
ACH-000092,-0.20667813458599998
ACH-000095,-0.0695219033963
ACH-000097,-0.10930932186799999
ACH-000098,-0.11404498704000002
ACH-000099,0.0200762877103
ACH-000108,-0.32045235414900003
ACH-000113,-0.20142478515599999
ACH-000115,-0.06881568577560002
ACH-000116,-0.0337957981457
ACH-000118,-0.093249579741
ACH-000120,-0.171220692683
ACH-000123,-0.0267970470157
ACH-000127,-0.132245663742
ACH-000128,0.0151009505458
ACH-000132,-0.119065708097
ACH-000133,-0.0823546484735
ACH-000137,-0.09470878559210001
ACH-000138,-0.10221765704399999
ACH-000142,-0.18086081634799997
ACH-000143,-0.25895843811
ACH-000146,-0.202095933676
ACH-000148,-0.0639907785284
ACH-000150,-0.218173689841
ACH-000152,-0.262776396054
ACH-000153,-0.27005672123700003
ACH-000159,-0.0206736118892
ACH-000160,0.133795848685
ACH-000163,-0.0649180359293
ACH-000167,0.0667075840417
ACH-000168,-0.0671761709353
ACH-000169,-0.170935043747
ACH-000178,-0.07081309572089999
ACH-000182,0.047351710216899996
ACH-000183,-0.08279213608489999
ACH-000188,-0.339128129111
ACH-000189,-0.306154664168
ACH-000190,0.28531928794399997
ACH-000198,-0.20334339431600001
ACH-000204,-0.142701118088
ACH-000206,0.0504813772056
ACH-000207,-0.26755072366099997
ACH-000211,0.18269440321400002
ACH-000215,-0.21762430801600002
ACH-000221,-0.282172200466
ACH-000222,-0.277367766759
ACH-000223,-0.199546508903
ACH-000226,-0.0179111763072
ACH-000227,0.105087309026
ACH-000228,-0.167034124756
ACH-000231,-0.0712904128483
ACH-000232,0.0311385682295
ACH-000233,-0.0384109227386
ACH-000234,0.129990996827
