,FDX1 (2230)
ACH-000004,-0.577885447814
ACH-000007,-0.445360488228
ACH-000009,-0.217064264111
ACH-000011,-0.395988735744
ACH-000012,-0.38769038054399996
ACH-000013,-0.491417024335
ACH-000014,-0.440651438231
ACH-000015,-0.287530380455
ACH-000017,-0.508396947561
ACH-000018,-0.6197463444910001
ACH-000019,-0.743625693568
ACH-000021,-0.365044265929
ACH-000022,-0.45627699148199996
ACH-000025,-0.40271488334
ACH-000028,-0.7696446906829999
ACH-000030,-0.31404990293
ACH-000035,-0.192712490042
ACH-000036,-0.23533560335700002
ACH-000037,-0.389264967275
ACH-000039,-0.36683974676200004
ACH-000040,-0.344737986458
ACH-000041,-0.403803987507
ACH-000042,-0.5610722612960001
ACH-000045,-0.400900656302
ACH-000047,-0.7945202238369999
ACH-000052,-0.0110005835335
ACH-000053,-0.768930518685
ACH-000054,-0.5401356911949999
ACH-000055,-0.586512614873
ACH-000060,-0.44259620252899995
ACH-000067,-0.0445043684583
ACH-000070,-0.63457167334
ACH-000075,-0.316323804848
ACH-000078,-0.501549493551
ACH-000082,-0.5101259806289999
ACH-000085,-0.511780792805
ACH-000086,-0.41445045643
ACH-000087,-0.595769140241
ACH-000092,-0.485346350217
ACH-000095,-0.190456521965
ACH-000097,-0.418786036905
ACH-000098,-0.30028436383
ACH-000099,-0.393826885921
ACH-000108,-0.6936363711839999
ACH-000113,-0.720969906453
ACH-000115,-0.39563617414
ACH-000116,-0.43591359196400004
ACH-000118,-0.8465504336040001
ACH-000120,-0.44521725328100004
ACH-000123,-0.061330645129300004
ACH-000127,-0.315429725
ACH-000128,-0.519555529743
ACH-000132,-0.265109529738
ACH-000133,-0.186312411446
ACH-000137,-0.484879741852
ACH-000138,-0.516841178816
ACH-000142,-0.5156965149180001
ACH-000143,-0.29174075214
ACH-000146,-0.38367198071900005
ACH-000148,-0.363253874372
ACH-000150,-0.246707695073
ACH-000152,-0.273683960013
ACH-000153,-0.8171077505869999
ACH-000159,-0.50684313633
ACH-000160,-0.65895881827
ACH-000163,-0.2759413773
ACH-000167,-0.11252813450600001
ACH-000168,-0.388508145899
ACH-000169,-0.194018554301
ACH-000178,-0.503042218385
ACH-000182,-0.7051867611220001
ACH-000183,-0.308562091358
ACH-000188,-0.316398658466
ACH-000189,-0.36762545522600004
ACH-000190,-0.334255269996
ACH-000198,-0.6629579147569999
ACH-000204,-0.7207655312669999
ACH-000206,-0.25226829652
ACH-000207,-0.45533621922600004
ACH-000211,-0.292374587411
ACH-000215,-0.502120174921
ACH-000221,-0.363905732473
ACH-000222,-0.796388751077
ACH-000223,-0.291462772377
ACH-000226,-0.38861556887500004
ACH-000227,-0.307190714504
ACH-000228,-0.544189232169
ACH-000231,-0.387537275159
ACH-000232,-0.279260125442
ACH-000233,-0.358811369608
ACH-000234,-0.400320383345
ACH-000235,-0.601048127924
ACH-000237,-0.304977556857
ACH-000238,-0.462997494397
ACH-000243,-0.360487043113
ACH-000244,-0.8729685404620001
ACH-000246,-0.6786129178650001
ACH-000248,-0.410816799538
ACH-000250,-0.305717509085
ACH-000251,-0.504110985599
ACH-000253,-0.622637014622
ACH-000255,-0.52088464709
ACH-000256,-0.332247566685
ACH-000257,-0.385045327808
ACH-000258,-0.405309712485
ACH-000259,-0.609619965295
ACH-000260,-0.26654740123799997
ACH-000261,-0.5593561836609999
ACH-000262,-0.445797234649
ACH-000263,-0.288000854557
ACH-000264,-0.59075323353
ACH-000265,-0.43908056755
ACH-000266,-0.489534744907
ACH-000272,-0.511737312606
ACH-000273,-0.373793792396
ACH-000274,-0.442832174199
ACH-000277,-0.940920401039
ACH-000278,-0.21768094339400001
ACH-000279,-0.28467466850400003
ACH-000280,-0.16724127046099999
ACH-000281,-0.22066642675999998
ACH-000288,-0.319477233739
ACH-000291,-0.481960563398
ACH-000293,-0.404618660197
ACH-000294,-0.45338404183200004
ACH-000295,-0.7076549937190001
ACH-000296,0.16111207247
ACH-000302,0.027854207994400002
ACH-000304,-0.902576810874
ACH-000307,-0.321164774971
ACH-000308,-0.47788458958700003
ACH-000310,-0.0522907543259
ACH-000311,-0.618167575355
ACH-000312,-0.638332265047
ACH-000315,-0.32319510969099996
ACH-000316,-0.649514587289
ACH-000317,-0.521471125235
ACH-000318,-0.341575478652
ACH-000319,-0.38429557803900005
ACH-000320,-0.211763832834
ACH-000322,-0.913189347281
ACH-000323,-0.588993032695
ACH-000324,-0.31627081457199996
ACH-000329,-0.596603353254
ACH-000330,-0.502313283441
ACH-000331,-0.367876639221
ACH-000332,-0.321663454389
ACH-000334,-0.48860243930799996
ACH-000335,-0.420059298155
ACH-000336,-0.8169925843260001
ACH-000337,-0.539225456515
ACH-000339,-0.442524476122
ACH-000341,-0.10981727383300001
ACH-000348,-0.526450384521
ACH-000350,-0.408149700029
ACH-000352,-0.6849868624809999
ACH-000356,-0.932742193786
ACH-000361,-0.11856105374000002
ACH-000362,-0.388849088939
ACH-000363,-0.60520478282
ACH-000364,-0.47292429856299995
