,DTD2 (112487)
ACH-000004,-0.513125321263
ACH-000007,-0.300118588053
ACH-000009,-0.49120186501199997
ACH-000011,-0.218555803678
ACH-000012,-0.33450091644
ACH-000013,-0.227270833255
ACH-000014,-0.38544390798600003
ACH-000015,-0.35085049281499997
ACH-000017,-0.340528535568
ACH-000018,-0.26844233845800003
ACH-000019,-0.740248890619
ACH-000021,-0.43906870892899996
ACH-000022,-0.362579243274
ACH-000025,-0.366319821042
ACH-000028,-0.6323288075119999
ACH-000030,-0.212226797263
ACH-000035,-0.14531907729000001
ACH-000036,-0.46258694073
ACH-000037,0.007343129750119999
ACH-000039,-0.21812079919100003
ACH-000040,-0.488946346247
ACH-000041,-0.330851443165
ACH-000042,-0.31352944565499996
ACH-000045,-0.0750211348939
ACH-000047,-0.286792885296
ACH-000052,-0.601378691442
ACH-000053,-0.35521709376599997
ACH-000054,-0.41243845506800003
ACH-000055,-0.473399848161
ACH-000060,-0.38060231429700003
ACH-000067,-0.22180735298
ACH-000070,-0.103293107684
ACH-000075,-0.386228828077
ACH-000078,-0.5507066634000001
ACH-000082,-0.32245244210499996
ACH-000085,-0.546224028697
ACH-000086,-0.321350871318
ACH-000087,-0.573118398041
ACH-000092,-0.35308412672899997
ACH-000095,-0.38856793724699995
ACH-000097,-0.428257721601
ACH-000098,-0.36478135573200005
ACH-000099,-0.461508755674
ACH-000108,-0.417221671356
ACH-000113,-0.36800375028899995
ACH-000115,-0.285290186815
ACH-000116,-0.35926068197800004
ACH-000118,-0.553872938615
ACH-000120,-0.333809005291
ACH-000123,-0.549784526302
ACH-000127,-0.404070362841
ACH-000128,-0.556174118805
ACH-000132,-0.532908011606
ACH-000133,-0.570213965242
ACH-000137,-0.2042221504
ACH-000138,-0.409665547083
ACH-000142,-0.378921674824
ACH-000143,-0.317918150432
ACH-000146,-0.17340165505
ACH-000148,-0.404661850704
ACH-000150,-0.21897990960799998
ACH-000152,-0.43135597937
ACH-000153,-0.41727161711800004
ACH-000159,-0.499501873542
ACH-000160,-0.541820796948
ACH-000163,-0.415432378683
ACH-000167,-0.687163534807
ACH-000168,-0.48508833758500003
ACH-000169,-0.287219315235
ACH-000178,-0.4871567419899999
ACH-000182,-0.35737784432499997
ACH-000183,-0.326449100821
ACH-000188,-0.15465501184900002
ACH-000189,-0.34864732993
ACH-000190,-0.374799265965
ACH-000198,-0.370303730058
ACH-000204,-0.0443096116415
ACH-000206,-0.450526492695
ACH-000207,-0.255726733125
ACH-000211,-0.36295241692599994
ACH-000215,-0.44839594696900004
ACH-000221,-0.319446274613
ACH-000222,-0.197799054987
ACH-000223,-0.520352534902
ACH-000226,-0.559501890449
ACH-000227,-0.588710936977
ACH-000228,-0.38773767479000004
ACH-000231,-0.50057891654
ACH-000232,-0.416366065489
ACH-000233,-0.37047956427699996
ACH-000234,-0.34771651644900003
ACH-000235,-0.46185316786200004
ACH-000237,-0.054663090192999995
ACH-000238,-0.387434324941
ACH-000243,-0.499003357433
ACH-000244,0.0033635773330000004
ACH-000246,-0.416027339317
ACH-000248,-0.49566237006999997
ACH-000250,-0.33589831682300003
ACH-000251,-0.184948205633
ACH-000253,-0.273960656654
ACH-000255,-0.251652546661
ACH-000256,-0.354625400317
ACH-000257,-0.43650468595299996
ACH-000258,-0.546699422271
ACH-000259,-0.435995085982
ACH-000260,-0.45204414270900006
ACH-000261,-0.409488325818
ACH-000262,-0.276234819872
ACH-000263,0.235689917664
ACH-000264,-0.37458700630999997
ACH-000265,-0.382448490917
ACH-000266,-0.52691100266
ACH-000272,-0.411687043529
ACH-000273,-0.211840961277
ACH-000274,-0.310927706652
ACH-000277,-0.436647861317
ACH-000278,-0.28190607931899997
ACH-000279,-0.300588837326
ACH-000280,-0.599668762143
ACH-000281,-0.333810903411
ACH-000288,-0.374319176926
ACH-000291,-0.08831771836930001
ACH-000293,-0.0204794827146
ACH-000294,-0.213060206351
ACH-000295,-0.152061736019
ACH-000296,-0.396648078327
ACH-000302,-0.386187557088
ACH-000304,-0.40447114927699995
ACH-000307,-0.466650341426
ACH-000308,-0.296495630941
ACH-000310,-0.510409126167
ACH-000311,-0.314199200339
ACH-000312,-0.44684795557999996
ACH-000315,-0.331391614576
ACH-000316,-0.500505158846
ACH-000317,-0.393869617434
ACH-000318,-0.283378698792
ACH-000319,-0.388900971124
ACH-000320,-0.481662099552
ACH-000322,-0.586918377743
ACH-000323,-0.35550867829099997
ACH-000324,-0.357002413505
ACH-000329,-0.34664863117899997
ACH-000330,-0.308060001445
ACH-000331,-0.30732648626
ACH-000332,-0.399727880318
ACH-000334,-0.527469746746
ACH-000335,-0.19167664026099998
ACH-000336,-0.55998866115
ACH-000337,-0.769916329917
ACH-000339,-0.372711910185
ACH-000341,-0.723642469823
ACH-000348,-0.340268764213
ACH-000350,-0.364864937636
ACH-000352,-0.35551204445
ACH-000356,-0.518221859058
ACH-000361,-0.29373756277
ACH-000362,-0.357297295302
ACH-000363,-0.343300119904
ACH-000364,-0.310139922292
ACH-000365,-0.410415977378
ACH-000366,-0.46651232224699996
ACH-000368,-0.450526167394
ACH-000374,-0.135517182657
ACH-000375,-0.414320295941
ACH-000376,-0.400612229463
ACH-000381,-0.521589774161
ACH-000383,-0.396987390936
ACH-000387,-0.238497338632
ACH-000389,-0.25876840173099996
ACH-000390,-0.381674265533
ACH-000393,-0.469948637926
ACH-000395,-0.17471709500100002
ACH-000397,-0.465526834939
ACH-000401,-0.377888057765
ACH-000402,-0.251389846362
ACH-000403,-0.39351794241099997
ACH-000404,-0.612425458726
ACH-000406,-0.382301174338
ACH-000407,-0.485441813192
ACH-000408,-0.448928334163
ACH-000410,-0.446736234504
ACH-000411,-0.36215494289800004
ACH-000414,-0.39095598993600006
ACH-000415,-0.506994979919
ACH-000416,-0.46004335348700004
ACH-000420,-0.444461282746
ACH-000421,-0.321643772393
ACH-000424,-0.42968558024899994
ACH-000425,-0.349788032401
ACH-000426,-0.39272088716799997
ACH-000427,-0.293588586468
ACH-000433,-0.45369029616400003
ACH-000436,-0.19786037401
ACH-000444,-0.407365512544
ACH-000445,-0.16835403813900002
ACH-000448,-0.280964202584
ACH-000450,-0.242849842484
ACH-000452,-0.365965503367
ACH-000454,-0.399299930504
ACH-000458,-0.356513065793
ACH-000459,-0.42116791553599997
ACH-000460,-0.315881752632
ACH-000461,-0.399865570673
ACH-000463,-0.396953050039
ACH-000464,-0.381875815711
ACH-000466,-0.46333284029700006
ACH-000467,-0.322703585698
ACH-000468,-0.220667369866
ACH-000469,-0.319705018952
ACH-000470,-0.44780979284500005
ACH-000471,-0.39633746536700004
ACH-000472,-0.37685611686399995
ACH-000473,-0.154764776894
ACH-000475,-0.454996789859
ACH-000476,-0.377873614001
ACH-000477,-0.48084313756499997
ACH-000480,-0.584631118105
ACH-000481,-0.6309170751950001
ACH-000483,-0.147360679283
ACH-000484,-0.35754018193899995
ACH-000485,-0.249218203489
ACH-000486,-0.467076485599
ACH-000487,-0.20722524539999998
ACH-000488,-0.312705990869
ACH-000490,-0.316750361183
ACH-000491,-0.124659876695
ACH-000495,-0.403502923902
ACH-000496,-0.20452831233899998
ACH-000499,-0.653703711341
ACH-000500,-0.529069850956
ACH-000502,-0.371223204335
ACH-000503,-1.02141949963
ACH-000505,-0.42511680966399995
ACH-000507,-0.375918215588
ACH-000510,-0.370384257776
ACH-000511,-0.371738415826
ACH-000512,-0.41653836413900003
ACH-000516,-0.465915557855
ACH-000517,-0.291079321495
ACH-000518,-0.43313954765900003
ACH-000520,-0.34592705971
ACH-000521,-0.303077963378
ACH-000522,-0.565894659976
ACH-000524,-0.352236092839
ACH-000527,-0.35738386007
ACH-000528,-0.457762262875
ACH-000537,-0.447341761024
ACH-000541,-0.348233238957
ACH-000542,-0.488526621703
ACH-000544,-0.232219693685
ACH-000545,-0.450907898068
ACH-000547,-0.46875333873
ACH-000548,-0.331861820563
ACH-000549,-0.226624377495
ACH-000550,-0.269162942967
ACH-000552,-0.44785367452299996
ACH-000556,-0.197046516091
ACH-000557,-0.276032665061
ACH-000570,-0.398127396735
ACH-000571,-0.474598768632
ACH-000573,-0.339252941912
ACH-000576,-0.251763469024
ACH-000580,-0.456101256935
ACH-000584,-0.38346983999799994
ACH-000585,-0.35077461303499996
ACH-000588,-0.33763003658600005
ACH-000589,-0.40470553151199995
ACH-000591,-0.453495952758
ACH-000593,-0.218039582298
ACH-000600,-0.42707416150399996
ACH-000601,-0.40580100079899994
ACH-000604,-0.46469870603999996
ACH-000605,-0.26991179696
ACH-000606,-0.570756793994
ACH-000608,-0.270913400789
ACH-000614,-0.310299802108
ACH-000616,-0.540120292342
ACH-000618,-0.32477724212
ACH-000619,-0.393268745311
ACH-000620,-0.350184608399
ACH-000621,-0.09196041796669999
ACH-000622,-0.5891468674729999
ACH-000623,-0.6435900514490001
ACH-000624,-0.301642944531
ACH-000627,-0.144578309302
ACH-000630,-0.438185971781
ACH-000632,-0.513751511313
ACH-000633,-0.335968541308
ACH-000637,-0.34997376123499996
ACH-000638,-0.337879287508
ACH-000646,-0.197295695241
ACH-000647,-0.309470427002
ACH-000648,-0.27662183661
ACH-000649,-0.340047672902
ACH-000651,-0.403272973663
ACH-000652,-0.156414147403
ACH-000653,-0.154113816337
ACH-000657,-0.434609642738
ACH-000658,-0.23690801144999998
ACH-000661,-0.21604783868299998
ACH-000662,0.221386935823
ACH-000663,-0.47308494000100004
ACH-000665,-0.255365453195
ACH-000671,-0.154134834015
