,GAA (2548)
ACH-000004,-0.0948460954224
ACH-000007,0.15198257824300002
ACH-000009,-0.127128673938
ACH-000011,-0.163678861698
ACH-000012,-0.141009382457
ACH-000013,0.008284392823020001
ACH-000014,-0.243043581415
ACH-000015,-0.11610893563500001
ACH-000017,-0.18347659709199998
ACH-000018,-0.109214671676
ACH-000019,-0.300975861274
ACH-000021,-0.0694951788137
ACH-000022,-0.167756106566
ACH-000025,-0.0149771289539
ACH-000028,0.024375619559
ACH-000030,-0.130946812612
ACH-000035,-0.17951582121399998
ACH-000036,-0.141558089152
ACH-000037,0.009961058522889999
ACH-000039,-0.226504860028
ACH-000040,-0.181448912878
ACH-000041,-0.08751633768339999
ACH-000042,-0.098223989612
ACH-000045,-0.18682030745499997
ACH-000047,-0.100053819682
ACH-000052,-0.037431389650199993
ACH-000053,0.0016959233799
ACH-000054,-0.102894275221
ACH-000055,0.010921626892999999
ACH-000060,-0.025204117882400002
ACH-000067,-0.06940927246110001
ACH-000070,0.17447692254
ACH-000075,-0.196764334012
ACH-000078,-0.0884707748532
ACH-000082,-0.00882426258498
ACH-000085,-0.221629047553
ACH-000086,0.020790210952900002
ACH-000087,-0.424588824028
ACH-000092,-0.0716252745444
ACH-000095,-0.232917364215
ACH-000097,-0.11099662364499999
ACH-000098,0.0218269845978
ACH-000099,-0.283697349456
ACH-000108,-0.0629165073766
ACH-000113,0.06867743767199999
ACH-000115,0.0796032037275
ACH-000116,-0.0835022983496
ACH-000118,0.0335527595079
ACH-000120,-0.310380367624
ACH-000123,-0.0596110142389
ACH-000127,-0.136241087851
ACH-000128,-0.023527854106900004
ACH-000132,-0.213361238458
ACH-000133,-0.10282250071799999
ACH-000137,-0.134413014571
ACH-000138,-0.159192527818
ACH-000142,-0.151814161624
ACH-000143,-0.108608639237
ACH-000146,0.00305768070244
ACH-000148,-0.0945667098447
ACH-000150,-0.350149225814
ACH-000152,-0.175207458669
ACH-000153,-0.161006737682
ACH-000159,0.0337949012417
ACH-000160,-0.0648229609382
ACH-000163,0.0521608871783
ACH-000167,-0.155200725279
ACH-000168,0.0336748430629
ACH-000169,-0.0890784782102
ACH-000178,0.0267284048093
ACH-000182,-0.100950888689
ACH-000183,-0.011643422527999998
ACH-000188,-0.127259480314
ACH-000189,-0.221044578466
ACH-000190,-0.105164214752
