,GK5 (256356)
ACH-000004,-0.170616867159
ACH-000007,0.11315380984899999
ACH-000009,-0.006522543790560001
ACH-000011,-0.158717905384
ACH-000012,-0.0664714554911
ACH-000013,-0.133421720875
ACH-000014,-0.245336512207
ACH-000015,-0.194155715326
ACH-000017,-0.0054812716275799995
ACH-000018,-0.113772453397
ACH-000019,-0.32360137916299997
ACH-000021,-0.13721871065400001
ACH-000022,0.171300241274
ACH-000025,-0.383643767874
ACH-000028,-0.218718656906
ACH-000030,-0.0891811236718
ACH-000035,0.00206614250467
ACH-000036,0.0071300042053599995
ACH-000037,-0.21645162246
ACH-000039,-0.203089946402
ACH-000040,-0.149096894382
ACH-000041,-0.0395393743313
ACH-000042,0.00293797063913
ACH-000045,-0.111502770603
ACH-000047,-0.100240506974
ACH-000052,-0.128347604947
ACH-000053,-0.123603034314
ACH-000054,-0.292352693881
ACH-000055,0.0174381619825
ACH-000060,-0.268522188821
ACH-000067,-0.297056597672
ACH-000070,0.0916487257817
ACH-000075,-0.211963483391
ACH-000078,0.041479927963699995
ACH-000082,-0.07903062180760001
ACH-000085,-0.19432503405999998
ACH-000086,-0.0608610953813
ACH-000087,-0.0839669640736
ACH-000092,-0.250230013192
ACH-000095,-0.12123652222999999
ACH-000097,-0.139539492537
ACH-000098,-0.0949166922216
ACH-000099,0.00534844247578
ACH-000108,-0.112534456492
ACH-000113,-0.0644145595078
ACH-000115,-0.160518114364
ACH-000116,-0.241973805082
ACH-000118,-0.106979437597
ACH-000120,-0.113222055152
ACH-000123,-0.155787199174
ACH-000127,-0.030326641858900005
ACH-000128,-0.022577423799099997
ACH-000132,-0.26521829058699997
ACH-000133,-0.10056107179
ACH-000137,-0.281978022121
ACH-000138,-0.17202919158399999
ACH-000142,-0.147950472916
ACH-000143,-0.24578323445300002
ACH-000146,-0.0145677379376
ACH-000148,-0.04655451085469999
ACH-000150,0.1307051064
ACH-000152,0.0596881249006
ACH-000153,0.066164606836
ACH-000159,-0.26349299384
ACH-000160,-0.341968721125
ACH-000163,-0.08450284180430001
ACH-000167,-0.164552630245
ACH-000168,-0.3093079178
ACH-000169,-0.132428787149
ACH-000178,-0.011954314790600001
ACH-000182,-0.124174481822
ACH-000183,-0.0747712008453
ACH-000188,-0.103498042875
ACH-000189,-0.40176303039899997
ACH-000190,-0.328618729716
ACH-000198,-0.051643404447300006
ACH-000204,-0.321631582863
ACH-000206,-0.166552969936
ACH-000207,0.0896386313719
ACH-000211,-0.19435032192899998
ACH-000215,-0.077436736239
ACH-000221,-0.17693860722399998
ACH-000222,0.17793118201299998
ACH-000223,-0.0883666600963
ACH-000226,-0.17940880042399998
ACH-000227,0.268434275652
ACH-000228,-0.284030223458
ACH-000231,-0.182088205909
ACH-000232,-0.10240738210200001
ACH-000233,-0.08508920895479999
ACH-000234,-0.0299143011023
ACH-000235,-0.182185204331
ACH-000237,-0.11519448672
ACH-000238,0.05189465646869999
ACH-000243,-0.12982638274299999
ACH-000244,-0.144179621806
ACH-000246,-0.0160271771068
ACH-000248,-0.0580937230375
ACH-000250,-0.10345143649800001
ACH-000251,0.0515940151857
