,NCL (4691)
ACH-000004,-0.672952008361
ACH-000007,-0.969755795869
ACH-000009,-0.7215491299019999
ACH-000011,-1.26636221979
ACH-000012,-0.915138751828
ACH-000013,-0.480761009186
ACH-000014,-0.5881691578630001
ACH-000015,-0.5042594975670001
ACH-000017,-0.523916860208
ACH-000018,-0.881738723914
ACH-000019,-1.1571509956100001
ACH-000021,-0.715260324174
ACH-000022,-0.30479565668499997
ACH-000025,-0.9018088270110001
ACH-000028,-1.00845033966
ACH-000030,-0.724910044718
ACH-000035,-0.48989140275700005
ACH-000036,-0.83604338002
ACH-000037,-0.6745518990899999
ACH-000039,-0.890133227925
ACH-000040,-0.701758154536
ACH-000041,-0.41633200829000006
ACH-000042,-0.648316184488
ACH-000045,-0.6949646664329999
ACH-000047,-0.861072094608
ACH-000052,-0.812567574974
ACH-000053,-0.588470634388
ACH-000054,-1.0729764673
ACH-000055,-0.727377445498
ACH-000060,-0.892478525124
ACH-000067,-0.86435596669
ACH-000070,-0.8916911127220001
ACH-000075,-0.7971118198710001
ACH-000078,-0.536032251384
ACH-000082,-0.906455446972
ACH-000085,-1.10550383052
ACH-000086,-0.8282856919949999
ACH-000087,-0.668708030438
ACH-000092,-0.997109898798
ACH-000095,-0.6029299393559999
ACH-000097,-0.9605428920039999
ACH-000098,-0.870514861077
ACH-000099,-0.675845137935
ACH-000108,-0.929572230237
ACH-000113,-0.682342423321
ACH-000115,-0.6477187004280001
ACH-000116,-0.5987053887899999
ACH-000118,-0.736539458302
ACH-000120,-0.669273444971
ACH-000123,-0.70546010126
ACH-000127,-0.652912673346
ACH-000128,-0.908602582968
ACH-000132,-0.413346365107
ACH-000133,-1.08823600018
ACH-000137,-0.6061742009009999
ACH-000138,-0.6763146474349999
ACH-000142,-0.986984623809
ACH-000143,-0.6900837473199999
ACH-000146,-0.8001023220199999
ACH-000148,-0.6890515552940001
ACH-000150,-0.698866509107
ACH-000152,-0.856808258804
ACH-000153,-0.8880728253579999
ACH-000159,-1.01427122069
ACH-000160,-0.7273337590889999
ACH-000163,-0.695878203881
ACH-000167,-1.00295013765
ACH-000168,-0.46083265513899996
ACH-000169,-0.44141491808999994
ACH-000178,-0.721828493245
ACH-000182,-0.539865271128
ACH-000183,-0.49887844094899997
ACH-000188,-0.909989880995
ACH-000189,-1.1359859177399998
