,POLE4 (56655)
ACH-000004,-0.13286858506899998
ACH-000007,-0.429989845285
ACH-000009,-0.27630918995000003
ACH-000011,-0.274764420995
ACH-000012,-0.385030720841
ACH-000013,-0.30920037102
ACH-000014,-0.27824716556999995
ACH-000015,-0.026825447716599997
ACH-000017,-0.19675271171300002
ACH-000018,-0.398077857561
ACH-000019,-0.319952918821
ACH-000021,-0.131425538018
ACH-000022,-0.18186204892900001
ACH-000025,-0.294737008387
ACH-000028,-0.535969928747
ACH-000030,-0.0295818755877
ACH-000035,-0.156534676212
ACH-000036,-0.546180252987
ACH-000037,-0.327841339775
ACH-000039,-0.248372586807
ACH-000040,-0.396866038144
ACH-000041,-0.115946313664
ACH-000042,-0.147700461221
ACH-000045,-0.134795285864
ACH-000047,-0.546019013594
ACH-000052,-0.6055987853679999
ACH-000053,0.113134342193
ACH-000054,-0.160513289881
ACH-000055,-0.445211126152
ACH-000060,-0.191761302168
ACH-000067,-0.269396327815
ACH-000070,-0.237334654774
ACH-000075,-0.29860221068000004
ACH-000078,-0.33827784994599996
ACH-000082,-0.329915000285
ACH-000085,-0.0923028192797
ACH-000086,-0.565461647596
ACH-000087,-0.0697332959899
ACH-000092,-0.549390072361
ACH-000095,-0.09945190581430001
ACH-000097,-0.505670393195
ACH-000098,-0.38913865091300004
ACH-000099,-0.273209944617
ACH-000108,-0.209833673726
ACH-000113,-0.353768165135
ACH-000115,0.151003674443
ACH-000116,-0.361746241923
ACH-000118,-0.0244632415501
ACH-000120,-0.494662086557
ACH-000123,-0.29268498773400003
ACH-000127,-0.564194293667
ACH-000128,-0.177996517504
ACH-000132,-0.13305694695599998
ACH-000133,-0.764751402924
ACH-000137,-0.246956570332
ACH-000138,-0.023806177774900003
ACH-000142,-0.0709699601386
ACH-000143,-0.29887950765
ACH-000146,-0.21942820797899998
ACH-000148,-0.592789806782
ACH-000150,-0.23157924647300002
ACH-000152,-0.132990493971
ACH-000153,0.0834548159722
ACH-000159,-0.265516295394
ACH-000160,0.0352020879805
ACH-000163,-0.204443013248
ACH-000167,-0.168436339334
ACH-000168,-0.10347575608100001
ACH-000169,-0.202424785685
ACH-000178,-0.231493970063
ACH-000182,-0.0825593910953
ACH-000183,-0.223410870121
ACH-000188,-0.252923696879
ACH-000189,-0.958152058408
ACH-000190,-0.109153594281
ACH-000198,-0.455266201355
ACH-000204,-0.313585631682
ACH-000206,-0.477572150832
ACH-000207,-0.0488730244983
ACH-000211,-0.26168628506499997
ACH-000215,-0.548928735494
ACH-000221,-0.0904266954648
ACH-000222,-0.010887315917799999
ACH-000223,-0.313471957149
ACH-000226,-0.481195280254
ACH-000227,-0.598685387481
ACH-000228,-0.504960940313
ACH-000231,-0.606772869072
ACH-000232,-0.30050810974
ACH-000233,-0.545154453146
ACH-000234,-0.395361405708
ACH-000235,-0.19155119475000001
ACH-000237,-0.614767932797
ACH-000238,-0.276817000961
ACH-000243,0.00594402066612
ACH-000244,-0.3068864394
ACH-000246,-0.8843739526369999
ACH-000248,-0.150438384376
ACH-000250,-0.7249340477930001
ACH-000251,-0.196992300558
ACH-000253,-0.225422002925
ACH-000255,-0.419236266983
ACH-000256,-0.49618810930699997
ACH-000257,-0.340067501243
ACH-000258,-0.181198618981
ACH-000259,-0.42304454420000004
ACH-000260,-0.300133897409
ACH-000261,-0.105624094153
ACH-000262,-1.1005081835600001
ACH-000263,-0.020700326819900004
ACH-000264,-0.22455383230700002
ACH-000265,-0.100942363698
ACH-000266,-0.11317440634400001
