,BNIP3L (665)
ACH-000004,0.23640285905900002
ACH-000007,0.146219567272
ACH-000009,0.230540395769
ACH-000011,0.151016359256
ACH-000012,0.285083083802
ACH-000013,0.245857118179
ACH-000014,0.23208733172899998
ACH-000015,0.14284203976
ACH-000017,0.37583418598000007
ACH-000018,0.275394303779
ACH-000019,0.34940890876999997
ACH-000021,0.19859947605
ACH-000022,0.230261975438
ACH-000025,0.10496825781199999
ACH-000028,0.125830479287
ACH-000030,0.286843943237
ACH-000035,0.147277565836
ACH-000036,0.341807590711
ACH-000037,0.263557841333
ACH-000039,0.126991935285
ACH-000040,0.28848799239399997
ACH-000041,0.19155650093499998
ACH-000042,0.147149460073
ACH-000045,0.289706242062
ACH-000047,0.368659467632
ACH-000052,-0.09898028508510001
ACH-000053,0.21101516395
ACH-000054,0.24264113903099999
ACH-000055,0.19982714145199998
ACH-000060,0.0777966735271
ACH-000067,0.10536100997000002
ACH-000070,0.258606222544
ACH-000075,0.30265526939
ACH-000078,0.227778380399
ACH-000082,0.301530391981
ACH-000085,0.195875355711
ACH-000086,0.398296036924
ACH-000087,0.15066054989
ACH-000092,0.18382235535
ACH-000095,0.13124828028899999
ACH-000097,0.185743428403
ACH-000098,0.384098695603
ACH-000099,0.182964383294
ACH-000108,0.316218873952
ACH-000113,0.35353129922
ACH-000115,-0.041177380441099996
ACH-000116,0.302826081338
ACH-000118,0.219912225158
ACH-000120,0.129570175754
ACH-000123,0.257711616813
ACH-000127,0.22489144632
ACH-000128,0.268664987433
ACH-000132,0.259367136096
ACH-000133,0.14264845214400002
ACH-000137,0.273102406484
ACH-000138,0.22467223047899998
ACH-000142,0.282264710934
ACH-000143,0.208232502102
ACH-000146,0.250191007145
ACH-000148,0.28721044113899996
ACH-000150,0.260466083475
ACH-000152,0.44619395321000005
ACH-000153,0.37803810510200003
ACH-000159,0.29496164269
ACH-000160,0.35339577636299996
ACH-000163,0.355914490338
ACH-000167,0.838976254442
ACH-000168,-0.0364941586105
ACH-000169,0.349753008615
ACH-000178,0.242319364382
ACH-000182,0.300582090357
ACH-000183,0.23474388383699998
ACH-000188,0.11881278880200001
ACH-000189,0.293061390997
ACH-000190,0.106533426136
ACH-000198,0.197626331478
ACH-000204,0.385346105054
ACH-000206,0.13383211881100002
ACH-000207,0.129517240959
ACH-000211,0.242535757929
ACH-000215,0.266379458536
ACH-000221,0.354356679049
ACH-000222,0.23862943931999997
ACH-000223,0.23537242123399998
ACH-000226,0.169078821343
ACH-000227,0.375002079489
ACH-000228,0.208186538842
ACH-000231,0.19562624552700003
ACH-000232,0.28454162170200004
ACH-000233,0.24415053325199998
ACH-000234,0.199939425451
ACH-000235,0.159330907616
ACH-000237,0.23739799549
ACH-000238,0.21576957156100002
ACH-000243,0.198611178624
ACH-000244,0.276558418262
ACH-000246,0.194513119116
ACH-000248,0.21165120390500003
ACH-000250,0.169354840513
ACH-000251,0.18265032747200002
ACH-000253,0.242380394949
ACH-000255,0.21163361690699997
ACH-000256,0.321934018017
ACH-000257,0.388954307214
ACH-000258,0.164571572105
ACH-000259,0.315202137946
