,MYH7B (57644)
ACH-000004,-0.363281380012
ACH-000007,0.0816938507496
ACH-000009,-0.20183232197700002
ACH-000011,-0.011563243251399999
ACH-000012,0.0246610166989
ACH-000013,0.031327932777900004
ACH-000014,-0.018188483418299997
ACH-000015,-0.203818758017
ACH-000017,-0.16008964142999998
ACH-000018,0.00032035040897
ACH-000019,-0.034658428138800004
ACH-000021,-0.128227345361
ACH-000022,-0.154583904444
ACH-000025,-0.149928471861
ACH-000028,-0.131947965629
ACH-000030,-0.217636689625
ACH-000035,-0.21704610917300002
ACH-000036,-0.16296905850500001
ACH-000037,-0.015590330304799999
ACH-000039,-0.259401005048
ACH-000040,0.06689009876430001
ACH-000041,-0.013904043616500002
ACH-000042,-0.20486239065900003
ACH-000045,-0.0513742845814
ACH-000047,0.0022471692482
ACH-000052,0.10675744020300001
ACH-000053,-0.144096345119
ACH-000054,-0.0245231078274
ACH-000055,0.004679367369229999
ACH-000060,-0.220768403506
ACH-000067,-0.0032935169868200005
ACH-000070,0.08753352024489999
ACH-000075,-0.269569157361
ACH-000078,-0.15207796272500002
ACH-000082,-0.215985498444
ACH-000085,-0.342474623782
ACH-000086,-0.08535714368519999
ACH-000087,-0.235445460767
ACH-000092,-0.14420622960100002
ACH-000095,-0.0250021020933
ACH-000097,-0.0863273104534
ACH-000098,-0.0171258283688
ACH-000099,-0.196568882605
ACH-000108,-0.0979182160347
ACH-000113,-0.086277853729
ACH-000115,-0.14997626429000002
ACH-000116,-0.343420318079
ACH-000118,-0.06658828223930001
ACH-000120,-0.140824197082
ACH-000123,-0.11421677850400001
ACH-000127,-0.168332935706
ACH-000128,-0.25364642343000005
ACH-000132,0.0913219158521
ACH-000133,-0.268094985188
ACH-000137,-0.0018766099497599998
ACH-000138,-0.0934924940512
ACH-000142,-0.00198651527621
ACH-000143,-0.34730498385200004
ACH-000146,-0.023426454508500002
ACH-000148,0.00322305669443
ACH-000150,-0.102299922956
ACH-000152,-0.0179738863442
ACH-000153,-0.184483156061
ACH-000159,-0.22619746243799999
ACH-000160,-0.038320320844
ACH-000163,-0.193821612038
ACH-000167,-0.0719030215997
ACH-000168,-0.242681094191
ACH-000169,-0.0594859007446
ACH-000178,-0.125015920409
ACH-000182,-0.133654797501
ACH-000183,-0.06455526087539999
ACH-000188,-0.03178091515
ACH-000189,-0.273711173629
ACH-000190,-0.265450701592
ACH-000198,-0.045373844124
