,PKHD1L1 (93035)
ACH-000004,-0.245088708072
ACH-000007,0.027317607743500002
ACH-000009,0.153578832352
ACH-000011,0.0852565175516
ACH-000012,0.054858395267900005
ACH-000013,0.100106162434
ACH-000014,0.152637993663
ACH-000015,0.18235196353100003
ACH-000017,-0.00868054417572
ACH-000018,0.060082027142000005
ACH-000019,0.22734678372900002
ACH-000021,0.08228895938160001
ACH-000022,0.0486780652353
ACH-000025,-0.0615451575947
ACH-000028,-0.04158310287980001
ACH-000030,0.135009055844
ACH-000035,-0.136535862005
ACH-000036,-0.051783457599499996
ACH-000037,0.039831376654199994
ACH-000039,-0.09541165343939999
ACH-000040,-0.027437579769999998
ACH-000041,0.135346889635
ACH-000042,-0.020277364489200003
ACH-000045,0.109107198511
ACH-000047,0.11240878662699999
ACH-000052,-0.08880318770860002
ACH-000053,0.09141380938860001
ACH-000054,0.138723569441
ACH-000055,-0.217584471899
ACH-000060,0.08926493343240001
ACH-000067,0.4447943629
ACH-000070,0.08625277801830002
ACH-000075,0.15046784599000002
ACH-000078,0.110205965692
ACH-000082,0.108442326481
ACH-000085,0.170978732947
ACH-000086,-0.018998165132
ACH-000087,0.261501248883
ACH-000092,0.08808010975439999
ACH-000095,0.228032347335
ACH-000097,0.100821509193
ACH-000098,0.0620668632499
ACH-000099,0.046746244578599994
ACH-000108,-0.0031521658666599996
ACH-000113,0.152764699288
ACH-000115,0.24310085881299998
ACH-000116,0.23318410160100003
ACH-000118,0.005704451818029999
ACH-000120,0.12736411337
ACH-000123,0.06843909368409999
ACH-000127,0.19373997693599998
ACH-000128,0.18932456985999999
ACH-000132,0.197923690082
ACH-000133,0.06688856450040001
ACH-000137,0.293515741963
ACH-000138,0.11610773508300001
ACH-000142,0.339753987277
ACH-000143,0.017841046872400002
ACH-000146,-0.004827441033989999
ACH-000148,0.114566697772
ACH-000150,-0.18244980023899998
ACH-000152,0.085145192401
ACH-000153,0.23103605242400002
ACH-000159,0.058419173957699994
ACH-000160,0.14565716224300002
ACH-000163,0.0293672878986
ACH-000167,-0.223383825673
