,ISG20L2 (81875)
ACH-000004,-0.7757079944259999
ACH-000007,-0.9630285559819999
ACH-000009,-0.7550424682019999
ACH-000011,-0.7233142629970001
ACH-000012,-0.7649813333490001
ACH-000013,-0.567115413269
ACH-000014,-0.811905437113
ACH-000015,-0.6019804981369999
ACH-000017,-0.57692605956
ACH-000018,-0.7462164043619999
ACH-000019,-0.969280726827
ACH-000021,-0.621778698978
ACH-000022,-0.796916198186
ACH-000025,-0.701951514478
ACH-000028,-0.539725444151
ACH-000030,-0.5833014362860001
ACH-000035,-0.835872484956
ACH-000036,-0.7106693289530001
ACH-000037,-0.8156132471809999
ACH-000039,-0.63558698372
ACH-000040,-0.714154848779
ACH-000041,-0.419408352183
ACH-000042,-0.636464120623
ACH-000045,-0.708453059446
ACH-000047,-0.8816142654279999
ACH-000052,-0.813964913246
ACH-000053,-0.764942146691
ACH-000054,-0.817445187603
ACH-000055,-0.7198529475759999
ACH-000060,-0.5839411266969999
ACH-000067,-0.7663838828749999
ACH-000070,-0.68470447097
ACH-000075,-0.819915452506
ACH-000078,-0.516115982768
ACH-000082,-0.7136306304100001
ACH-000085,-0.582175703424
ACH-000086,-0.700115881398
ACH-000087,-0.587638513079
ACH-000092,-0.891361451094
ACH-000095,-0.628003150942
ACH-000097,-0.5981013041100001
ACH-000098,-0.851778854456
ACH-000099,-0.634424469971
ACH-000108,-0.654730945771
ACH-000113,-0.599340990372
ACH-000115,-0.685786907022
ACH-000116,-0.606052099647
ACH-000118,-0.7350491923389999
ACH-000120,-0.7810225259729999
ACH-000123,-0.906917281395
ACH-000127,-0.547548064752
ACH-000128,-0.44942924331699996
ACH-000132,-0.833060170271
ACH-000133,-0.37393947689
ACH-000137,-0.917382955924
ACH-000138,-0.694488876024
ACH-000142,-0.597201772889
ACH-000143,-0.905732053089
ACH-000146,-0.7999605204970001
ACH-000148,-0.7895959714759999
ACH-000150,-0.648509606676
ACH-000152,-0.71604228506
ACH-000153,-0.868027931474
