,CPSF3L (54973)
ACH-000004,-1.36786284899
ACH-000007,-1.6439157418900001
ACH-000009,-1.5914920511500001
ACH-000011,-1.66020827396
ACH-000012,-1.7069194843200002
ACH-000013,-1.3375397824600002
ACH-000014,-1.7730167429799997
ACH-000015,-1.52005342379
ACH-000017,-1.58015302914
ACH-000018,-1.51506826885
ACH-000019,-1.5857209996000001
ACH-000021,-1.48129657289
ACH-000022,-1.56806375444
ACH-000025,-1.49417651469
ACH-000028,-1.5641533596500001
ACH-000030,-1.66995378076
ACH-000035,-1.7710775679599997
ACH-000036,-1.7109947467200002
ACH-000037,-2.27036658952
ACH-000039,-1.5569984920500002
ACH-000040,-1.6207569184000001
ACH-000041,-1.44047937709
ACH-000042,-1.3822474598199999
ACH-000045,-1.9804263502500001
ACH-000047,-1.3421830067700002
ACH-000052,-1.4082489001499998
ACH-000053,-1.63915025244
ACH-000054,-1.60123804301
ACH-000055,-1.63567534384
ACH-000060,-1.3734217446299999
ACH-000067,-1.67400591538
ACH-000070,-1.71054237236
ACH-000075,-1.5902398101800002
ACH-000078,-1.68087904169
ACH-000082,-1.81772139532
ACH-000085,-1.4248027654
ACH-000086,-1.4432405124799998
ACH-000087,-1.6314607968900001
ACH-000092,-1.40904981505
ACH-000095,-1.7255117429
ACH-000097,-1.85231445908
ACH-000098,-1.7244176787
ACH-000099,-1.8821970057799997
ACH-000108,-1.6325568119299998
ACH-000113,-1.7461981649200002
ACH-000115,-1.6002882278100001
ACH-000116,-1.5365967221099999
ACH-000118,-1.5288125865600002
ACH-000120,-1.64633996736
ACH-000123,-1.6025222903299998
ACH-000127,-1.7405698705900001
ACH-000128,-1.61663359482
ACH-000132,-1.66436699656
ACH-000133,-1.4226571707799998
ACH-000137,-1.61376376593
ACH-000138,-1.39258519563
ACH-000142,-1.68798932961
ACH-000143,-1.3484110637600002
ACH-000146,-1.8885146279599998
ACH-000148,-1.56187721388
ACH-000150,-1.54890699412
ACH-000152,-1.8106065367400002
ACH-000153,-1.9325086129
ACH-000159,-2.05929693981
ACH-000160,-1.8839338209
ACH-000163,-1.5804548841600001
ACH-000167,-1.48548689613
ACH-000168,-1.76724387707
ACH-000169,-1.5971485081
ACH-000178,-1.35751890001
ACH-000182,-1.58314824149
ACH-000183,-1.6690751213
ACH-000188,-1.7591867495200002
ACH-000189,-1.4543559851899999
ACH-000190,-1.67844638213
ACH-000198,-1.81047540192
ACH-000204,-1.4424310616
ACH-000206,-1.6745707168200001
ACH-000207,-1.3486938768399999
ACH-000211,-1.58254355723
ACH-000215,-1.77926780818
ACH-000221,-1.70573839633
ACH-000222,-1.6314747770700002
ACH-000223,-1.88246084197
ACH-000226,-1.6523872635299999
ACH-000227,-1.78138138337
ACH-000228,-1.49173440882
ACH-000231,-1.69824976209
ACH-000232,-1.6115076572
ACH-000233,-1.82895200535
ACH-000234,-1.70663062398
ACH-000235,-1.6763532412900002
ACH-000237,-1.6425170899500001
ACH-000238,-1.49406923729
ACH-000243,-1.50139732919
ACH-000244,-2.01787783247
ACH-000246,-1.8765497569299998
ACH-000248,-1.3784507293500001
ACH-000250,-1.70990352137
ACH-000251,-1.7338887596
ACH-000253,-1.7671734773199999
ACH-000255,-1.3414828582
ACH-000256,-1.58304935836
ACH-000257,-1.8679904669799998
ACH-000258,-1.84033229906
ACH-000259,-1.5972094427799999
ACH-000260,-1.6075567962700001
ACH-000261,-1.5045859781600002
ACH-000262,-1.5376756511200003
ACH-000263,-1.5549214664200002
ACH-000264,-1.7753684098400002
ACH-000265,-1.73449543228
ACH-000266,-1.6533190539700002
ACH-000272,-1.5922360977
ACH-000273,-1.73091801854
ACH-000274,-1.78462658322
ACH-000277,-1.4756878520899999
ACH-000278,-1.50594730166
ACH-000279,-1.71338149209
ACH-000280,-1.61547143176
ACH-000281,-1.5018171551
ACH-000288,-1.68794672994
ACH-000291,-1.5062165970899999
ACH-000293,-1.71666611241
ACH-000294,-1.73789266218
ACH-000295,-1.54208100095
ACH-000296,-1.6462801953600001
ACH-000302,-1.6905513495700002
ACH-000304,-1.6577370374
ACH-000307,-1.5326804114300001
ACH-000308,-1.9035254992
