,FLII (2314)
ACH-000004,-0.637965106581
ACH-000007,-0.758276825794
ACH-000009,-0.620507331163
ACH-000011,-0.498998936244
ACH-000012,-0.392204035839
ACH-000013,-0.605040691961
ACH-000014,-0.265791335972
ACH-000015,-0.448143778045
ACH-000017,-0.696187055468
ACH-000018,-0.644936034017
ACH-000019,-0.411513346593
ACH-000021,-0.503832487667
ACH-000022,-0.888838086038
ACH-000025,-0.79385812683
ACH-000028,-0.0783338504726
ACH-000030,-0.519021342777
ACH-000035,-0.6450199509960001
ACH-000036,-0.484767022051
ACH-000037,-0.831620578253
ACH-000039,-0.441120223866
ACH-000040,-0.32362543764199997
ACH-000041,-0.649368530727
ACH-000042,-1.12114714927
ACH-000045,-0.499377076333
ACH-000047,-0.851885369126
ACH-000052,-0.7022354435789999
ACH-000053,-0.685426141713
ACH-000054,-0.13526326466900002
ACH-000055,-0.23983646616999998
ACH-000060,-1.0039351462100001
ACH-000067,-0.57961620794
ACH-000070,-0.43216135077699996
ACH-000075,-0.515490609331
ACH-000078,-0.45330216245300003
ACH-000082,-0.42673763822599997
ACH-000085,-0.568243036972
ACH-000086,-0.49762064269100004
ACH-000087,-0.6342376584939999
ACH-000092,-0.256758865384
ACH-000095,-0.38419790335500004
ACH-000097,-0.49157056663599996
ACH-000098,-0.47450525538599997
ACH-000099,-0.495432192426
ACH-000108,-0.5201272059309999
ACH-000113,-0.5951608030250001
ACH-000115,-0.8422018470550001
ACH-000116,-0.330671729743
ACH-000118,-0.193168051569
ACH-000120,0.0258352791123
ACH-000123,-0.6828335894130001
ACH-000127,-0.57000900281
ACH-000128,-0.406728214192
ACH-000132,-0.213617278329
ACH-000133,-0.188503955624
ACH-000137,-0.390068705028
ACH-000138,-1.0572831735400001
ACH-000142,-1.03853978972
ACH-000143,-0.465478780018
ACH-000146,-0.597320988113
ACH-000148,-0.35326346499899997
ACH-000150,-0.864497039267
ACH-000152,-0.855468598565
ACH-000153,-0.9881960853890001
ACH-000159,-0.11224640412499999
ACH-000160,-0.7340132596600001
ACH-000163,-0.316520771928
ACH-000167,-0.273023222199
ACH-000168,-0.6753210615180001
ACH-000169,-1.13709185838
ACH-000178,-0.710311615849
ACH-000182,-0.819809334419
ACH-000183,-0.486744372087
ACH-000188,-0.9444539952500001
ACH-000189,-0.769453830908
ACH-000190,-0.433044931736
ACH-000198,-0.262694024358
ACH-000204,-0.192689176495
ACH-000206,-0.42694562696500005
ACH-000207,-0.492644528871
ACH-000211,-0.469472624389
ACH-000215,-0.534206385009
ACH-000221,-0.35788872115000003
ACH-000222,-0.870389317466
ACH-000223,-0.11172900622099999
ACH-000226,-0.289906478283
ACH-000227,-0.607420948398
ACH-000228,-0.7226063481899999
