,MBTD1 (54799)
ACH-000004,-0.0465480654027
ACH-000007,-0.490401317715
ACH-000009,-0.677626465027
ACH-000011,-0.690460273037
ACH-000012,-0.600126760609
ACH-000013,-0.335279613559
ACH-000014,-0.30712331747
ACH-000015,-0.29929495899999997
ACH-000017,-0.488568005109
ACH-000018,-0.29255482977200004
ACH-000019,-0.47923522721699996
ACH-000021,-0.392039836619
ACH-000022,-0.308207008957
ACH-000025,-0.334184596159
ACH-000028,-0.45616530267800004
ACH-000030,-0.462151814137
ACH-000035,-0.397845378359
ACH-000036,-0.487994600569
ACH-000037,-0.150444289073
ACH-000039,-0.5943898610320001
ACH-000040,-0.137943594407
ACH-000041,-0.0827926082624
ACH-000042,-0.636492524731
ACH-000045,-0.511891689736
ACH-000047,-0.594979073392
ACH-000052,-0.560619077983
ACH-000053,-0.596592934982
ACH-000054,-0.482073864132
ACH-000055,-0.27937729194
ACH-000060,-0.36090185095399996
ACH-000067,-0.264622910196
ACH-000070,-0.436170715101
ACH-000075,-0.317665404716
ACH-000078,-0.5659967849149999
ACH-000082,-0.504306651834
ACH-000085,-0.40958478039000007
ACH-000086,-0.226265562612
ACH-000087,-0.307374654165
ACH-000092,-0.34814504270400004
ACH-000095,-0.608634960741
ACH-000097,-0.815728257683
ACH-000098,-0.341088306413
ACH-000099,-0.760255622544
ACH-000108,-0.493885567265
ACH-000113,-0.628517478373
ACH-000115,-0.40723247266999996
ACH-000116,-0.44113284901100003
ACH-000118,-0.358244376722
ACH-000120,-0.500739634359
ACH-000123,-0.244096164237
ACH-000127,-0.328859235162
ACH-000128,-0.212446912453
ACH-000132,-0.08034584856980001
ACH-000133,-0.126390672335
ACH-000137,-0.346046808389
ACH-000138,-0.6969983627449999
ACH-000142,-0.48082463266500003
ACH-000143,-0.314941507781
ACH-000146,-0.3059063321
ACH-000148,-0.208504691586
ACH-000150,-0.436327951933
ACH-000152,-0.448919094774
ACH-000153,-0.138034985714
ACH-000159,-0.375045093517
ACH-000160,0.0606024665004
ACH-000163,-0.519555731626
ACH-000167,0.028113381631200002
ACH-000168,-0.29882294706900003
ACH-000169,-0.176659823229
ACH-000178,-0.372010679752
ACH-000182,-0.21790632028
ACH-000183,-0.35756472357
ACH-000188,-0.295416467678
ACH-000189,-0.142125133482
ACH-000190,-0.17615986234499997
ACH-000198,-0.412441480361
ACH-000204,-0.49945268251100006
ACH-000206,-0.20750778733800002
ACH-000207,-0.601665410464
ACH-000211,-0.24928902835900002
ACH-000215,-0.375951963416
ACH-000221,-0.19948033365200002
ACH-000222,-0.37755625818800004
ACH-000223,-0.26634857232299997
ACH-000226,-0.267915353445
ACH-000227,-0.49561873547300006
ACH-000228,-0.320180475708
ACH-000231,-0.253314227725
ACH-000232,-0.0734419439798
ACH-000233,-0.606461636135
ACH-000234,-0.41406061112899994
ACH-000235,-0.41719397083400006
ACH-000237,-0.103904423904
ACH-000238,-0.614985512138
ACH-000243,-0.48796754205799997
ACH-000244,-0.318558426107
ACH-000246,-0.7278646987019999
ACH-000248,-0.564083814806
ACH-000250,-0.357687451961
ACH-000251,-0.447285512448
ACH-000253,-0.311739384944
ACH-000255,-0.44454633955399997
ACH-000256,-0.615055952453
ACH-000257,-0.04742288585030001
ACH-000258,-0.30371017588599997
ACH-000259,-0.476896786547
ACH-000260,-0.346538556104
ACH-000261,-0.268131013678
ACH-000262,-0.76101661053
ACH-000263,-0.49879668843
ACH-000264,-0.33987316503200005
ACH-000265,-0.252087375622
ACH-000266,-0.5332121459120001
ACH-000272,-0.580534122212
ACH-000273,-0.463354455299
ACH-000274,-0.481177830769
ACH-000277,0.056039164402400005
ACH-000278,-0.132035013245
ACH-000279,-0.273081793209
