,OR9G1 (390174)
ACH-000004,-0.199028717467
ACH-000007,-0.364014710315
ACH-000009,0.0351870582823
ACH-000011,0.141842989765
ACH-000012,-0.12569589461
ACH-000013,0.06479177764050001
ACH-000014,0.0150215815102
ACH-000015,-0.08700164130270001
ACH-000017,-0.0632265866882
ACH-000018,-0.11021022354900001
ACH-000019,0.08670922202089999
ACH-000021,-0.210027427046
ACH-000022,-0.12707591204000002
ACH-000025,0.13168421176200001
ACH-000028,-0.149156560022
ACH-000030,-0.11434530430400001
ACH-000035,-0.030141026265
ACH-000036,-0.0741489897612
ACH-000037,-0.164281205262
ACH-000039,0.0329927817093
ACH-000040,-0.106386343639
ACH-000041,0.113614633319
ACH-000042,-0.190625582263
ACH-000045,-0.39412131946400003
ACH-000047,-0.0789017618745
ACH-000052,-0.0403045432136
ACH-000053,-0.220782260121
ACH-000054,-0.0905823193997
ACH-000055,-0.209066810374
ACH-000060,-0.047989785846699995
ACH-000067,0.200991084326
ACH-000070,-0.21962335231
ACH-000075,-0.112597860314
ACH-000078,-0.445720630899
ACH-000082,-0.18562213800000002
ACH-000085,-0.0384401656066
ACH-000086,-0.274116587643
ACH-000087,-0.311721540334
ACH-000092,-0.0978307034681
ACH-000095,-0.306327689268
ACH-000097,-0.157425850826
ACH-000098,-0.0030785835042899997
ACH-000099,-0.286403971655
ACH-000108,-0.0939401259901
ACH-000113,-0.327061279879
ACH-000115,-0.14255376658500002
ACH-000116,-0.165052109728
ACH-000118,-0.27929459166
ACH-000120,-0.15634325330499999
ACH-000123,-0.2956336319
ACH-000127,-0.0668096602854
ACH-000128,0.0042876223877799996
ACH-000132,-0.449259829312
ACH-000133,-0.0956194281196
ACH-000137,-0.344478991945
ACH-000138,-0.21470308213599998
ACH-000142,-0.137466565672
ACH-000143,-0.20743715120499998
ACH-000146,-0.159370160559
ACH-000148,-0.219769091073
ACH-000150,-0.308905406082
ACH-000152,-0.262502879507
ACH-000153,-0.55562053248
ACH-000159,-0.137151871785
ACH-000160,-0.20117835338399997
ACH-000163,-0.279671810338
ACH-000167,-0.32541544155900004
ACH-000168,-0.20736790402199998
ACH-000169,-0.11948777625999998
ACH-000178,-0.201286667883
ACH-000182,-0.021590538020599997
ACH-000183,-0.164561650352
ACH-000188,-0.401310749155
ACH-000189,-0.41527921519
ACH-000190,-0.009930648275079999
ACH-000198,-0.245245926782
ACH-000204,0.0299009367875
ACH-000206,-0.22698865076699998
ACH-000207,-0.184666551832
ACH-000211,-0.396546322471
ACH-000215,-0.0220278181281
ACH-000221,-0.104624396028
ACH-000222,-0.15722069642300002
ACH-000223,-0.0645517354701
ACH-000226,-0.243007317172
ACH-000227,-0.451753625366
ACH-000228,-0.268664701144
ACH-000231,-0.241827430929
ACH-000232,-0.230606135741
ACH-000233,-0.07234622780439999
ACH-000234,0.08998986286560001
ACH-000235,-0.228923374603
ACH-000237,-0.163281094396
ACH-000238,0.18967397441300002
ACH-000243,-0.168360816109
ACH-000244,0.08390335926539999
ACH-000246,-0.13408174608100001
ACH-000248,-0.10714026533900001
ACH-000250,-0.0404189539404
ACH-000251,0.0781547081729
ACH-000253,-0.0709407495475
ACH-000255,-0.0194013373863
ACH-000256,-0.321905366992
ACH-000257,-0.294439901559
ACH-000258,0.16978983502300002
ACH-000259,-0.112073317063
ACH-000260,-0.163700721873
ACH-000261,-0.30517316838
ACH-000262,-0.28015335151799997
ACH-000263,-0.05848675940380001
ACH-000264,-0.0795426117469
ACH-000265,-0.269158606732
ACH-000266,-0.266977375099
ACH-000272,-0.20140843787999999
ACH-000273,-0.184285842507
ACH-000274,0.0627434698029
ACH-000277,-0.241931393054
ACH-000278,0.0301406451598
ACH-000279,-0.152615095338
ACH-000280,-0.0370987956381
ACH-000281,0.0265143462524
ACH-000288,-0.09389020047139998
ACH-000291,0.0822062498783
ACH-000293,-0.0600517408923
ACH-000294,-0.46557271606600004
ACH-000295,-0.16731125015999998
ACH-000296,0.17663950581500001
ACH-000302,-0.0793915764118
ACH-000304,-0.10103388985200001
ACH-000307,-0.052227922206
ACH-000308,-0.30721910969599997
ACH-000310,-0.200030219492
ACH-000311,-0.174000465197
ACH-000312,-0.202060941142
ACH-000315,-0.30625261909400003
ACH-000316,-0.161124979986
ACH-000317,-0.883793823714
ACH-000318,-0.493473627452
ACH-000319,-0.277809697453
ACH-000320,-0.0234111407474
ACH-000322,-0.11557281021600001
ACH-000323,-0.006586817193819999
ACH-000324,-0.321582262806
ACH-000329,0.0317259849712
ACH-000330,-0.23078582557799998
ACH-000331,-0.26231235194
ACH-000332,-0.10971159657299999
ACH-000334,-0.521790659265
ACH-000335,-0.40132293267200003
ACH-000336,-0.409704173539
ACH-000337,-0.00405135253803
ACH-000339,-0.166024542787
ACH-000341,-0.173044540997
ACH-000348,0.0759030965476
ACH-000350,-0.08233795881730001
ACH-000352,-0.11484338649800001
ACH-000356,-0.250561477027
ACH-000361,-0.141027512345
ACH-000362,-0.31328191143
ACH-000363,-0.149958933487
ACH-000364,-0.114204989528
ACH-000365,-0.164028015876
ACH-000366,-0.358881323417
ACH-000368,-0.148282687268
ACH-000374,-0.26752749519200003
ACH-000375,0.0501490575062
ACH-000376,-0.262240550435
ACH-000381,0.0232601732937
ACH-000383,-0.13471906865
ACH-000387,-0.11959092304400001
ACH-000389,-0.0553377716446
ACH-000390,-0.156776955255
ACH-000393,-0.270479749574
ACH-000395,-0.0598883675772
ACH-000397,-0.11787056997199999
ACH-000401,0.047200166529
ACH-000402,0.0740086662315
ACH-000403,-0.11960387907400001
ACH-000404,-0.250424249112
ACH-000406,-0.259964651514
ACH-000407,-0.00633346795724
ACH-000408,-0.103188407484
ACH-000410,-0.13973535203
ACH-000411,-0.127738473856
ACH-000414,-0.22694152919399999
ACH-000415,-0.19312057136100003
ACH-000416,0.0155478699695
ACH-000420,-0.185515485046
ACH-000421,-0.262794026966
ACH-000424,-0.122375066086
ACH-000425,0.0265298564187
ACH-000426,-0.254113515143
ACH-000427,-0.0202252663595
ACH-000433,-0.283717156942
ACH-000436,-0.102176274154
ACH-000444,-0.0749017687519
ACH-000445,0.119107982443
ACH-000448,0.0100963643467
ACH-000450,-0.0059426455342
ACH-000452,-0.09176839785589999
ACH-000454,0.103770952741
ACH-000458,-0.276372176771
ACH-000459,0.00108482057264
ACH-000460,-0.172563056793
ACH-000461,-0.180626165819
ACH-000463,-0.22766593114
ACH-000464,-0.025327256877
ACH-000466,-0.18679004830899998
ACH-000467,-0.157962186123
ACH-000468,-0.316749560118
ACH-000469,-0.180593442474
ACH-000470,-0.0401084033425
ACH-000471,-0.151185881212
ACH-000472,0.0764806708625
ACH-000473,-0.0789037311734
ACH-000475,-0.024359719451900002
ACH-000476,-0.261531748273
ACH-000477,-0.440416342836
ACH-000480,-0.24341003175599998
ACH-000481,-0.062152149541600005
ACH-000483,-0.402177736268
ACH-000484,-0.235191904324
ACH-000485,-0.153016451635
ACH-000486,-0.142436085224
ACH-000487,-0.306877178484
ACH-000488,-0.043455240745699994
ACH-000490,-0.178980435409
ACH-000491,0.0630389816205
ACH-000495,0.0104456027991
ACH-000496,-0.55435187117
ACH-000499,-0.5388842150600001
ACH-000500,-0.0107330723355
ACH-000502,-0.034225122105
ACH-000503,-0.430029607079
ACH-000505,-0.275421150525
ACH-000507,-0.0134360495559
ACH-000510,-0.155343919549
ACH-000511,-0.252473675047
ACH-000512,-0.21218036163100001
ACH-000516,-0.0081176001203
ACH-000517,-0.234117567181
ACH-000518,-0.0814051255456
ACH-000520,-0.0859388702949
ACH-000521,-0.11338498327600001
ACH-000522,-0.272874683638
ACH-000524,0.00590717809234
ACH-000527,-0.08438588039210002
ACH-000528,-0.246811779241
ACH-000537,-0.1248534733
ACH-000541,-0.0673102545611
ACH-000542,-0.23421014128800002
ACH-000544,-0.21915541957100002
