,NREP (9315)
ACH-000004,0.317415642174
ACH-000007,0.046296508413500005
ACH-000009,0.34104393934199995
ACH-000011,0.124177889848
ACH-000012,0.165383185741
ACH-000013,0.309077635306
ACH-000014,0.22397551374299998
ACH-000015,0.12722462854699998
ACH-000017,0.369093984956
ACH-000018,0.11515202209599999
ACH-000019,0.0830890934056
ACH-000021,0.33680615618799997
ACH-000022,0.322595254825
ACH-000025,0.210825564797
ACH-000028,0.142850056213
ACH-000030,0.237738045195
ACH-000035,0.265028465349
ACH-000036,0.178848896989
ACH-000037,0.267760132122
ACH-000039,0.15232487296299999
ACH-000040,0.282339649307
ACH-000041,0.28668200500999996
ACH-000042,0.32109614954300003
ACH-000045,0.298931094809
ACH-000047,0.24573091012200002
ACH-000052,0.0846299432936
ACH-000053,0.23497966767099998
ACH-000054,0.20040124897599998
ACH-000055,0.0587998819802
ACH-000060,0.246752318468
ACH-000067,0.359227455212
ACH-000070,0.23660843702599998
ACH-000075,-0.0606214683189
ACH-000078,0.149414976587
ACH-000082,0.08066404089389999
ACH-000085,0.128981538582
ACH-000086,0.31334799949000003
ACH-000087,0.271566242386
ACH-000092,0.33953240914000005
ACH-000095,0.27463398145
ACH-000097,0.28676291729200004
ACH-000098,0.161521389378
ACH-000099,0.17600484867199997
ACH-000108,0.353654014231
ACH-000113,0.255224940163
ACH-000115,0.366744738402
ACH-000116,0.335643194054
ACH-000118,0.349021563182
ACH-000120,0.112450023204
ACH-000123,0.17208337676
ACH-000127,0.31104252798300003
ACH-000128,0.245333969943
ACH-000132,0.415497437579
ACH-000133,0.260908208482
ACH-000137,0.190560554761
ACH-000138,0.32025997083
ACH-000142,0.174867093727
ACH-000143,0.295541157263
ACH-000146,0.269771617212
ACH-000148,0.310567100804
ACH-000150,0.21312960206300002
ACH-000152,0.37505168673
ACH-000153,0.325865528556
ACH-000159,0.146126318534
ACH-000160,0.26786664537099997
ACH-000163,0.250955054067
ACH-000167,0.121361706297
ACH-000168,0.247686326188
ACH-000169,0.13913779715
ACH-000178,0.235436012888
ACH-000182,0.23710593528700002
ACH-000183,0.27425314017499997
ACH-000188,0.329041328581
ACH-000189,-0.034848207845
ACH-000190,0.276303534753
ACH-000198,0.292920481291
ACH-000204,0.202467848525
ACH-000206,0.18523891217799998
ACH-000207,0.348568813289
ACH-000211,0.125168575018
ACH-000215,0.25825516503
ACH-000221,0.188618323166
ACH-000222,0.43918384326800003
ACH-000223,0.192220212073
ACH-000226,0.302796022324
ACH-000227,0.324687305863
ACH-000228,0.354179316084
ACH-000231,0.0600203628902
ACH-000232,0.316625243868
ACH-000233,0.248226106371
ACH-000234,0.34517833904899997
ACH-000235,0.20339190244600003
