,EXOC6B (23233)
ACH-000004,-0.19222505498700002
ACH-000007,0.0316420845656
ACH-000009,-0.172948213734
ACH-000011,-0.227067936543
ACH-000012,-0.145355767771
ACH-000013,-0.216503039265
ACH-000014,-0.316392596215
ACH-000015,-0.17480847104400002
ACH-000017,-0.12010341807700001
ACH-000018,-0.46880134638099996
ACH-000019,-0.111253075604
ACH-000021,-0.260577784483
ACH-000022,0.0172179601476
ACH-000025,-0.105210764375
ACH-000028,-0.24900322262699998
ACH-000030,-0.169036078733
ACH-000035,-0.176434155336
ACH-000036,-0.271343869615
ACH-000037,-0.35723300801700003
ACH-000039,-0.060943440821400005
ACH-000040,-0.511355886634
ACH-000041,-0.171262019839
ACH-000042,-0.25993609212499996
ACH-000045,0.1105312203
ACH-000047,-0.289022352362
ACH-000052,-0.251124709467
ACH-000053,-0.10661967691
ACH-000054,-0.310760681784
ACH-000055,-0.12360974593900001
ACH-000060,-0.0303829454461
ACH-000067,-0.289382349481
ACH-000070,0.13690549784199998
ACH-000075,0.105089439134
ACH-000078,-0.354454345977
ACH-000082,-0.271323329839
ACH-000085,0.103293917369
ACH-000086,-0.17631890357299998
ACH-000087,-0.039981210428499996
ACH-000092,-0.278882458939
ACH-000095,-0.149810321307
ACH-000097,-0.241886222508
ACH-000098,0.028387982964
ACH-000099,-0.226865082569
ACH-000108,-0.08651860177239999
ACH-000113,-0.0618097185381
ACH-000115,0.0456923875134
ACH-000116,-0.22365163793900003
ACH-000118,-0.291844359118
ACH-000120,-0.040859136323800005
ACH-000123,-0.19979577507
ACH-000127,-0.187951227995
ACH-000128,-0.0831773059208
ACH-000132,-0.19303497407499998
ACH-000133,-0.295134810765
ACH-000137,-0.419853681973
ACH-000138,-0.141679090063
ACH-000142,0.0864110087764
ACH-000143,0.00114962155798
ACH-000146,-0.0117879042444
ACH-000148,-0.144297991795
ACH-000150,-0.0366635222064
ACH-000152,-0.25700200811900004
ACH-000153,0.0464173370102
ACH-000159,-0.10734367182499999
ACH-000160,-0.108599403259
ACH-000163,0.174198848484
ACH-000167,-0.48097233744999995
ACH-000168,-0.13954966968399998
ACH-000169,-0.0691403830415
ACH-000178,-0.015337201279799999
ACH-000182,-0.10009884978599999
ACH-000183,-0.042487801186800005
ACH-000188,-0.23543820629
ACH-000189,-0.296574376584
ACH-000190,-0.22167535421999998
ACH-000198,-0.205148880435
ACH-000204,-0.039938879256300006
ACH-000206,0.0111714977337
ACH-000207,0.046945254817300004
ACH-000211,-0.050329434771099996
ACH-000215,-0.24262135596999998
ACH-000221,-0.15618966175100002
ACH-000222,-0.21946898314
ACH-000223,-0.196577118877
ACH-000226,-0.115906986427
ACH-000227,-0.11293003787599999
ACH-000228,-0.0920782244327
ACH-000231,-0.0537867023455
ACH-000232,-0.13000182034000002
ACH-000233,-0.07233390318180001
ACH-000234,-0.0503602631573
ACH-000235,-0.0501657474719
ACH-000237,-0.256546314531
ACH-000238,-0.17791691194000003
ACH-000243,-0.163532829479
ACH-000244,-0.263301072929
ACH-000246,-0.146368614836
ACH-000248,-0.0850874778066
ACH-000250,-0.101653416023
ACH-000251,-0.355938827829
ACH-000253,-0.049512458181300005
ACH-000255,-0.18235500402600002
ACH-000256,-0.267198918463
ACH-000257,-0.244140036589
ACH-000258,-0.197870879054
ACH-000259,-0.18570618456500002
ACH-000260,-0.13526795012
ACH-000261,-0.13509626089000001
ACH-000262,0.071461395562
ACH-000263,0.126869467944
ACH-000264,-0.0742810474329
ACH-000265,-0.180807160336
ACH-000266,-0.036865670762
ACH-000272,-0.25175834846
ACH-000273,-0.266004646379
ACH-000274,-0.0894292014636
ACH-000277,-0.410384076404
ACH-000278,-0.0025433163853
ACH-000279,-0.130371703424
ACH-000280,-0.169706634278
ACH-000281,-0.09074859515019999
ACH-000288,-0.37668136910800004
ACH-000291,-0.11257650571399999
ACH-000293,-0.330820189996
ACH-000294,-0.23811411288800002
ACH-000295,0.0613275122561
ACH-000296,-0.216597604146
ACH-000302,-0.163302243957
ACH-000304,0.014597162998799998
ACH-000307,-0.000987169009449
ACH-000308,-0.10818530268899999
ACH-000310,-0.234019204729
ACH-000311,-0.320417698341
ACH-000312,-0.147640190091
ACH-000315,0.0730196334748
ACH-000316,-0.103109264135
ACH-000317,-0.354042476885
ACH-000318,-0.052062916250499996
ACH-000319,-0.0786289857357
ACH-000320,-0.132695140363
ACH-000322,0.0248851315282
ACH-000323,-0.0617586768284
ACH-000324,-0.18989645785
ACH-000329,0.0740297388772
ACH-000330,-0.24507686915
ACH-000331,-0.19799202500500002
ACH-000332,-0.216139926482
ACH-000334,0.053179759050900006
ACH-000335,-0.42671293126000004
ACH-000336,0.130930609836
ACH-000337,-0.0362927556456
ACH-000339,-0.157617379036
ACH-000341,-0.0337700847985
ACH-000348,-0.332851557913
ACH-000350,-0.194537566174
ACH-000352,-0.0506390149226
ACH-000356,-0.16504242856899998
ACH-000361,-0.132043308714
ACH-000362,-0.0762905678279
ACH-000363,-0.00753177000033
ACH-000364,-0.163706686948
ACH-000365,-0.050358443117199995
ACH-000366,-0.307523834944
ACH-000368,-0.4595042288600001
ACH-000374,-0.246435193416
ACH-000375,-0.0425094647777
ACH-000376,-0.21469919303100002
ACH-000381,-0.251249046761
ACH-000383,-0.0170364516764
ACH-000387,-0.0565462568645
ACH-000389,-0.0247560446938
ACH-000390,-0.088934092069
ACH-000393,-0.273063410938
ACH-000395,-0.0536043986312
ACH-000397,-0.069640618688
ACH-000401,-0.0473343256834
ACH-000402,0.041590035154800004
ACH-000403,-0.136388811668
ACH-000404,-0.00807278495398
ACH-000406,-0.119965359375
ACH-000407,-0.161956367008
ACH-000408,-0.278672024749
ACH-000410,-0.230407075818
ACH-000411,-0.142237525047
ACH-000414,-0.0905839416532
ACH-000415,-0.0593354280645
ACH-000416,-0.139332400295
ACH-000420,-0.12109874805500001
ACH-000421,-0.195714058837
ACH-000424,-0.177265742479
ACH-000425,-0.225319908129
ACH-000426,0.173260974828
ACH-000427,-0.20693365611900003
ACH-000433,-0.16203022872300002
ACH-000436,0.020723501648799998
ACH-000444,-0.138219873756
ACH-000445,-0.0824972061394
ACH-000448,-0.026106108645900003
ACH-000450,-0.152556774474
ACH-000452,-0.047178155663
ACH-000454,-0.363583529459
