,QSOX1 (5768)
ACH-000004,-0.207233435559
ACH-000007,-0.131132619318
ACH-000009,-0.030734624519099998
ACH-000011,-0.0692783136311
ACH-000012,0.00043216298541400006
ACH-000013,-0.0157054509367
ACH-000014,-0.0521513178862
ACH-000015,-0.0345358725478
ACH-000017,-0.23925145815999999
ACH-000018,-0.0224162109503
ACH-000019,0.14718233099199998
ACH-000021,-0.011231133057799998
ACH-000022,-0.0384273635009
ACH-000025,-0.0226458167728
ACH-000028,-0.0327511115027
ACH-000030,0.029697355229199997
ACH-000035,-0.08920699807289999
ACH-000036,0.0322047538621
ACH-000037,-0.236701062445
ACH-000039,-0.336016130471
ACH-000040,0.0778582219443
ACH-000041,-0.0243410926439
ACH-000042,0.08918027230730001
ACH-000045,-0.159437344528
ACH-000047,0.08240882524689999
ACH-000052,-0.013878104602600002
ACH-000053,-0.171787501119
ACH-000054,0.021722209736200003
ACH-000055,-0.00464149590908
ACH-000060,0.0196841500871
ACH-000067,-0.17828903577999997
ACH-000070,0.0037886545357900003
ACH-000075,0.000447298516314
ACH-000078,0.13125723533800002
ACH-000082,0.057769657347499996
ACH-000085,-0.406976806673
ACH-000086,-0.293724876789
ACH-000087,0.0355355277653
ACH-000092,-0.14477729035
ACH-000095,-0.168289163869
ACH-000097,0.107944153024
ACH-000098,-0.14364037729499998
ACH-000099,-0.030892566162700003
ACH-000108,0.046660714584499996
ACH-000113,0.0430943631566
ACH-000115,0.0511222437335
ACH-000116,0.0845372983715
ACH-000118,0.0352488665151
ACH-000120,-0.0962078728757
ACH-000123,0.06619346685359999
ACH-000127,-0.109191121812
ACH-000128,-0.18316360649500002
ACH-000132,-0.068670424577
ACH-000133,-0.16895588136
ACH-000137,-0.09700300476880001
ACH-000138,0.018902958066
ACH-000142,-0.270730866369
ACH-000143,-0.204534212395
ACH-000146,-0.173435249529
ACH-000148,-0.033096124963799996
ACH-000150,-0.258900980956
ACH-000152,-0.0140310523541
ACH-000153,-0.0302971407314
ACH-000159,-0.107741757352
ACH-000160,0.120653579001
ACH-000163,-0.15247806844200001
ACH-000167,0.15787642425
ACH-000168,0.012175953400999999
ACH-000169,0.0321831345545
ACH-000178,0.025417823074400003
ACH-000182,-0.08156406331439998
ACH-000183,-0.168485980201
