,MYT1L (23040)
ACH-000004,-0.25896431437600004
ACH-000007,-0.543014214766
ACH-000009,-0.21498673615299999
ACH-000011,-0.206532573822
ACH-000012,-0.0939228593341
ACH-000013,-0.268779549671
ACH-000014,-0.229052353181
ACH-000015,-0.146741544309
ACH-000017,-0.353945155776
ACH-000018,-0.319615322772
ACH-000019,-0.12743411212300002
ACH-000021,-0.028334481680200002
ACH-000022,-0.302250799439
ACH-000025,-0.163277790133
ACH-000028,-0.187129312477
ACH-000030,-0.287719226647
ACH-000035,-0.41386319273100003
ACH-000036,-0.31426735085900004
ACH-000037,-0.29865736950399996
ACH-000039,-0.217423811902
ACH-000040,-0.429994990101
ACH-000041,-0.548847241831
ACH-000042,-0.219238975222
ACH-000045,-0.0587369061618
ACH-000047,-0.199039819416
ACH-000052,-0.717804773161
ACH-000053,-0.183857208245
ACH-000054,-0.238477642869
ACH-000055,-0.225517744311
ACH-000060,-0.317754512843
ACH-000067,-0.320194662553
ACH-000070,-0.415587419979
ACH-000075,-0.12149090849500001
ACH-000078,-0.202605024402
ACH-000082,-0.148282703118
ACH-000085,-0.23886040571800002
ACH-000086,-0.224887623926
ACH-000087,-0.766510331043
ACH-000092,-0.163388917197
ACH-000095,-0.405626240727
ACH-000097,-0.229260348961
ACH-000098,-0.261200734949
ACH-000099,-0.07729403989289999
ACH-000108,-0.138274931634
ACH-000113,-0.17693602152600002
ACH-000115,-0.388202611082
ACH-000116,-0.11431737105900001
ACH-000118,-0.104460314837
ACH-000120,-0.28432770544
ACH-000123,-0.16284807400999998
ACH-000127,-0.253203483865
ACH-000128,-0.24163743262200002
ACH-000132,-0.328452756576
ACH-000133,-0.293879124661
ACH-000137,-0.134811058778
ACH-000138,-0.0810655021536
ACH-000142,-0.22529161083799998
ACH-000143,-0.113351727434
ACH-000146,-0.250349895188
ACH-000148,-0.290193309958
ACH-000150,0.232585103645
ACH-000152,-0.494093309716
ACH-000153,-0.186246308092
ACH-000159,-0.122925685469
ACH-000160,-0.153694618826
ACH-000163,-0.302765410535
ACH-000167,-0.486838837051
ACH-000168,-0.17598699948899998
ACH-000169,-0.429882556001
ACH-000178,-0.21887942331399998
ACH-000182,-0.24586939216200002
ACH-000183,-0.15853005286900002
ACH-000188,-0.42797307853699995
ACH-000189,-0.542290624898
ACH-000190,-0.298743661668
ACH-000198,-0.37715899301
ACH-000204,-0.201984495095
ACH-000206,-0.09528158420369999
ACH-000207,-0.15337310968
ACH-000211,-0.314468714966
ACH-000215,-0.129513317055
ACH-000221,-0.192072269361
ACH-000222,-0.118323941711
ACH-000223,-0.32817219877
ACH-000226,-0.243385201263
ACH-000227,-0.37617764803000003
ACH-000228,-0.00739287391412
ACH-000231,-0.197878701529
ACH-000232,-0.369293255071
ACH-000233,-0.18018097839699998
ACH-000234,-0.390937912997
ACH-000235,-0.208442580646
ACH-000237,-0.161720575107
ACH-000238,-0.321381051925
ACH-000243,-0.118593103112
ACH-000244,-0.7079099695309999
ACH-000246,-0.268647881952
ACH-000248,-0.17176610489799998
ACH-000250,-0.218722046181
ACH-000251,-0.07212610991980001
ACH-000253,-0.349351832721
ACH-000255,-0.058675255588600005
ACH-000256,-0.506323640352
ACH-000257,-0.305063395703
ACH-000258,-0.291242438362
ACH-000259,-0.22551305392700002
ACH-000260,-0.20623416399
ACH-000261,-0.18350733921100001
ACH-000262,-0.392073340674
ACH-000263,0.0794435027498
ACH-000264,-0.150379163177
ACH-000265,-0.12373306151699999
ACH-000266,-0.27171720524500004
ACH-000272,-0.27989429037700003
ACH-000273,-0.39384590243600004
ACH-000274,-0.25764914535300004
ACH-000277,-0.548885195401
ACH-000278,-0.276231725029
ACH-000279,-0.316048233632
ACH-000280,-0.207924281631
ACH-000281,-0.24353875079
ACH-000288,-0.377016545902
ACH-000291,-0.37239634471
ACH-000293,-0.508820337089
ACH-000294,-0.0974183128771
ACH-000295,0.00367593132325
ACH-000296,-0.102489423651
ACH-000302,-0.307420508778
ACH-000304,-0.6136714334619999
ACH-000307,-0.313605036939
ACH-000308,-0.123621842722
ACH-000310,-0.140133923954
ACH-000311,0.0171826956491
ACH-000312,-0.24669802684300002
ACH-000315,-0.039758327888300006
ACH-000316,-0.0834880525676
ACH-000317,-0.35916786823700003
ACH-000318,-0.137442170707
ACH-000319,-0.21688559321800002
ACH-000320,-0.177363593239
ACH-000322,-0.296085604855
ACH-000323,-0.489569243058
ACH-000324,-0.239394237011
ACH-000329,-0.445740473551
ACH-000330,-0.154309059633
ACH-000331,-0.342452509965
ACH-000332,-0.234770355495
ACH-000334,-0.246544062707
ACH-000335,-0.10744572200500001
ACH-000336,0.04921517385290001
ACH-000337,-0.0864407826642
ACH-000339,-0.0756574749154
ACH-000341,-0.249692962869
ACH-000348,-0.247934576281
ACH-000350,-0.120891471284
ACH-000352,-0.0112265144725
ACH-000356,-0.289333776334
ACH-000361,-0.285735128796
ACH-000362,-0.291820937434
ACH-000363,-0.305700062276
ACH-000364,-0.6064621142600001
ACH-000365,-0.33922901681699996
ACH-000366,-0.278262224215
ACH-000368,-0.283146581175
ACH-000374,-0.330925031365
ACH-000375,0.100336767328
ACH-000376,-0.192305954228
ACH-000381,-0.268360035025
ACH-000383,-0.18549361785100002
ACH-000387,-0.16183745327500001
ACH-000389,-0.0807129692122
ACH-000390,-0.252478214872
ACH-000393,-0.389196186564
ACH-000395,-0.20763615311900002
ACH-000397,-0.272329985359
ACH-000401,-0.303939112614
ACH-000402,-0.250724781929
ACH-000403,-0.39727877591
ACH-000404,-0.499801317873
ACH-000406,-0.301265711783
ACH-000407,-0.434629322464
ACH-000408,-0.127069653637
ACH-000410,-0.12629578316600001
ACH-000411,-0.2751884828
ACH-000414,-0.17924579748799999
ACH-000415,-0.24216710711
ACH-000416,-0.358824590766
ACH-000420,-0.40532433282700003
ACH-000421,-0.180256243143
ACH-000424,-0.260857655468
ACH-000425,-0.24240129996100002
ACH-000426,-0.42681033404799995
ACH-000427,-0.319805935134
ACH-000433,-0.23762715294
ACH-000436,-0.163546739641
ACH-000444,-0.24338064966899997
ACH-000445,-0.205541871626
ACH-000448,-0.24699253619699998
ACH-000450,-0.145696381313
ACH-000452,-0.427016596872
ACH-000454,-0.349104710084
ACH-000458,-0.253023702076
ACH-000459,-0.342856685626
ACH-000460,-0.312859973897
ACH-000461,-0.268525085137
ACH-000463,-0.136442184049
ACH-000464,-0.28793394994000004
ACH-000466,-0.319419409878
ACH-000467,-0.30491615957199997
ACH-000468,-0.17127159627
ACH-000469,-0.356128095089
ACH-000470,-0.294419896942
ACH-000471,-0.337131183108
ACH-000472,-0.0878399961302
ACH-000473,-0.28619758683400004
ACH-000475,-0.309330055201
ACH-000476,-0.35320363933700005
ACH-000477,-0.539767529479
ACH-000480,-0.38605915784500006
ACH-000481,-0.0897576187841
ACH-000483,-0.292144642035
ACH-000484,-0.131512432733
ACH-000485,-0.35464595810099997
ACH-000486,-0.19919799172400002
ACH-000487,-0.246465737278
ACH-000488,-0.316026738936
ACH-000490,-0.26570184949299996
ACH-000491,-0.675452300483
ACH-000495,-0.128718031007
ACH-000496,-0.22681570528900002
ACH-000499,-0.358414734825
ACH-000500,-0.7044440458939999
ACH-000502,-0.156397523748
ACH-000503,-0.210479614523
ACH-000505,-0.370111064177
ACH-000507,-0.493855407324
ACH-000510,-0.223313889361
ACH-000511,-0.21490842141600003
ACH-000512,-0.9043321872769999
ACH-000516,-0.170593165357
ACH-000517,-0.218450604747
ACH-000518,-0.259042056827
ACH-000520,-0.529138478602
ACH-000521,-0.167184064818
ACH-000522,-0.254968937971
ACH-000524,-0.17898388233600002
ACH-000527,-0.149937601772
ACH-000528,-0.07663930882230001
ACH-000537,-0.21287042034499998
ACH-000541,-0.42521181762599997
ACH-000542,-0.15908967164899998
ACH-000544,-0.16013872668
ACH-000545,-0.328319903915
ACH-000547,-0.46633007803800003
