,GOLGA6L9 (440295)
ACH-000004,0.36627148173100005
ACH-000007,0.677087409693
ACH-000009,0.483692938495
ACH-000011,0.4895172132
ACH-000012,0.625036702054
ACH-000013,0.526147594289
ACH-000014,0.693717599749
ACH-000015,0.6553684321100001
ACH-000017,0.593511451499
ACH-000018,0.602072992519
ACH-000019,0.5022283620979999
ACH-000021,0.6800938855679999
ACH-000022,0.407152928156
ACH-000025,0.639352730032
ACH-000028,0.6058375925
ACH-000030,0.5598335505150001
ACH-000035,0.561263762079
ACH-000036,0.601022983286
ACH-000037,0.5766387015119999
ACH-000039,0.697969271824
ACH-000040,0.5247181281459999
ACH-000041,0.613640489744
ACH-000042,0.650628327601
ACH-000045,0.627859887987
ACH-000047,0.69163305795
ACH-000052,0.677291352648
ACH-000053,0.457694150748
ACH-000054,0.406468415209
ACH-000055,0.45995820118299996
ACH-000060,0.666636883854
ACH-000067,0.395794337572
ACH-000070,0.7684697637260001
ACH-000075,0.7321226622660001
ACH-000078,0.582355746514
ACH-000082,0.430693095317
ACH-000085,0.589902160877
ACH-000086,0.560230686641
ACH-000087,0.6831821680910001
ACH-000092,0.538140341062
ACH-000095,0.573448145636
ACH-000097,0.5624941576470001
ACH-000098,0.5630343994929999
ACH-000099,0.6056731157649999
ACH-000108,0.611013763939
ACH-000113,0.515466766745
ACH-000115,0.669331321253
ACH-000116,0.5069478213149999
ACH-000118,0.710682707726
ACH-000120,0.617322178552
ACH-000123,0.598740154282
ACH-000127,0.608564937839
ACH-000128,0.547238403179
ACH-000132,0.603438205914
ACH-000133,0.619394221265
ACH-000137,0.551934497873
ACH-000138,0.637277671042
ACH-000142,0.618870625688
ACH-000143,0.830069474576
ACH-000146,0.514905635425
ACH-000148,0.662279217479
ACH-000150,0.748931406831
ACH-000152,0.708340711176
ACH-000153,0.7127076119239999
ACH-000159,0.523089275697
ACH-000160,0.7296644478509999
ACH-000163,0.451592097678
ACH-000167,-0.151844174405
ACH-000168,0.6011522652660001
ACH-000169,0.519324920173
ACH-000178,0.638968484998
ACH-000182,0.5571333876519999
ACH-000183,0.665720860656
ACH-000188,0.7418842960169999
ACH-000189,0.400682862922
ACH-000190,0.6365331592069999
ACH-000198,0.508433703636
ACH-000204,0.60842025852
ACH-000206,0.408967464924
ACH-000207,0.5280760609440001
ACH-000211,0.564713734869
ACH-000215,0.608429513966
ACH-000221,0.623848724709
ACH-000222,0.445293557332
ACH-000223,0.627436412877
ACH-000226,0.515577151282
ACH-000227,0.5687806436949999
ACH-000228,0.628893501636
ACH-000231,0.706929005438
ACH-000232,0.543616096254
ACH-000233,0.463157927984
ACH-000234,0.288974855762
ACH-000235,0.587957334149
ACH-000237,0.735849427569
ACH-000238,0.6782023166600001
ACH-000243,0.48887059726300003
ACH-000244,0.666149986708
ACH-000246,0.521020314975
ACH-000248,0.7404782378910001
ACH-000250,0.38687036453400003
ACH-000251,0.569629334843
ACH-000253,0.531732509654
ACH-000255,0.383846041077
ACH-000256,0.841630856626
ACH-000257,0.9495561491940001
ACH-000258,0.560849011765
ACH-000259,0.7862053782699999
ACH-000260,0.512358141431
ACH-000261,0.552692303943
ACH-000262,0.45971684587300005
ACH-000263,0.45428194159999996
ACH-000264,0.477972921805
ACH-000265,0.499985956029
ACH-000266,0.482159544615
ACH-000272,0.5347248594080001
ACH-000273,0.59158668423
ACH-000274,0.360296074141
ACH-000277,0.796125617405
ACH-000278,0.778092918713
ACH-000279,0.729339052007
ACH-000280,0.38950087086199997
ACH-000281,0.49493868880900005
ACH-000288,0.499330988156
ACH-000291,0.611564711953
ACH-000293,0.357513732866
ACH-000294,0.517720798085
ACH-000295,0.260400928701
ACH-000296,0.6701945071109999
ACH-000302,0.550693101895
ACH-000304,0.757754888893
ACH-000307,0.48483483937399996
