,ZSCAN2 (54993)
ACH-000004,-0.213736289828
ACH-000007,-0.0792335949392
ACH-000009,-0.192911621836
ACH-000011,-0.273580196051
ACH-000012,-0.188441950943
ACH-000013,-0.00294024485408
ACH-000014,-0.0165211468093
ACH-000015,-0.0856295825387
ACH-000017,-0.18998614241300002
ACH-000018,-0.262684585468
ACH-000019,-0.27536249276999997
ACH-000021,-0.068083567884
ACH-000022,-0.176210303187
ACH-000025,-0.0653040088882
ACH-000028,0.0756544637412
ACH-000030,-0.22011034845600003
ACH-000035,-0.264303146651
ACH-000036,-0.0790580330734
ACH-000037,-0.156388145227
ACH-000039,-0.441936165685
ACH-000040,-0.0906492193018
ACH-000041,-0.452361244002
ACH-000042,-0.220770287992
ACH-000045,-0.12329785956599999
ACH-000047,-0.00017770224297099997
ACH-000052,-0.208043028476
ACH-000053,-0.118568167615
ACH-000054,-0.24264862975499998
ACH-000055,-0.37928116105899995
ACH-000060,-0.115852246802
ACH-000067,-0.0479870774431
ACH-000070,-0.0787047587197
ACH-000075,-0.086553929122
ACH-000078,-0.35215898629000003
ACH-000082,-0.258326022315
ACH-000085,-0.120657574682
ACH-000086,-0.0380018147265
ACH-000087,-0.0742053215234
ACH-000092,-0.09102419549239998
ACH-000095,-0.162438225713
ACH-000097,-0.013996950330700001
ACH-000098,-0.033214173815200004
ACH-000099,-0.220539212607
ACH-000108,-0.0967803879402
ACH-000113,-0.0318237480647
ACH-000115,-0.17052814465500002
ACH-000116,-0.0304501992703
ACH-000118,-0.16177308079299998
ACH-000120,-0.31093095183499997
ACH-000123,-0.15474351354399998
ACH-000127,-0.0673567192333
ACH-000128,0.06505489921419999
ACH-000132,-0.11744832758899999
ACH-000133,-0.098240573828
ACH-000137,-0.049703412650100004
ACH-000138,-0.054247637588999996
ACH-000142,-0.0555810382525
ACH-000143,-0.24509324375
ACH-000146,-0.177895854385
ACH-000148,-0.23369460796100003
ACH-000150,-0.0173309520038
ACH-000152,-0.130712405182
ACH-000153,-0.228042438272
ACH-000159,0.00820704144428
ACH-000160,-0.05381871337119999
ACH-000163,-0.011532799631299998
ACH-000167,-0.0743615926882
ACH-000168,-0.21239859607900002
ACH-000169,-0.0754746135855
ACH-000178,-0.0361047558565
ACH-000182,-0.030480668582000003
ACH-000183,-0.190965819702
ACH-000188,-0.161099070412
ACH-000189,-0.130220517742
ACH-000190,-0.158104031931
ACH-000198,-0.234776040883
ACH-000204,-0.032524419556
ACH-000206,-0.205644976707
ACH-000207,-0.000278512542412
ACH-000211,-0.0825719651656
ACH-000215,-0.152491835617
ACH-000221,-0.027948784967900004
ACH-000222,-0.203995038039
ACH-000223,-0.221913428269
ACH-000226,0.0633359830088
ACH-000227,-0.40901865600000004
ACH-000228,-0.0588195999621
ACH-000231,-0.15036370050200001
ACH-000232,-0.144955422321
ACH-000233,-0.0485653604087
ACH-000234,-0.0739697118886
ACH-000235,-0.18553694990400002
ACH-000237,-0.224728078277
ACH-000238,-0.13902350881300002
ACH-000243,-0.187203293484
ACH-000244,-0.0500972413038
ACH-000246,-0.148215773432
ACH-000248,-0.0901235025632
ACH-000250,-0.255928290887
ACH-000251,-0.173148233477
ACH-000253,-0.113935146176
ACH-000255,-0.225125968196
ACH-000256,-0.131022112049
ACH-000257,-0.321239624293
ACH-000258,-0.190480368726
ACH-000259,-0.11108276990700001
ACH-000260,-0.052998007028099994
ACH-000261,-0.04222225224830001
ACH-000262,-0.223588690035
ACH-000263,0.19299438690499998
ACH-000264,-0.136922020201
ACH-000265,-0.19602329924800002
ACH-000266,-0.140131133791
ACH-000272,-0.27049943856499997
ACH-000273,-0.149974354045
ACH-000274,-0.309302537482
ACH-000277,0.05823013095269999
ACH-000278,-0.148617127626
ACH-000279,-0.148436412895
ACH-000280,-0.132973668967
ACH-000281,-0.527629503305
ACH-000288,-0.08993374706689998
ACH-000291,-0.245665530692
ACH-000293,0.126979200081
ACH-000294,-0.20625147879900002
ACH-000295,0.008019103190649999
ACH-000296,-0.400971302307
ACH-000302,-0.065546275961
ACH-000304,-0.161194481635
ACH-000307,-0.248518094999
ACH-000308,-0.188843615348
ACH-000310,-0.5420700165110001
ACH-000311,-0.333081416788
ACH-000312,-0.037973854077
ACH-000315,-0.055762798737699994
ACH-000316,-0.24927716039
ACH-000317,0.0634627973425
ACH-000318,-0.22812874759100002
ACH-000319,-0.006067628678239999
ACH-000320,-0.285250678847
ACH-000322,-0.07786347662910001
ACH-000323,-0.0803534536995
ACH-000324,-0.09381829611379999
ACH-000329,0.0328787718903
ACH-000330,0.000244578270841
ACH-000331,-0.125125682972
ACH-000332,-0.174612849008
ACH-000334,0.07706437164919999
ACH-000335,0.13080054756599999
ACH-000336,-0.0291045896802
ACH-000337,0.005595674970859999
ACH-000339,-0.0698085854615
ACH-000341,0.023679065341699997
ACH-000348,-0.132371793434
ACH-000350,0.00636227645826
ACH-000352,-0.15548531414
ACH-000356,-0.055340532029900004
ACH-000361,-0.127382376809
ACH-000362,-0.103038039468
ACH-000363,-0.19668690423500002
ACH-000364,-0.10759149117999998
ACH-000365,-0.139068335009
ACH-000366,-0.09870687527000001
ACH-000368,-0.048454845860800004
ACH-000374,-0.169840430421
ACH-000375,-0.047571576468799996
ACH-000376,-0.0907918954765
ACH-000381,-0.115479399804
ACH-000383,-0.140184970284
ACH-000387,-0.47508318975
ACH-000389,-0.11867141704000002
ACH-000390,-0.053445421227900004
ACH-000393,-0.0293816648854
ACH-000395,-0.158357060713
ACH-000397,-0.0226383790112
ACH-000401,0.027020383103800002
ACH-000402,-0.241433447987
ACH-000403,-0.0437372262704
ACH-000404,-0.195694896588
ACH-000406,-0.223257966997
ACH-000407,-0.0655459524435
ACH-000408,-0.23255991530499998
ACH-000410,-0.108997811084
ACH-000411,-0.177099522201
ACH-000414,-0.154799226456
ACH-000415,-0.0753846811654
ACH-000416,-0.252183972509
ACH-000420,-0.0183701881883
ACH-000421,-0.189520949493
ACH-000424,-0.156164636701
