,DNMT1 (1786)
ACH-000004,-0.287383469582
ACH-000007,-0.559708528605
ACH-000009,-0.649621664086
ACH-000011,-0.261747278716
ACH-000012,-0.298832126136
ACH-000013,-0.646809592004
ACH-000014,-0.309485887111
ACH-000015,-0.508536531795
ACH-000017,-0.437618353853
ACH-000018,-0.406455565613
ACH-000019,-0.7022028596250001
ACH-000021,-0.58554215315
ACH-000022,-0.553642688738
ACH-000025,-0.455117554216
ACH-000028,-0.5472422684780001
ACH-000030,-0.211283625948
ACH-000035,-0.6250312531960001
ACH-000036,-0.581068315537
ACH-000037,-0.150788130314
ACH-000039,-0.38071004079899995
ACH-000040,-0.304699439701
ACH-000041,-0.7299856533750001
ACH-000042,-0.495435415409
ACH-000045,-0.194627870191
ACH-000047,-0.6314572048129999
ACH-000052,-0.536843019848
ACH-000053,-0.573991943733
ACH-000054,-0.5398355848659999
ACH-000055,-0.5443445618739999
ACH-000060,-0.42092452161399996
ACH-000067,-0.416816398948
ACH-000070,-0.758071915554
ACH-000075,-0.657220217759
ACH-000078,-0.25585888765000003
ACH-000082,-0.591468359746
ACH-000085,-0.372222059863
ACH-000086,-0.7570008126469999
ACH-000087,-0.423051294685
ACH-000092,-0.544779102278
ACH-000095,-0.48594887716300006
ACH-000097,-0.6652724821639999
ACH-000098,-0.559485871121
ACH-000099,-0.266350414147
ACH-000108,-0.660658342877
ACH-000113,-0.6660226354550001
ACH-000115,-0.67456999618
ACH-000116,-0.549781319419
ACH-000118,-0.356831704348
ACH-000120,-0.41024979153999996
ACH-000123,-0.5398462839029999
ACH-000127,-0.470576078098
ACH-000128,-0.300797714039
ACH-000132,-0.489525609687
ACH-000133,-0.500050277456
ACH-000137,-0.372713907305
ACH-000138,-0.515937943561
ACH-000142,-0.5526495814600001
ACH-000143,-0.604106283594
ACH-000146,-0.467585143304
ACH-000148,-0.44233060318899997
ACH-000150,-0.459400324803
ACH-000152,-0.508936078002
ACH-000153,-0.38619724209899997
ACH-000159,-0.7979823060850001
ACH-000160,-0.195672022156
ACH-000163,-0.458950821105
ACH-000167,-0.113914574485
ACH-000168,-0.43578335580399996
ACH-000169,-0.476581201379
ACH-000178,-0.533953310959
ACH-000182,-0.578834842539
ACH-000183,-0.371382705365
ACH-000188,-0.565732786662
ACH-000189,-0.478923559328
ACH-000190,-0.177775650595
ACH-000198,-0.435965766143
ACH-000204,-0.141519587079
ACH-000206,-0.510922146982
ACH-000207,-0.210489480308
ACH-000211,-0.33978669666
ACH-000215,-0.491213473239
ACH-000221,-0.47045490297700004
ACH-000222,-0.421320778899
ACH-000223,-0.627998296004
ACH-000226,-0.5341948406329999
ACH-000227,-0.46556626812
ACH-000228,-0.439902040895
ACH-000231,-0.407485445254
ACH-000232,-0.33987481504199996
ACH-000233,-0.599019965983
ACH-000234,-0.6813681737809999
ACH-000235,-0.58116777046
ACH-000237,-0.5806748341210001
ACH-000238,-0.212697684205
ACH-000243,-0.36290801727300004
ACH-000244,-0.380722745435
ACH-000246,-0.41626073814099995
ACH-000248,-0.461899958508
ACH-000250,-0.678790059393
ACH-000251,-0.639686280323
ACH-000253,-0.51227018635
ACH-000255,-0.614771479142
ACH-000256,-0.611622736827
ACH-000257,-0.188195281672
ACH-000258,-0.329744601885
ACH-000259,-0.39125723319399996
ACH-000260,-0.495703173597
ACH-000261,-0.35836743047799996
ACH-000262,-0.41502573093
ACH-000263,-0.425190449023
ACH-000264,-0.438624993987
ACH-000265,-0.410151438367
ACH-000266,-0.509979901057
ACH-000272,-0.42138185423600005
ACH-000273,-0.505855057432
ACH-000274,-0.558008733133
ACH-000277,-0.250583926941
ACH-000278,-0.650913713712
ACH-000279,-0.5822790251659999
ACH-000280,-0.576539306204
ACH-000281,-0.538683618447
ACH-000288,-0.42418346698799997
ACH-000291,-0.736440284704
ACH-000293,-0.671299095033
ACH-000294,-0.49318660940700004
ACH-000295,-0.603284935835
ACH-000296,-0.47994623871200004
ACH-000302,-0.626521780151
ACH-000304,-0.612450991513
ACH-000307,-0.46926120777099994
ACH-000308,-0.47462667637500006
ACH-000310,-0.328464032007
ACH-000311,-0.46098550267899996
ACH-000312,-0.42431871295100004
ACH-000315,-0.784678323882
ACH-000316,-0.421292344016
ACH-000317,-0.620697044774
ACH-000318,-0.345420901761
ACH-000319,-0.693125493302
ACH-000320,-0.368242453139
ACH-000322,-0.597883325503
ACH-000323,-0.502606167782
ACH-000324,-0.5680739471890001
ACH-000329,-0.327747027656
ACH-000330,-0.680270219556
ACH-000331,-0.7460129334190001
ACH-000332,-0.589760497501
ACH-000334,-0.985749481693
ACH-000335,-0.18350895762400002
ACH-000336,-0.786260909746
ACH-000337,-0.549645303662
ACH-000339,-0.344185654106
ACH-000341,-0.42073989879199997
ACH-000348,-0.446358980612
ACH-000350,-0.310308403369
ACH-000352,-0.653517982965
ACH-000356,-0.47920753695100005
ACH-000361,-0.181980372359
ACH-000362,-0.454751933368
ACH-000363,-0.671704555279
ACH-000364,-0.717973236736
ACH-000365,-0.610488407421
ACH-000366,-0.43939948398199996
ACH-000368,0.19372331667800002
ACH-000374,-0.549381404163
ACH-000375,-0.479250643755
ACH-000376,-0.50422726987
ACH-000381,-0.350533114187
ACH-000383,-0.5299663947559999
ACH-000387,-0.433632999723
ACH-000389,-0.366930463123
ACH-000390,-0.49504605188
ACH-000393,-0.639031088736
ACH-000395,-0.315362611633
ACH-000397,-0.498855304142
ACH-000401,-0.656021495863
ACH-000402,-0.74925072075
ACH-000403,-0.5427368802579999
ACH-000404,-0.33724431467200006
ACH-000406,-0.405686842333
ACH-000407,-0.344188935442
ACH-000408,-0.542614673242
ACH-000410,-0.48183042559199996
ACH-000411,-0.623586994926
ACH-000414,-0.607981457179
ACH-000415,-0.514583682086
ACH-000416,-0.420044387114
ACH-000420,-0.564006171333
ACH-000421,-0.737415302509
ACH-000424,-0.477651828772
ACH-000425,-0.40834658174500005
ACH-000426,-0.541671610148
ACH-000427,-0.450441706377
ACH-000433,-0.655841544553
ACH-000436,-0.37750082674999996
ACH-000444,-0.518343188357
ACH-000445,-0.519407697721
ACH-000448,-0.53347736764
ACH-000450,-0.551273262374
ACH-000452,-0.5219668795019999
ACH-000454,-0.648305454499
ACH-000458,-0.497836833857
ACH-000459,-0.769998650004
ACH-000460,-0.46156415625200004
ACH-000461,-0.6556231460899999
ACH-000463,-0.569420348294
ACH-000464,-0.85503375686
ACH-000466,-0.598197372447
ACH-000467,-0.487246339092
ACH-000468,-0.598421739897
ACH-000469,-0.6327229875399999
ACH-000470,-0.286278636411
ACH-000471,-0.45381715012400003
ACH-000472,-0.342659032869
ACH-000473,-0.55592148432
ACH-000475,-0.35437399487599996
ACH-000476,-0.22394489740600002
ACH-000477,0.0874060707966
ACH-000480,-0.659707055725
ACH-000481,-0.659145253134
ACH-000483,-0.272485773488
ACH-000484,-0.288410779749
ACH-000485,-0.650753105205
ACH-000486,-0.33947734196900003
ACH-000487,-0.348730134233
ACH-000488,-0.525103014267
ACH-000490,-0.695032216314
ACH-000491,-0.560119392981
ACH-000495,-0.463656189749
ACH-000496,-0.275991884515
ACH-000499,-0.337418506367
ACH-000500,-0.108503791612
ACH-000502,-0.381662753561
ACH-000503,-0.147656847894
ACH-000505,-0.31245293466699997
ACH-000507,-0.606572931043
ACH-000510,-0.421971263863
ACH-000511,-0.402641801064
ACH-000512,-0.648287732723
ACH-000516,-0.623593412469
ACH-000517,-0.43398152009900004
ACH-000518,-0.578070050671
