,FIGLA (344018)
ACH-000004,0.281795432316
ACH-000007,-0.294223353109
ACH-000009,-0.0864371606918
ACH-000011,-0.253433518573
ACH-000012,-0.0636518994694
ACH-000013,-0.0123931831059
ACH-000014,-0.00117425109699
ACH-000015,0.021708612295599998
ACH-000017,-0.19883320189
ACH-000018,-0.520485466261
ACH-000019,-0.0813651920755
ACH-000021,-0.0138422964643
ACH-000022,-0.18864617804699998
ACH-000025,-0.00490110333488
ACH-000028,-0.25572104256
ACH-000030,-0.135475705602
ACH-000035,-0.037383611586599995
ACH-000036,-0.141915615352
ACH-000037,-0.224962420541
ACH-000039,-0.0503421029139
ACH-000040,0.168879236437
ACH-000041,-0.0894109305852
ACH-000042,-0.0875740749329
ACH-000045,-0.0621074124481
ACH-000047,-0.000775847734743
ACH-000052,-0.270766773561
ACH-000053,-0.166933613794
ACH-000054,-0.07422114957489999
ACH-000055,-0.11197193827
ACH-000060,-0.053745535462499994
ACH-000067,0.0102337173743
ACH-000070,-0.202460727951
ACH-000075,-0.308837104635
ACH-000078,-0.0978824790819
ACH-000082,0.0589131795239
ACH-000085,-0.0793852791897
ACH-000086,-0.29526217836199997
ACH-000087,-0.0234462014305
ACH-000092,-0.113879188508
ACH-000095,-0.0873642855283
ACH-000097,-0.0506717799231
ACH-000098,0.0249255501826
ACH-000099,-0.254959730351
ACH-000108,-0.162909925452
ACH-000113,0.13925940375
ACH-000115,-0.09613047758610001
ACH-000116,-0.226275222616
ACH-000118,-0.11809795640999998
ACH-000120,-0.09066164949560002
ACH-000123,-0.184411953156
ACH-000127,-0.15854637109099998
ACH-000128,-0.06089340810859999
ACH-000132,0.0663531146863
ACH-000133,0.0192090439466
ACH-000137,0.0159336733501
ACH-000138,-0.049727351744999995
ACH-000142,-0.0915336826257
ACH-000143,-0.06268390478630001
ACH-000146,-0.0757341054615
ACH-000148,-0.0336982063993
ACH-000150,0.0745983517768
ACH-000152,-0.112255362991
ACH-000153,0.298694803201
ACH-000159,-0.10669433765599999
ACH-000160,-0.10899368187000001
ACH-000163,0.152905654324
ACH-000167,0.164182068435
ACH-000168,-0.362499445774
ACH-000169,-0.14121354252499999
ACH-000178,-0.247445707093
ACH-000182,-0.0653890307864
ACH-000183,-0.0540135309607
ACH-000188,-0.24069533346799998
ACH-000189,-0.227151610087
ACH-000190,-0.29171280510200004
ACH-000198,-0.174194900595
ACH-000204,-0.139667872713
ACH-000206,-0.27798587519
ACH-000207,-0.337796747892
ACH-000211,-0.0397075175069
ACH-000215,-0.0665082017382
ACH-000221,-0.114214151479
ACH-000222,-0.0655372914514
ACH-000223,-0.201487154359
ACH-000226,-0.187423948083
ACH-000227,-0.18735707579
ACH-000228,-0.20899331250300002
ACH-000231,-0.049037149561400005
ACH-000232,0.00617212616026
