,DONSON (29980)
ACH-000004,-1.96320508215
ACH-000007,-2.03799069245
ACH-000009,-1.99733120943
ACH-000011,-1.58271858621
ACH-000012,-1.56188346902
ACH-000013,-2.17423957438
ACH-000014,-1.733121855
ACH-000015,-1.7557583732099997
ACH-000017,-1.4882797054199999
ACH-000018,-1.48806385065
ACH-000019,-2.09318942801
ACH-000021,-1.4576063798199999
ACH-000022,-2.28000462635
ACH-000025,-1.8534779624400002
ACH-000028,-1.7824330337099998
ACH-000030,-1.8783376082499998
ACH-000035,-1.38887049549
ACH-000036,-1.81027540999
ACH-000037,-0.136319606044
ACH-000039,-2.10145797759
ACH-000040,-1.56233039552
ACH-000041,-1.96499867741
ACH-000042,-1.9581240470099996
ACH-000045,-1.8026985122599999
ACH-000047,-1.8681966766999998
ACH-000052,-1.72949570585
ACH-000053,-1.80740084214
ACH-000054,-1.8609205848599997
ACH-000055,-1.7109467594799999
ACH-000060,-1.8374492810299998
ACH-000067,-1.37993933546
ACH-000070,-1.9861857216699998
ACH-000075,-1.52018279843
ACH-000078,-2.16804566726
ACH-000082,-1.8439581524400002
ACH-000085,-1.68917997382
ACH-000086,-1.45268463504
ACH-000087,-1.69869520468
ACH-000092,-1.78349200352
ACH-000095,-2.13088522245
ACH-000097,-1.80250904715
ACH-000098,-1.66184990313
ACH-000099,-1.66102050835
ACH-000108,-1.9334159073599997
ACH-000113,-2.08165249564
ACH-000115,-2.11513397015
ACH-000116,-1.9381218683599999
ACH-000118,-1.7820696513099998
ACH-000120,-1.79922792857
ACH-000123,-1.71718095553
ACH-000127,-1.9709875212999999
ACH-000128,-1.9305291021400002
ACH-000132,-1.7878527196
ACH-000133,-1.76529067345
ACH-000137,-1.6276042322400002
ACH-000138,-1.7499152024900002
ACH-000142,-1.6313237544299999
ACH-000143,-1.8414109908900003
ACH-000146,-2.5698448965400003
ACH-000148,-1.58323813739
ACH-000150,-1.8826000201900002
ACH-000152,-1.42483403262
ACH-000153,-1.93831835785
ACH-000159,-2.0356770892400005
ACH-000160,-2.3920782050900002
ACH-000163,-1.6726372707
ACH-000167,-2.51079319706
ACH-000168,-1.7042597726100002
ACH-000169,-1.7672327558099996
ACH-000178,-1.80451110768
ACH-000182,-1.9102214646400002
ACH-000183,-1.63493416625
ACH-000188,-1.5129510814700002
ACH-000189,-1.65459842075
ACH-000190,-1.84843971063
ACH-000198,-1.9094761370900002
ACH-000204,-1.50665603055
ACH-000206,-1.9754035958200002
ACH-000207,-2.1840763112
ACH-000211,-1.85336751817
ACH-000215,-1.93003917285
ACH-000221,-2.17532566119
ACH-000222,-1.98745190159
ACH-000223,-2.00483507339
ACH-000226,-1.53640753861
ACH-000227,-2.3388321852400002
ACH-000228,-2.06047286054
ACH-000231,-1.49135409125
ACH-000232,-1.8375653056099999
ACH-000233,-1.74428426215
ACH-000234,-1.5857236104899999
ACH-000235,-1.94467944949
ACH-000237,-1.81318817912
ACH-000238,-1.8648900189900002
ACH-000243,-1.90242175915
ACH-000244,-1.5825919921200002
ACH-000246,-1.63400027332
ACH-000248,-1.5144930249200002
ACH-000250,-1.8294480059
ACH-000251,-1.34333659227
ACH-000253,-1.9396761953200001
ACH-000255,-1.7495633284099998
ACH-000256,-1.3905831866999998
ACH-000257,-1.21706784599
ACH-000258,-1.49951017514
ACH-000259,-2.1114877847
ACH-000260,-2.01688654067
ACH-000261,-1.78770706542
ACH-000262,-1.9468695480200002
ACH-000263,-2.0717933516400002
ACH-000264,-1.8142722309000001
ACH-000265,-1.6879200547400002
ACH-000266,-1.99859336403
ACH-000272,-1.3868214722299999
ACH-000273,-1.79868337902
ACH-000274,-2.04677021918
ACH-000277,-1.63023420463
ACH-000278,-1.8243062686099998
ACH-000279,-1.98792809093
ACH-000280,-1.8579655054900002
ACH-000281,-1.66768317628
ACH-000288,-1.8494837225999998
ACH-000291,-1.59222523437
ACH-000293,-1.82245459246
ACH-000294,-1.63014257609
ACH-000295,-1.5491545781799998
ACH-000296,-2.13953706629
ACH-000302,-2.1460137186400003
ACH-000304,-1.8953259137
ACH-000307,-1.78643567542
ACH-000308,-2.01061588582
ACH-000310,-2.2470627637900003
ACH-000311,-1.9057006283000002
ACH-000312,-1.9197094051099999
ACH-000315,-1.6033792982799997
ACH-000316,-1.81266702945
ACH-000317,-1.5414985756200001
ACH-000318,-2.2204218451199997
ACH-000319,-1.51441316194
ACH-000320,-2.01761003777
ACH-000322,-1.9784606557299997
ACH-000323,-1.29779237292
ACH-000324,-1.8246777290599998
ACH-000329,-1.9700703251900002
ACH-000330,-1.50056961136
ACH-000331,-1.6942481407299999
ACH-000332,-1.8697052789
ACH-000334,-2.22543547887
ACH-000335,-1.9189992372799998
ACH-000336,-2.2969024719599997
ACH-000337,-1.86380270893
ACH-000339,-1.79917201465
ACH-000341,-2.11870333171
ACH-000348,-2.04191930069
ACH-000350,-2.4382422358799998
ACH-000352,-1.8248384821799999
ACH-000356,-1.57332478738
ACH-000361,-1.7928203588799998
ACH-000362,-1.9614318676700002
ACH-000363,-2.11527688211
ACH-000364,-1.56554887788
ACH-000365,-2.10797395026
ACH-000366,-1.8103504088099998
ACH-000368,-1.31327923706
ACH-000374,-1.5011961758399999
ACH-000375,-1.83126190445
ACH-000376,-1.83366331908
ACH-000381,-1.8208428260599998
ACH-000383,-1.98870128768
ACH-000387,-2.52335637355
ACH-000389,-1.6455315329499998
ACH-000390,-1.8608767994799997
ACH-000393,-1.8586556918200001
ACH-000395,-1.46534507979
ACH-000397,-2.1427286089099997
ACH-000401,-1.53365888771
ACH-000402,-1.9011752201900003
ACH-000403,-2.30905663489
ACH-000404,-1.5721938601199998
ACH-000406,-2.05311528909
ACH-000407,-1.9387741325
ACH-000408,-1.32598195905
ACH-000410,-1.62027350804
ACH-000411,-1.62129035486
ACH-000414,-2.25521631058
ACH-000415,-2.0475807807299997
ACH-000416,-1.6575176183700002
ACH-000420,-1.30108067381
ACH-000421,-1.72081422254
ACH-000424,-1.7449887869299998
ACH-000425,-1.68815803732
ACH-000426,-2.1138121718400003
ACH-000427,-1.8430213604299999
ACH-000433,-1.5772582097999999
ACH-000436,-1.68210599391
ACH-000444,-1.64257892371
ACH-000445,-1.7266707874
ACH-000448,-1.85993318732
ACH-000450,-1.9392382810799997
ACH-000452,-1.93888627248
ACH-000454,-1.60754968284
ACH-000458,-1.62580945488
ACH-000459,-1.64011824384
ACH-000460,-1.7611164921
ACH-000461,-2.0045016336000003
ACH-000463,-1.72983666909
ACH-000464,-1.89154448127
ACH-000466,-2.06894474054
ACH-000467,-1.6717905635799999
ACH-000468,-1.93548987583
ACH-000469,-1.85765250026
ACH-000470,-1.9649142682900003
ACH-000471,-1.75836006395
ACH-000472,-1.97481396722
ACH-000473,-1.4979416194
ACH-000475,-1.90602053872
ACH-000476,-1.7299101560799999
ACH-000477,-1.6067712078100003
ACH-000480,-1.76908532926
ACH-000481,-2.0869257743
ACH-000483,-2.22417431923
ACH-000484,-2.06229662564
ACH-000485,-1.71293865928
ACH-000486,-1.6126789554299998
ACH-000487,-2.05846500461
ACH-000488,-1.7639182169299998
ACH-000490,-1.7928505809900002
ACH-000491,-2.2054347622
ACH-000495,-1.90828535143
ACH-000496,-1.8140430020099998
ACH-000499,-1.54798615364
ACH-000500,-1.9412765593299999
ACH-000502,-1.6214720440500001
ACH-000503,-1.7367675663099997
ACH-000505,-1.88488484185
ACH-000507,-1.9388915934900002
ACH-000510,-1.66300332243
ACH-000511,-1.5848780007499998
ACH-000512,-1.98911621068
ACH-000516,-1.77054609582
ACH-000517,-1.85937052167
ACH-000518,-1.9037452267700001
ACH-000520,-1.64876699713
ACH-000521,-1.63951578509
ACH-000522,-1.92217210309
ACH-000524,-2.52503135565
ACH-000527,-1.7571159595200003
ACH-000528,-1.6264994776
ACH-000537,-1.6868129145
ACH-000541,-2.12407828523
ACH-000542,-1.7496703686400001
ACH-000544,-1.41930905669
ACH-000545,-1.53693575849
ACH-000547,-2.04258065062
ACH-000548,-1.65157931217
ACH-000549,-1.7424425216599997
ACH-000550,-1.54969034741
ACH-000552,-1.68207197435
ACH-000556,-1.8053491538099997
ACH-000557,-2.40544191674
ACH-000570,-1.66034667537
ACH-000571,-2.2361738601499996
ACH-000573,-1.7781394819099998
ACH-000576,-1.73387926335
ACH-000580,-1.9802011713099998
ACH-000584,-1.7784319022200001
ACH-000585,-1.87454671545
ACH-000588,-1.6284343285
ACH-000589,-1.8907324156999998
ACH-000591,-1.77350498449
ACH-000593,-1.90276100464
ACH-000600,-1.49103757639
ACH-000601,-1.7746493575599998
ACH-000604,-1.9869275156400001
ACH-000605,-2.07144493637
ACH-000606,-1.4992919106600002
ACH-000608,-2.13950446378
ACH-000614,-1.51306663958
ACH-000616,-1.67226614074
ACH-000618,-1.99189489445
ACH-000619,-1.63850899287
ACH-000620,-1.8874182446
ACH-000621,-1.9748783310599998
ACH-000622,-2.42790492117
ACH-000623,-1.8649104033000001
ACH-000624,-1.8276003048400002
ACH-000627,-1.8188601516900003
ACH-000630,-1.71468891824
ACH-000632,-1.85834224477
ACH-000633,-2.05630363838
ACH-000637,-1.80171642785
ACH-000638,-1.8574315902400003
ACH-000646,-2.27133316325
ACH-000647,-1.72347853699
ACH-000648,-1.8690692701499998
ACH-000649,-1.5598930252599998
ACH-000651,-1.70101501838
ACH-000652,-2.01651084086
ACH-000653,-1.8725238225
ACH-000657,-1.9208046560099998
ACH-000658,-1.9041162232099997
ACH-000661,-1.81816598022
ACH-000662,-1.80596211102
ACH-000663,-1.7528202872299998
