,GYPA (2993)
ACH-000004,-0.016405895280899998
ACH-000007,-0.0497608087215
ACH-000009,-0.0909747055917
ACH-000011,-0.22060639242
ACH-000012,0.030352671058799997
ACH-000013,0.0416693660045
ACH-000014,-0.27646525024
ACH-000015,-0.10664405501700001
ACH-000017,-0.13106339144999998
ACH-000018,-0.037251943997400006
ACH-000019,-0.281344134771
ACH-000021,-0.173011448713
ACH-000022,-0.165269506935
ACH-000025,0.0662021501902
ACH-000028,-0.07144206192750001
ACH-000030,-0.0956634625897
ACH-000035,0.123416244053
ACH-000036,-0.0785232561571
ACH-000037,-0.10466519818499999
ACH-000039,0.015822063485
ACH-000040,0.0754640453577
ACH-000041,-0.0682067293184
ACH-000042,-0.0428565921187
ACH-000045,-0.147057629803
ACH-000047,0.00450691351363
ACH-000052,-0.135511278856
ACH-000053,0.0262156959613
ACH-000054,-0.15401032295999997
ACH-000055,-0.332245459811
ACH-000060,-0.045861906821800004
ACH-000067,-0.17676568592300002
ACH-000070,-0.0987558346321
ACH-000075,-0.24071637355300002
ACH-000078,-0.07272333587119999
ACH-000082,-0.118997305285
ACH-000085,0.0918901538862
ACH-000086,-0.037359194875199994
ACH-000087,0.226769529374
ACH-000092,-0.216456599392
ACH-000095,-0.136506916607
ACH-000097,-0.09697762703839999
ACH-000098,-0.10937363429300001
ACH-000099,-0.096162283767
ACH-000108,-0.308064995095
ACH-000113,-0.154101976924
ACH-000115,-0.0639022140738
ACH-000116,-0.0520427110419
ACH-000118,-0.105455233512
ACH-000120,-0.005608704306109999
ACH-000123,-0.07705272205839998
ACH-000127,-0.21953582462699997
ACH-000128,-0.141994934795
ACH-000132,-0.135537969626
ACH-000133,-0.227741344648
ACH-000137,-0.06192091715030001
ACH-000138,-0.11943760008899999
ACH-000142,-0.0550884854087
ACH-000143,-0.15240659958699998
ACH-000146,-0.10452942656
ACH-000148,-0.039211062664099995
ACH-000150,-0.124057238143
ACH-000152,-0.0483542755897
ACH-000153,-0.291752619073
ACH-000159,-0.16102434420999998
ACH-000160,-0.156632323993
ACH-000163,-0.0665504617105
ACH-000167,-0.303403875515
ACH-000168,-0.17047118585999999
ACH-000169,-0.08243578888460001
ACH-000178,-0.144183262523
ACH-000182,-0.00411507300734
ACH-000183,-0.101412155603
ACH-000188,-0.18336015459000002
ACH-000189,0.282825849428
ACH-000190,-0.04601606574
ACH-000198,-0.0678936416417
ACH-000204,-0.13732081560599999
ACH-000206,0.0420784922686
ACH-000207,0.142840963154
ACH-000211,-0.24139798135200002
ACH-000215,-0.17979907992400002
ACH-000221,-0.0648981055032
ACH-000222,-0.108209674893
ACH-000223,-0.296138353521
ACH-000226,-0.137999810093
ACH-000227,-0.19390222776299998
ACH-000228,-0.127862999311
ACH-000231,-0.168025785519
ACH-000232,-0.24856802206
ACH-000233,-0.024812646395499998
ACH-000234,-0.29256496072099997
ACH-000235,-0.114932381289
ACH-000237,-0.18806861117100002
ACH-000238,-0.153829930187
ACH-000243,-0.204922377269
ACH-000244,-0.17653332738400002
ACH-000246,-0.16694997503200001
ACH-000248,-0.09381720187039999
ACH-000250,-0.139853478304
ACH-000251,0.0439178266655
ACH-000253,-0.014344722874799999
ACH-000255,-0.0185836160201
ACH-000256,-0.05062921520619999
ACH-000257,-0.335449266383
ACH-000258,-0.40360754138899996
ACH-000259,-0.12701849735600002
ACH-000260,-0.0292322519602
ACH-000261,-0.035569871926
ACH-000262,-0.0720635130989
ACH-000263,-0.183820847747
ACH-000264,-0.0653108060832
ACH-000265,-0.166504089187
ACH-000266,-0.147087442237
ACH-000272,-0.346260186967
ACH-000273,-0.15602311163
ACH-000274,0.00929222020669
ACH-000277,-0.12862293081499998
ACH-000278,-0.034292094677
ACH-000279,-0.0915986555384
ACH-000280,-0.126563214932
ACH-000281,-0.151901892578
ACH-000288,-0.0925430176162
ACH-000291,-0.042970593484500004
ACH-000293,0.12491980785800001
ACH-000294,-0.0240677868164
ACH-000295,-0.27494184644499997
ACH-000296,-0.08873342734999999
ACH-000302,-0.21419146769900002
ACH-000304,-0.270157618484
ACH-000307,-0.0633802144754
ACH-000308,-0.102487029977
ACH-000310,-0.42561318024000006
ACH-000311,-0.201569974209
ACH-000312,-0.20732772512699998
ACH-000315,-0.150563282698
ACH-000316,-0.11876560432199999
ACH-000317,-0.39035353886
ACH-000318,-0.31031516083
ACH-000319,-0.187260625552
ACH-000320,-0.110087783615
ACH-000322,-0.055465199581800004
ACH-000323,-0.04335918717330001
ACH-000324,-0.11798853475099999
ACH-000329,-0.046051082899699995
ACH-000330,-0.26406873941799996
ACH-000331,0.06072721244109999
ACH-000332,-0.152960905713
ACH-000334,-0.019181699862500002
ACH-000335,-0.183519000707
ACH-000336,-0.567686873632
ACH-000337,-0.18488586052
ACH-000339,-0.15535442457
ACH-000341,-0.052011077729599994
ACH-000348,-0.07684977507960002
ACH-000350,-0.29007452923599997
ACH-000352,-0.20373644613400002
ACH-000356,-0.292261522369
ACH-000361,0.00437628261476
ACH-000362,-0.069157047427
ACH-000363,0.07374993546289998
ACH-000364,-0.176153997067
ACH-000365,0.016462679802899997
ACH-000366,-0.108854770102
ACH-000368,-0.120587686412
ACH-000374,-0.304310424703
ACH-000375,-0.00027038439232000003
ACH-000376,-0.09346165973689999
ACH-000381,-0.17874772295299998
ACH-000383,-0.14623586103800001
ACH-000387,-0.06984646868269999
ACH-000389,-0.013112884898299999
ACH-000390,-0.004351489718420001
ACH-000393,-0.088062545119
ACH-000395,-0.232428183823
ACH-000397,-0.0944829377448
ACH-000401,-0.014380396218600001
ACH-000402,-0.0947445145825
ACH-000403,-0.168084029018
ACH-000404,-0.20143523047000003
ACH-000406,-0.0680840969158
ACH-000407,-0.17099424012400002
ACH-000408,-0.153669350205
ACH-000410,-0.0163457703164
ACH-000411,-0.210849846008
ACH-000414,-0.22417133375
ACH-000415,-0.0955039107622
ACH-000416,-0.130542812476
ACH-000420,-0.174580926901
ACH-000421,-0.010428534303
ACH-000424,-0.14029614442500002
ACH-000425,-0.235058804715
ACH-000426,-0.048854762802999996
ACH-000427,-0.0714123742592
ACH-000433,-0.07492304037150001
ACH-000436,-0.171825115664
ACH-000444,-0.0199006634621
ACH-000445,-0.307638268966
ACH-000448,-0.0900709463569
ACH-000450,-0.0262295339476
ACH-000452,-0.149224771565
ACH-000454,-0.21531391034699998
ACH-000458,-0.120333558531
ACH-000459,-0.028990480754900003
ACH-000460,-0.241965887847
ACH-000461,-0.112942491283
ACH-000463,-0.20509993241799998
ACH-000464,-0.09855159819779999
ACH-000466,0.041795688344400006
ACH-000467,-0.028745641390800002
ACH-000468,0.0446215753745
ACH-000469,-0.08003097977519999
ACH-000470,-0.118354735628
ACH-000471,-0.0841618439775
ACH-000472,0.004362374722060001
ACH-000473,-0.0363066347031
ACH-000475,-0.152308211197
ACH-000476,-0.128236971306
ACH-000477,-0.0617554813026
ACH-000480,0.009439553605729999
ACH-000481,-0.129903307169
ACH-000483,0.0145487268274
ACH-000484,0.13688365280200002
ACH-000485,-0.0498178863626
ACH-000486,-0.06335847306839999
ACH-000487,-0.177913654168
ACH-000488,-0.0763675420247
ACH-000490,-0.136732311364
ACH-000491,0.035190357263599994
ACH-000495,-0.08682069101639998
ACH-000496,-0.218260316204
ACH-000499,0.0632246105927
ACH-000500,-0.01811668484
ACH-000502,-0.15874167089000002
ACH-000503,0.165250427186
ACH-000505,-0.0876618483234
ACH-000507,-0.14370217233
ACH-000510,-0.134260665406
ACH-000511,-0.08496376160039999
ACH-000512,0.038786862054400004
ACH-000516,-0.04427420818530001
ACH-000517,-0.136618269107
ACH-000518,-0.025875066418499997
ACH-000520,-0.172279685213
ACH-000521,-0.021329229238299996
ACH-000522,-0.185564774572
ACH-000524,-0.152727723018
ACH-000527,-0.12389161792199999
ACH-000528,-0.0105521105712
ACH-000537,-0.126732784393
ACH-000541,-0.267808160468
ACH-000542,-0.107448963995
ACH-000544,-0.215749346952
ACH-000545,0.11026911774499999
ACH-000547,-0.24693402525699998
ACH-000548,-0.0604342076055
ACH-000549,-0.07390586626199999
