,BMS1 (9790)
ACH-000004,-1.06036305414
ACH-000007,-1.34099348242
ACH-000009,-0.844068770361
ACH-000011,-1.0077342313
ACH-000012,-1.10518078589
ACH-000013,-0.9993132188070001
ACH-000014,-1.24447894452
ACH-000015,-1.0937252104700002
ACH-000017,-1.14831781438
ACH-000018,-1.1399029697399998
ACH-000019,-0.948521361639
ACH-000021,-1.45094404096
ACH-000022,-0.943322792189
ACH-000025,-1.30243039379
ACH-000028,-1.0795358777600002
ACH-000030,-1.14194114216
ACH-000035,-1.52666127817
ACH-000036,-1.1150968340799998
ACH-000037,-0.996489017887
ACH-000039,-1.04485334117
ACH-000040,-1.28002002066
ACH-000041,-1.12398352964
ACH-000042,-1.0147712873899999
ACH-000045,-1.35037883148
ACH-000047,-1.19791363203
ACH-000052,-1.31581430558
ACH-000053,-1.22296550624
ACH-000054,-1.38663193725
ACH-000055,-1.20381959077
ACH-000060,-1.28913950661
ACH-000067,-1.2695081559299999
ACH-000070,-1.3103960911900001
ACH-000075,-1.31378812623
ACH-000078,-1.25084596635
ACH-000082,-1.50998958041
ACH-000085,-0.996556129367
ACH-000086,-1.17291331862
ACH-000087,-1.2416239177600001
ACH-000092,-1.25244241901
ACH-000095,-1.15008973713
ACH-000097,-1.13196667849
ACH-000098,-1.3184098929999999
ACH-000099,-1.0851641482899999
ACH-000108,-1.38072710967
ACH-000113,-1.3271130913299998
ACH-000115,-0.7869806275869999
ACH-000116,-1.15020192709
ACH-000118,-1.11762812985
ACH-000120,-1.1900778568400001
ACH-000123,-1.16000050654
ACH-000127,-1.2005460634799998
ACH-000128,-1.2141493604
ACH-000132,-1.3914442198399999
ACH-000133,-1.18093188278
ACH-000137,-1.27174366896
ACH-000138,-1.08575148614
ACH-000142,-1.2019310347299998
ACH-000143,-1.17309549226
ACH-000146,-1.27111933955
ACH-000148,-1.22272005846
ACH-000150,-1.2560404822700002
ACH-000152,-1.28479369619
ACH-000153,-1.2332583321100001
ACH-000159,-1.42701172009
ACH-000160,-1.3996497824599998
ACH-000163,-1.25689537398
ACH-000167,-1.38843465758
ACH-000168,-1.21296093774
ACH-000169,-1.28639447227
ACH-000178,-1.0644870219
ACH-000182,-1.08115473385
ACH-000183,-1.1105899211299999
ACH-000188,-0.919057945956
ACH-000189,-0.958092019463
ACH-000190,-1.23876481145
ACH-000198,-1.19294261504
ACH-000204,-1.1532400682600001
ACH-000206,-1.10446155582
ACH-000207,-1.22091890021
ACH-000211,-1.17135508514
ACH-000215,-1.3022201049200002
ACH-000221,-0.982338378708
ACH-000222,-1.05891400176
ACH-000223,-0.9241639366650001
ACH-000226,-1.12726107779
ACH-000227,-1.2744891626700001
ACH-000228,-1.33677675349
ACH-000231,-1.21481147644
ACH-000232,-1.29675574114
ACH-000233,-0.928550534631
ACH-000234,-1.2919238933
ACH-000235,-1.01826381735
ACH-000237,-0.953376425357
ACH-000238,-0.964198370746
ACH-000243,-1.13937248131
ACH-000244,-1.23147624648
ACH-000246,-1.14892685096
ACH-000248,-1.13802966311
ACH-000250,-1.1529455210500001
ACH-000251,-0.854973376432
ACH-000253,-1.13084216295
ACH-000255,-1.3351383797799998
ACH-000256,-1.15588574305
ACH-000257,-1.4306964759799998
ACH-000258,-1.25456392265
ACH-000259,-1.19498800894
ACH-000260,-1.1051697756799999
ACH-000261,-1.34316016357
ACH-000262,-1.34599693164
ACH-000263,-1.30852146673
ACH-000264,-1.11733993246
ACH-000265,-1.22902025215
ACH-000266,-1.07952381485
ACH-000272,-1.2214253333
ACH-000273,-1.2082909799500001
ACH-000274,-1.10704918338
ACH-000277,-0.963441788407
ACH-000278,-1.1170027366600002
ACH-000279,-1.3440540624700001
ACH-000280,-1.0965276848999999
ACH-000281,-1.16578171649
ACH-000288,-1.09677699616
ACH-000291,-1.21096606163
ACH-000293,-1.3727956627000002
ACH-000294,-1.31775908213
ACH-000295,-1.0180591909399999
ACH-000296,-1.05683934843
ACH-000302,-1.3499005019299999
ACH-000304,-1.13088031851
ACH-000307,-0.872718668192
ACH-000308,-1.3855767865700002
ACH-000310,-1.37972096092
ACH-000311,-0.957887681664
ACH-000312,-1.07859708985
ACH-000315,-1.1202428715100001
ACH-000316,-1.30920387379
ACH-000317,-0.7928267504009999
ACH-000318,-1.20493687452
ACH-000319,-1.18770054341
ACH-000320,-1.1756432131899999
ACH-000322,-1.58455855019
ACH-000323,-1.4194824874399998
ACH-000324,-1.4359024088299999
ACH-000329,-1.2912144184
ACH-000330,-1.35754352627
ACH-000331,-1.0083371698299999
ACH-000332,-1.00684829034
ACH-000334,-1.08234653214
ACH-000335,-1.28309616319
ACH-000336,-1.2553476056100001
ACH-000337,-1.07280531756
ACH-000339,-1.2204197911799999
ACH-000341,-1.4938601657
ACH-000348,-1.0018365275799999
ACH-000350,-1.0141280224299998
ACH-000352,-1.1675601250499998
ACH-000356,-0.930157349895
ACH-000361,-0.936348709199
ACH-000362,-1.42993289637
ACH-000363,-1.2438658364
ACH-000364,-1.13803039666
ACH-000365,-1.0674989341
ACH-000366,-1.16815801782
ACH-000368,-1.1209979779700001
ACH-000374,-1.2375852295
ACH-000375,-1.1365132113299998
ACH-000376,-1.57071587347
ACH-000381,-1.32999239048
ACH-000383,-0.9695515922169999
ACH-000387,-1.124001161
ACH-000389,-1.16291723295
ACH-000390,-1.0342469642799998
ACH-000393,-1.1709010804
ACH-000395,-1.17018099294
ACH-000397,-1.2826854776999999
ACH-000401,-1.3010246161499999
ACH-000402,-1.27673442126
ACH-000403,-1.25511931279
ACH-000404,-1.37933557833
ACH-000406,-1.1863043006
ACH-000407,-1.0551043499
ACH-000408,-1.1696275167899999
ACH-000410,-1.3829321932499998
ACH-000411,-1.28113801808
ACH-000414,-1.26502392768
ACH-000415,-1.32549259333
ACH-000416,-1.15803744194
ACH-000420,-0.8614375354170001
ACH-000421,-1.1279907992799998
ACH-000424,-1.06401022581
ACH-000425,-1.3936339131600002
ACH-000426,-0.841341278061
ACH-000427,-0.9061482581620001
ACH-000433,-1.43478579608
ACH-000436,-1.1549699305399999
ACH-000444,-1.4032090134200002
ACH-000445,-1.0631567809
ACH-000448,-1.29055150368
ACH-000450,-1.26252488281
ACH-000452,-1.3199061558299998
ACH-000454,-1.13039966377
ACH-000458,-0.8891771815
ACH-000459,-1.00954384115
ACH-000460,-1.0512050170799998
ACH-000461,-0.7670000529250001
ACH-000463,-1.23029354905
ACH-000464,-1.20238412496
ACH-000466,-1.32128041686
ACH-000467,-1.25155854401
ACH-000468,-0.803588997469
ACH-000469,-1.32153902365
ACH-000470,-1.0459318804100002
ACH-000471,-1.0874662837
ACH-000472,-1.15462536969
ACH-000473,-1.0430348797700002
ACH-000475,-1.19841474855
ACH-000476,-1.1558780972799998
ACH-000477,-1.0778236931799998
ACH-000480,-1.14841406109
ACH-000481,-1.19121819178
ACH-000483,-1.13236114804
ACH-000484,-0.943681504166
ACH-000485,-1.14099510221
ACH-000486,-1.15979417545
ACH-000487,-1.05715962178
ACH-000488,-1.12153735639
ACH-000490,-1.1377824812200001
ACH-000491,-1.28641610968
ACH-000495,-1.20222009048
ACH-000496,-1.21957104407
ACH-000499,-1.28062100067
ACH-000500,-0.9971893350390001
ACH-000502,-1.09519679309
ACH-000503,-1.05415975714
ACH-000505,-1.24817266006
ACH-000507,-1.47357247379
ACH-000510,-1.41612564319
ACH-000511,-1.4116838693
ACH-000512,-1.1933258685400001
ACH-000516,-1.21006871762
ACH-000517,-1.11832739895
ACH-000518,-1.1726442784200002
ACH-000520,-1.04796676578
ACH-000521,-1.26084115755
ACH-000522,-1.02452268424
ACH-000524,-1.27295917621
ACH-000527,-1.29565370583
ACH-000528,-1.1592528361799999
ACH-000537,-1.2725630242100001
ACH-000541,-1.17906733903
ACH-000542,-1.4387107146399998
ACH-000544,-0.973835413255
ACH-000545,-1.22376800251
ACH-000547,-1.3534487425600001
ACH-000548,-1.14681587692
ACH-000549,-1.17919426855
ACH-000550,-1.1450526800299998
ACH-000552,-0.951485356556
ACH-000556,-1.25073154486
ACH-000557,-1.3004543932400001
ACH-000570,-0.9363696172679999
ACH-000571,-1.3856541656999999
ACH-000573,-1.10529772797
ACH-000576,-1.19004421464
ACH-000580,-1.59303876102
ACH-000584,-0.9356934199950001
ACH-000585,-1.14447957124
ACH-000588,-1.19587479435
ACH-000589,-1.13247524252
ACH-000591,-1.29641355082
ACH-000593,-1.28982195125
ACH-000600,-1.30808592747
