,ABCE1 (6059)
ACH-000004,-1.04421612713
ACH-000007,-1.09690558951
ACH-000009,-1.10525019204
ACH-000011,-0.893910640696
ACH-000012,-1.24155412282
ACH-000013,-0.977174229083
ACH-000014,-1.02654499401
ACH-000015,-1.0144030647799998
ACH-000017,-1.10169573191
ACH-000018,-0.913866026713
ACH-000019,-1.21126153426
ACH-000021,-1.014892966
ACH-000022,-1.07898855793
ACH-000025,-1.0075129441700001
ACH-000028,-0.9565879517229999
ACH-000030,-1.08599505491
ACH-000035,-0.9358560274879999
ACH-000036,-1.0342064737899999
ACH-000037,-1.68949148264
ACH-000039,-1.22782173921
ACH-000040,-1.09197569176
ACH-000041,-0.8175845706939999
ACH-000042,-0.8978812434010001
ACH-000045,-1.03019180288
ACH-000047,-0.957869369203
ACH-000052,-1.35639223484
ACH-000053,-1.0651855013200002
ACH-000054,-1.13352304776
ACH-000055,-1.06150124703
ACH-000060,-1.49917450942
ACH-000067,-1.26143428081
ACH-000070,-1.34524337572
ACH-000075,-1.2498707504100002
ACH-000078,-1.06988171005
ACH-000082,-1.19780962983
ACH-000085,-0.9858360536
ACH-000086,-1.2479922377500001
ACH-000087,-0.793067786728
ACH-000092,-1.53837598016
ACH-000095,-1.20390051719
ACH-000097,-0.79590898485
ACH-000098,-1.48337606924
ACH-000099,-1.11042660082
ACH-000108,-1.08618689076
ACH-000113,-1.0479896293700002
ACH-000115,-0.9819474829889999
ACH-000116,-1.05148076351
ACH-000118,-0.897601128047
ACH-000120,-1.09941436216
ACH-000123,-0.999759132233
ACH-000127,-1.2282103929600001
ACH-000128,-1.35624545683
ACH-000132,-1.22377670472
ACH-000133,-1.08573921909
ACH-000137,-0.872340088089
ACH-000138,-1.08947767236
ACH-000142,-1.0206393945
ACH-000143,-0.984231276841
ACH-000146,-0.793800386049
ACH-000148,-1.0797164881899999
ACH-000150,-1.3390654038
ACH-000152,-1.2143272943999999
ACH-000153,-1.16395997525
ACH-000159,-1.35714521113
ACH-000160,-1.16362006396
ACH-000163,-1.0326323444299998
ACH-000167,-1.4878116432
ACH-000168,-1.17520521045
ACH-000169,-0.97365040088
ACH-000178,-0.8924467892200001
ACH-000182,-1.2930591496
ACH-000183,-1.09655755357
ACH-000188,-0.9716895956899999
ACH-000189,-1.0492191222799998
ACH-000190,-1.22994273771
ACH-000198,-0.9812849934219999
ACH-000204,-1.24120485433
ACH-000206,-1.18639758451
ACH-000207,-1.14283602014
ACH-000211,-1.15967653844
ACH-000215,-1.35771150199
ACH-000221,-1.04256121363
ACH-000222,-1.15195840116
ACH-000223,-1.12674430303
ACH-000226,-1.17666505067
ACH-000227,-1.2691711996700001
ACH-000228,-0.965204313058
ACH-000231,-1.24936629087
ACH-000232,-0.9947008198430001
ACH-000233,-1.06488835125
ACH-000234,-1.0677678367399999
ACH-000235,-1.10712691656
ACH-000237,-0.918932843642
ACH-000238,-1.2685338599299998
ACH-000243,-0.8352065202060001
ACH-000244,-1.0925586970299999
ACH-000246,-0.851884720391
ACH-000248,-1.11474834302
ACH-000250,-1.2564530230700002
ACH-000251,-1.16274866088
ACH-000253,-1.14298561493
ACH-000255,-0.720977864101
ACH-000256,-1.24599767896
ACH-000257,-1.54389413586
ACH-000258,-1.13021569573
ACH-000259,-0.8868717977949999
ACH-000260,-1.02450889043
