,STXBP5L (9515)
ACH-000004,-0.0792877113474
ACH-000007,-0.10468292161699999
ACH-000009,-0.131731275147
ACH-000011,0.0641017974181
ACH-000012,-0.12062675188899999
ACH-000013,0.246377852929
ACH-000014,-0.11213853762
ACH-000015,-0.111201894848
ACH-000017,0.10339247512399999
ACH-000018,-0.0008938469906989998
ACH-000019,-0.394534082838
ACH-000021,-0.19748719407600002
ACH-000022,0.017050692602799997
ACH-000025,-0.008560852160819999
ACH-000028,-0.10518048908
ACH-000030,-0.06936855346660001
ACH-000035,-0.23833641649300003
ACH-000036,-0.0610178748735
ACH-000037,0.05956672270959999
ACH-000039,-0.0996549049408
ACH-000040,0.0393278124955
ACH-000041,0.022580190558
ACH-000042,-0.0862034789183
ACH-000045,0.0419530125263
ACH-000047,-0.14755465487
ACH-000052,-0.0734940812857
ACH-000053,-0.0146237661194
ACH-000054,-0.012664573359600001
ACH-000055,-0.17661308380999996
ACH-000060,-0.275373699781
ACH-000067,-0.246546120221
ACH-000070,-0.140391985502
ACH-000075,0.0406593451947
ACH-000078,-0.0532985487732
ACH-000082,-0.0611504982467
ACH-000085,-0.0342624412958
ACH-000086,-0.14281130198300002
ACH-000087,0.10419274660700001
ACH-000092,-0.0146088269373
ACH-000095,-0.0189292681954
ACH-000097,-0.051783364727
ACH-000098,-0.103632416717
ACH-000099,0.007972906030709999
ACH-000108,-0.105647740704
ACH-000113,-0.0342369159403
ACH-000115,-0.331526950885
ACH-000116,-0.010393955290399999
ACH-000118,-0.180535575255
ACH-000120,-0.0317314138829
ACH-000123,-0.048438760845400004
ACH-000127,0.0294925652251
ACH-000128,-0.214004605516
ACH-000132,-0.182818436325
ACH-000133,-0.0516072407496
ACH-000137,-0.0512228388138
ACH-000138,-0.015471041050899999
ACH-000142,-0.150738921808
ACH-000143,0.0745263165581
ACH-000146,-0.10077223299900001
ACH-000148,0.13205731448799998
ACH-000150,0.052159607790099996
ACH-000152,-0.08066581723749999
ACH-000153,0.107296676711
ACH-000159,-0.0983611673914
ACH-000160,-0.26624319498599996
ACH-000163,-0.0130170729445
ACH-000167,0.0969177693067
ACH-000168,-0.142978981775
ACH-000169,-0.0626916944997
ACH-000178,-0.102292383357
ACH-000182,-0.0386570927833
ACH-000183,-0.10546080636800001
ACH-000188,-0.0727281294526
ACH-000189,-0.081833264777
ACH-000190,-0.152669793871
ACH-000198,-0.146498203934
ACH-000204,-0.126935851033
ACH-000206,0.272316699232
ACH-000207,-0.375022143954
ACH-000211,-0.08923983051560001
ACH-000215,-0.080965069902
ACH-000221,-0.12510547338199998
ACH-000222,-0.154336349106
ACH-000223,-0.158318456296
ACH-000226,-0.0479914750674
ACH-000227,0.0588992456951
ACH-000228,-0.010434114144
ACH-000231,-0.0641724606254
ACH-000232,-0.0371897041785
ACH-000233,0.105247411451
ACH-000234,-0.09254954928919999
ACH-000235,-0.161219146847
ACH-000237,-0.12382049822499999
ACH-000238,0.0785484573041
ACH-000243,-0.0724756265252
ACH-000244,-0.04698508209149999
ACH-000246,0.105220837531
ACH-000248,0.0271992654267
ACH-000250,-0.170368094359
ACH-000251,-0.083333577308
ACH-000253,0.032370389837199996
ACH-000255,-0.186085418485
ACH-000256,0.17746842724800002
ACH-000257,-0.242475484344
ACH-000258,-0.264617634582
ACH-000259,-0.11618535777200001
ACH-000260,-0.0725417666413
ACH-000261,-0.143060529313
ACH-000262,0.0294843612917
ACH-000263,-0.0559152919486
ACH-000264,-0.031327908320100004
ACH-000265,-0.177436476224
ACH-000266,-0.119049073505
ACH-000272,-0.229504932069
ACH-000273,-0.04999871004959999
ACH-000274,-0.129158354034
ACH-000277,-0.10062081507000001
ACH-000278,-0.210897965897
ACH-000279,-0.17208716821400002
ACH-000280,-0.0883705109264
ACH-000281,0.00142303323063
ACH-000288,0.0066754783955899994
ACH-000291,-0.0275239004647
ACH-000293,-0.128868018294
ACH-000294,-0.133754074449
ACH-000295,-0.1189393049
ACH-000296,0.037577874662300004
ACH-000302,-0.07687257010969999
ACH-000304,-0.0696178638795
ACH-000307,-0.0249513407748
ACH-000308,-0.00298688996414
ACH-000310,0.005176341026100001
ACH-000311,0.100893541383
ACH-000312,-0.130512981524
ACH-000315,0.0523921793542
ACH-000316,0.007311912093890001
