,DPYD (1806)
ACH-000004,0.10149646111999999
ACH-000007,0.0656756982228
ACH-000009,-0.208032924646
ACH-000011,-0.138704365864
ACH-000012,-0.100760743757
ACH-000013,-0.0553367667856
ACH-000014,-0.07199380402210001
ACH-000015,-0.0457374536533
ACH-000017,-0.13374539062899998
ACH-000018,-0.40279795014700004
ACH-000019,0.182438916572
ACH-000021,-0.08887361250769998
ACH-000022,0.00802254848428
ACH-000025,-0.262833106332
ACH-000028,-0.17737571901000002
ACH-000030,-0.0895665723821
ACH-000035,-0.195942077648
ACH-000036,-0.233275853534
ACH-000037,0.247345439849
ACH-000039,-0.110845732365
ACH-000040,-0.341473440485
ACH-000041,-0.11101845505899999
ACH-000042,-0.0464768442386
ACH-000045,-0.141700029141
ACH-000047,-0.19197930285599998
ACH-000052,-0.323781354204
ACH-000053,-0.07765495826060001
ACH-000054,-0.120130952381
ACH-000055,-0.208807493278
ACH-000060,-0.216872274118
ACH-000067,-0.0201697748027
ACH-000070,0.0201805969254
ACH-000075,-0.10641193821
ACH-000078,-0.39226283339699997
ACH-000082,-0.154202224069
ACH-000085,-0.287154156762
ACH-000086,-0.16938918273200002
ACH-000087,-0.268800079147
ACH-000092,-0.168228410822
ACH-000095,-0.14807741341800001
ACH-000097,-0.263258910098
ACH-000098,-0.06806395751699999
ACH-000099,-0.05550227212730001
ACH-000108,-0.004326714154029999
ACH-000113,0.029369257798799998
ACH-000115,-0.08194238480539999
ACH-000116,-0.0173391895692
ACH-000118,-0.144527331152
ACH-000120,-0.328154914028
ACH-000123,0.0227416904973
ACH-000127,-0.23304640608899999
ACH-000128,-0.10195201410900001
ACH-000132,-0.292739184023
ACH-000133,-0.362132285208
ACH-000137,-0.275981701672
ACH-000138,-0.08578488175419999
ACH-000142,0.0554710101841
ACH-000143,-0.146669375428
ACH-000146,-0.125745939921
ACH-000148,-0.20281346605300002
ACH-000150,-0.0069701892246699995
ACH-000152,-0.20798464653700002
ACH-000153,-0.33561670201399996
ACH-000159,-0.363038287791
ACH-000160,-0.021073464356299997
ACH-000163,-0.228940166082
ACH-000167,-0.198955778894
ACH-000168,-0.251165660545
ACH-000169,0.0647987443792
ACH-000178,-0.161913711
ACH-000182,-0.043244654238
ACH-000183,-0.141922338914
ACH-000188,-0.275093413092
ACH-000189,-0.24816781096
ACH-000190,-0.09094914628789999
ACH-000198,-0.07245135588539998
ACH-000204,-0.0283875499389
ACH-000206,0.045555327004
ACH-000207,0.121467015445
ACH-000211,-0.145473045152
ACH-000215,-0.172756259908
ACH-000221,-0.196451169751
ACH-000222,0.00537094694667
ACH-000223,-0.230652430433
ACH-000226,-0.05524670333309999
ACH-000227,-0.348139110493
ACH-000228,-0.120144273462
ACH-000231,-0.211638910829
ACH-000232,-0.23321800872600001
ACH-000233,-0.10888391498700001
ACH-000234,0.181570210741
ACH-000235,-0.19213406678599998
ACH-000237,-0.109338222739
ACH-000238,0.013814928280299999
ACH-000243,-0.00553053524927
ACH-000244,0.0390723528196
ACH-000246,-0.141901237023
ACH-000248,-0.11879784922299999
ACH-000250,-0.06940008921730001
ACH-000251,-0.08237295841239999
ACH-000253,0.0334568548607
ACH-000255,-0.256814057049
ACH-000256,-0.06581001406550001
ACH-000257,-0.423958839182
ACH-000258,0.056999579134499996
ACH-000259,-0.172790404488
ACH-000260,-0.149158674094
ACH-000261,-0.24037546693700002
ACH-000262,0.127985176491
ACH-000263,0.08934792261399999
ACH-000264,-0.152116538394
ACH-000265,-0.0940137893174
ACH-000266,-0.183967026389
ACH-000272,-0.222206784469
ACH-000273,-0.292184429795
ACH-000274,-0.17733088883
ACH-000277,-0.14033702119000002
