,ZCWPW2 (152098)
ACH-000004,-0.30948701347
ACH-000007,-0.315454622514
ACH-000009,-0.406156453837
ACH-000011,-0.194751809472
ACH-000012,-0.5205357200249999
ACH-000013,0.031827927255099996
ACH-000014,-0.260630503481
ACH-000015,-0.265282251782
ACH-000017,-0.19383763362999998
ACH-000018,-0.334933126554
ACH-000019,-0.0864405453864
ACH-000021,-0.145102516682
ACH-000022,-0.5090775788040001
ACH-000025,-0.316370244067
ACH-000028,-0.28034759766899997
ACH-000030,-0.255537549815
ACH-000035,-0.284813516423
ACH-000036,-0.46057238282799995
ACH-000037,-0.145952726219
ACH-000039,-0.33503813233699997
ACH-000040,-0.14219536067299998
ACH-000041,-0.0815467498813
ACH-000042,-0.40926040754299997
ACH-000045,-0.174471285585
ACH-000047,-0.09217286422139999
ACH-000052,-0.20150435164
ACH-000053,-0.500458615835
ACH-000054,-0.273588968557
ACH-000055,-0.127944088884
ACH-000060,-0.25934139454300004
ACH-000067,-0.302670130735
ACH-000070,-0.0105381974329
ACH-000075,-0.07500075930210001
ACH-000078,-0.406653267636
ACH-000082,0.056460322465900006
ACH-000085,0.000989528490756
ACH-000086,-0.0413583645751
ACH-000087,0.108840596744
ACH-000092,-0.117925787446
ACH-000095,-0.176028718364
ACH-000097,-0.0996232777383
ACH-000098,-0.28424544446899996
ACH-000099,-0.157933134166
ACH-000108,-0.41828971332500003
ACH-000113,-0.234778216608
ACH-000115,-0.126255579123
ACH-000116,-0.08749413149310001
ACH-000118,-0.165913196529
ACH-000120,-0.28468263934300003
ACH-000123,-0.413487405075
ACH-000127,-0.0274373500784
ACH-000128,-0.147230725352
ACH-000132,-0.144964831365
ACH-000133,-0.0358640854914
ACH-000137,-0.05183356975719999
ACH-000138,-0.557625352865
ACH-000142,-0.25998339320999997
ACH-000143,-0.342434877441
ACH-000146,-0.26940823781
ACH-000148,-0.036028320051800004
ACH-000150,-0.0809889566235
ACH-000152,-0.22432489094099997
ACH-000153,-0.00413290429068
ACH-000159,-0.225064305509
ACH-000160,-0.181901090067
ACH-000163,-0.184414046782
ACH-000167,-0.327001986622
ACH-000168,-0.09585203632089999
ACH-000169,-0.0642952847439
ACH-000178,-0.14589362221
ACH-000182,-0.11451225160299999
ACH-000183,-0.49957022976800003
ACH-000188,-0.14980631152499999
ACH-000189,-0.11808571557299999
ACH-000190,-0.190851713862
ACH-000198,-0.18503678074299998
ACH-000204,-0.402640785981
ACH-000206,-0.216779426403
ACH-000207,-0.375412374024
ACH-000211,-0.35510961559
ACH-000215,-0.160685661522
ACH-000221,0.05861531562819999
ACH-000222,-0.491359187694
