,BCDIN3D (144233)
ACH-000004,-0.285044882289
ACH-000007,-0.361484224841
ACH-000009,-0.376577975084
ACH-000011,-0.377672959759
ACH-000012,-0.269700049864
ACH-000013,-0.47327494501199996
ACH-000014,-0.264861815214
ACH-000015,-0.444997453155
ACH-000017,-0.59691000323
ACH-000018,-0.10361125804099999
ACH-000019,-0.38131736695
ACH-000021,-0.50132048819
ACH-000022,-0.266140423544
ACH-000025,-0.5749129564159999
ACH-000028,-0.707485675865
ACH-000030,-0.42863403902400005
ACH-000035,-0.35018484434299996
ACH-000036,-0.42105833717200003
ACH-000037,-0.135540216921
ACH-000039,-0.357238826554
ACH-000040,-0.37169667519500005
ACH-000041,-0.485134120371
ACH-000042,-0.29900406231800003
ACH-000045,-0.164014665475
ACH-000047,-0.375681987451
ACH-000052,-0.24025226642499997
ACH-000053,-0.368484915755
ACH-000054,-0.35123330437
ACH-000055,-0.260404168328
ACH-000060,-0.09287241738219999
ACH-000067,-0.08828427282700001
ACH-000070,-0.332750911056
ACH-000075,-0.545106689673
ACH-000078,-0.18896686774399998
ACH-000082,-0.387205945363
ACH-000085,-0.0579080256109
ACH-000086,-0.5330611158649999
ACH-000087,-0.40577388401500003
ACH-000092,-0.314912165257
ACH-000095,-0.286519961624
ACH-000097,-0.403877055216
ACH-000098,-0.21205446314100002
ACH-000099,-0.44062006207099996
ACH-000108,-0.176115866874
ACH-000113,-0.30360701318300004
ACH-000115,-0.490804256418
ACH-000116,-0.36548477913500005
ACH-000118,-0.40977151266199996
ACH-000120,-0.38476739345
ACH-000123,-0.405794219798
ACH-000127,-0.249429766041
ACH-000128,-0.5555424156059999
ACH-000132,-0.362734834457
ACH-000133,-0.375397899179
ACH-000137,-0.532969184489
ACH-000138,-0.547961002098
ACH-000142,-0.301845959746
ACH-000143,-0.308974239953
ACH-000146,-0.202264737517
ACH-000148,-0.23801076729600001
ACH-000150,-0.35497069236999995
ACH-000152,-0.607077907404
ACH-000153,-0.489834262474
ACH-000159,-0.265663926537
ACH-000160,-0.3089713782
ACH-000163,-0.2791733514
ACH-000167,-0.145932870026
ACH-000168,-0.355136406302
ACH-000169,-0.04940029722630001
ACH-000178,-0.341359347943
ACH-000182,-0.250643325224
ACH-000183,-0.209634118948
ACH-000188,-0.318240132884
ACH-000189,-0.328356965918
ACH-000190,-0.22792921048599998
ACH-000198,-0.382699261998
ACH-000204,-0.420691110209
ACH-000206,-0.383646205277
ACH-000207,-0.145087421719
ACH-000211,-0.302161787172
ACH-000215,-0.43491371522
ACH-000221,-0.384281615319
ACH-000222,-0.46851996507
ACH-000223,-0.37517672751599995
ACH-000226,-0.333167372455
ACH-000227,-0.140367928931
ACH-000228,-0.234961420676
ACH-000231,-0.397407350727
ACH-000232,-0.456325025946
ACH-000233,-0.31706671686500004
ACH-000234,-0.775590380511
ACH-000235,-0.451226479712
ACH-000237,-0.149666523302
ACH-000238,-0.277569500708
ACH-000243,-0.460044941541
ACH-000244,-0.12264521915200001
ACH-000246,-0.46327859374799996
ACH-000248,-0.312691556737
ACH-000250,-0.295207233239
ACH-000251,-0.668577054265
ACH-000253,-0.204192832274
ACH-000255,-0.455640014713
ACH-000256,-0.13447352658
ACH-000257,-0.29233285650699997
ACH-000258,-0.146091250488
ACH-000259,-0.48301090920100004
ACH-000260,-0.38128579943
ACH-000261,-0.448304686547
ACH-000262,-0.21022853250999998
ACH-000263,-0.7919618541969999
ACH-000264,-0.324521410549
ACH-000265,-0.531315086461
ACH-000266,-0.49031400006000003
ACH-000272,-0.19916112830899999
ACH-000273,-0.269152959926
ACH-000274,-0.35993176055200005
ACH-000277,-0.645399721989
ACH-000278,-0.534165759837
ACH-000279,-0.351479164299
ACH-000280,-0.156289752507
ACH-000281,-0.453211923167
ACH-000288,-0.405275061382
ACH-000291,-0.384477539923
ACH-000293,-0.20463123962699997
ACH-000294,-0.308879550003
ACH-000295,-0.159288163063
ACH-000296,-0.201984375874
ACH-000302,-0.410190119551
ACH-000304,-0.278829676942
ACH-000307,-0.425022388213
ACH-000308,-0.40400372217
ACH-000310,-0.406149481784
ACH-000311,-0.523067479729
ACH-000312,-0.570946152566
