,BTG1 (694)
ACH-000004,-0.0061485414105199995
ACH-000007,0.0151777250639
ACH-000009,0.0242282373855
ACH-000011,-0.17209922505
ACH-000012,-0.238146941417
ACH-000013,-0.0454427950628
ACH-000014,-0.121689088444
ACH-000015,-0.006747315436680001
ACH-000017,-0.0926754744403
ACH-000018,0.0684849509528
ACH-000019,-0.105988595418
ACH-000021,-0.113294037406
ACH-000022,-0.113381662109
ACH-000025,-0.18633983704999998
ACH-000028,-0.109925403453
ACH-000030,-0.178695308966
ACH-000035,0.128559523087
ACH-000036,0.05984859018349999
ACH-000037,-0.0757361985028
ACH-000039,-0.40279940589
ACH-000040,-0.383020141856
ACH-000041,-0.0880186817443
ACH-000042,-0.0884437179864
ACH-000045,0.0744160082612
ACH-000047,-0.08032114436139999
ACH-000052,-0.39101077717
ACH-000053,0.0406504967809
ACH-000054,-0.179496494114
ACH-000055,-0.267443818249
ACH-000060,-0.11037263064899999
ACH-000067,-0.392279745026
ACH-000070,-0.12991261041
ACH-000075,0.068326683871
ACH-000078,-0.23842871149999997
ACH-000082,-0.338722550278
ACH-000085,-0.20717506605099997
ACH-000086,-0.18256383479200003
ACH-000087,-0.399525919977
ACH-000092,-0.026124829106099996
ACH-000095,-0.05054628559769999
ACH-000097,-0.175463476771
ACH-000098,-0.0427377645467
ACH-000099,-0.0754094677802
ACH-000108,0.0217512753108
ACH-000113,-0.120901256869
ACH-000115,-0.009974351042450001
ACH-000116,-0.117170109573
ACH-000118,-0.206991108353
ACH-000120,-0.132931595556
ACH-000123,-0.0990784612418
ACH-000127,-0.038110587953
ACH-000128,-0.205192860013
ACH-000132,0.147999315417
ACH-000133,-0.24953997399099997
ACH-000137,-0.14082806643100002
ACH-000138,0.11970380650800001
ACH-000142,-0.161782459879
ACH-000143,-0.28674392031199997
ACH-000146,-0.18039014671599998
ACH-000148,-0.209894859449
ACH-000150,-0.10394803052200001
ACH-000152,-0.13873652068700001
ACH-000153,-0.107864145581
ACH-000159,0.0609127027661
ACH-000160,0.037459172202499995
ACH-000163,-0.020669488309599998
ACH-000167,0.864755663485
ACH-000168,0.206325253343
ACH-000169,-0.426695740382
ACH-000178,-0.0929458816021
ACH-000182,-0.256664683375
ACH-000183,0.165283882496
ACH-000188,-0.235403838863
ACH-000189,-0.0028364417922300002
ACH-000190,0.0112797799661
ACH-000198,-0.08118384077589999
ACH-000204,0.0777543100727
ACH-000206,-0.24954227895999997
ACH-000207,-0.209550628705
ACH-000211,-0.20052794613699998
ACH-000215,-0.27815230135499996
ACH-000221,-0.0765826180685
ACH-000222,-0.102456707624
ACH-000223,-0.192647114794
ACH-000226,-0.301365805943
ACH-000227,-0.0730269644045
ACH-000228,-0.368039441669
ACH-000231,-0.0716669668418
ACH-000232,-0.13728526637900001
ACH-000233,-0.533135045708
ACH-000234,-0.163873648114
ACH-000235,-0.21915544615899998
ACH-000237,-0.444545861303
ACH-000238,-0.290950992716
ACH-000243,-0.37732416876599995
ACH-000244,-0.0280282620686
ACH-000246,-0.101175357223
ACH-000248,-0.362676701958
ACH-000250,-0.041782870511
ACH-000251,-0.106988980459
ACH-000253,-0.0151753727341
ACH-000255,-0.163686569496
ACH-000256,-0.0756971783077
ACH-000257,-0.0764430931647
ACH-000258,-0.524262848518
ACH-000259,-0.0755304531025
ACH-000260,-0.0743839665833
ACH-000261,-0.204035506905
ACH-000262,-0.158550151065
ACH-000263,-0.189303882744
ACH-000264,-0.37188396619999997
ACH-000265,-0.06375235116030001
ACH-000266,-0.106400906192
ACH-000272,0.0295124426689
ACH-000273,-0.218017051303
ACH-000274,-0.137116291656
ACH-000277,0.0469308412375
ACH-000278,-0.038145513059699994
ACH-000279,0.0572704613121
ACH-000280,-0.1324151589
ACH-000281,-0.150231757468
ACH-000288,-0.0897042603304
ACH-000291,-0.145476292521
ACH-000293,0.062015466366
ACH-000294,-1.0268245300499999
ACH-000295,-0.10320938448599999
ACH-000296,0.170261246748
ACH-000302,0.040504526717099996
ACH-000304,-0.218275350061
ACH-000307,-0.14010402489600002
ACH-000308,-0.0590106358897
ACH-000310,-0.136099863548
ACH-000311,-0.585408700468
ACH-000312,0.00047254977442800003
ACH-000315,-0.196518475991
ACH-000316,0.0615785346091
ACH-000317,-0.07281135389339999
ACH-000318,-0.314142044511
ACH-000319,-0.300482416661
ACH-000320,-0.17760796460900002
ACH-000322,0.00605020307646
ACH-000323,0.14940374484000002
ACH-000324,-0.0505898002811
ACH-000329,-0.273480558107
ACH-000330,-0.12029028122999999
ACH-000331,-0.14061124949
ACH-000332,-0.0157393616404
ACH-000334,-0.158600070306
ACH-000335,-0.420269879753
ACH-000336,-0.09056023060799999
ACH-000337,-0.40427948022
ACH-000339,-0.25119901726599997
