,ACYP2 (98)
ACH-000318,-0.025525022392000003
ACH-000319,0.184428339621
ACH-000320,0.272619351803
ACH-000322,0.18787700296100002
ACH-000323,0.0659280631395
ACH-000324,-0.023193341929799997
ACH-000329,0.0532165984906
ACH-000330,0.0295622421857
ACH-000331,0.0846750787152
ACH-000332,0.15635227849400002
ACH-000334,0.055657185232499996
ACH-000335,0.022692135413900003
ACH-000336,0.013128922175200002
ACH-000337,0.305709522346
ACH-000339,0.09115453500060001
ACH-000341,-0.0277221117508
ACH-000348,0.0791418591287
ACH-000350,0.0413236176031
ACH-000352,0.10495738606100001
ACH-000356,-0.117998558233
ACH-000361,0.414013178149
ACH-000362,0.152086978625
ACH-000363,0.0856088095261
ACH-000364,0.193927430027
ACH-000365,0.11109872132300001
ACH-000366,-0.104376445552
ACH-000368,0.0157305587576
ACH-000374,0.0652784988836
ACH-000375,0.0355081028236
ACH-000376,0.11251740717700001
ACH-000381,-0.206600247443
ACH-000383,0.011925547469500001
ACH-000387,0.027188352615099998
ACH-000389,0.274284392459
ACH-000390,-0.109669078029
ACH-000393,0.160960450147
ACH-000395,0.133916273027
ACH-000397,0.158895101122
ACH-000401,0.28967821349100004
ACH-000402,-0.175761087384
ACH-000403,0.116630959365
ACH-000404,0.233780738878
ACH-000406,0.158601168595
ACH-000407,-0.16774462996
ACH-000408,0.23823551722300002
ACH-000410,0.0045026013433599995
ACH-000411,-0.016601186948
ACH-000414,0.032738451745899996
ACH-000415,0.0157175966229
ACH-000416,0.10345626471899999
ACH-000420,0.09551613998649999
ACH-000421,0.09790310152939999
ACH-000424,0.181690240678
ACH-000425,0.0659884316166
ACH-000426,0.29286732139000005
ACH-000427,0.232357971774
ACH-000433,0.0793228587122
ACH-000436,0.023539688689900005
ACH-000444,0.112869016175
ACH-000445,0.24524050698199998
ACH-000448,-0.009113586036940001
ACH-000450,0.302760347428
ACH-000452,0.115733598859
ACH-000454,0.10787353179400001
ACH-000458,0.047588530601599996
ACH-000459,0.314146617082
ACH-000460,0.061880231203699995
ACH-000461,0.15390058673499998
ACH-000463,0.231682629351
ACH-000464,0.17262719284699998
ACH-000466,0.021929286048
ACH-000467,-0.102898530026
ACH-000468,0.114559761011
ACH-000469,0.15536711614499998
ACH-000470,0.195915250108
ACH-000471,0.104393273704
ACH-000472,0.057576963300800005
ACH-000473,0.107623852564
ACH-000475,0.0779221784922
ACH-000476,0.18610268332199997
ACH-000477,0.178773269799
ACH-000480,0.149271140382
ACH-000481,-0.119512174976
ACH-000483,0.15989956891100002
ACH-000484,0.317944515943
ACH-000485,0.177909498768
ACH-000486,0.157236987582
ACH-000487,0.14229564880599999
ACH-000488,0.210397214659
ACH-000490,0.105886554614
ACH-000491,0.11638998307600001
ACH-000495,0.111060925236
ACH-000496,0.0729899380629
ACH-000499,0.170301924215
ACH-000500,0.0756605253635
ACH-000502,0.18142521665300002
ACH-000503,0.048476823819500005
ACH-000505,0.07481857838389999
ACH-000507,0.056174663393
ACH-000510,0.182411391788
ACH-000511,0.162555358581
ACH-000512,0.329492568394
ACH-000516,0.262402396671
ACH-000517,0.0379688165955
ACH-000518,0.21881415051
ACH-000520,0.040139726919900004
ACH-000521,0.260630710699
ACH-000522,0.0530383756676
ACH-000524,0.022024669544599997
ACH-000527,0.20541423792999997
ACH-000528,0.013973572538
ACH-000537,0.261291213222
ACH-000541,0.394688037933
ACH-000542,0.023774714331900003
ACH-000544,0.109800644144
ACH-000545,0.00666622822895
ACH-000547,-0.14913282288
ACH-000548,0.009303520797979999
ACH-000549,0.181054725198
ACH-000550,0.204805068172
ACH-000552,0.0835058729916
ACH-000556,0.118098903302
ACH-000557,0.11122968908
ACH-000570,-0.0391898785754
ACH-000571,0.11318520062000001
ACH-000573,0.217818282282
ACH-000576,0.134858722667
ACH-000580,0.23470678976
ACH-000584,0.0400216233491
ACH-000585,0.103811376383
ACH-000588,0.106222017719
ACH-000589,0.0938849755402
ACH-000591,-0.07878339441610001
ACH-000593,0.0464586876251
ACH-000600,0.0768952234825
ACH-000601,0.166677606381
ACH-000604,0.426395124041
ACH-000605,0.1242261495
ACH-000606,0.0764359733495
ACH-000608,-0.0237305865948
ACH-000614,0.106160542347
ACH-000616,0.0125205929866
ACH-000618,0.196787981785
ACH-000619,-0.03541376702730001
ACH-000620,0.131422162285
ACH-000621,0.109752596988
ACH-000622,0.0030549559466
ACH-000623,0.167354677023
ACH-000624,-0.0571496091072
ACH-000627,0.009257674680200001
ACH-000630,0.0813762459842
ACH-000632,0.038525191357699995
ACH-000633,0.0625079882719
ACH-000637,0.134843343891
ACH-000638,0.291517331632
ACH-000646,0.159004534216
ACH-000647,0.10236165553200001
ACH-000648,0.0976561017117
ACH-000649,0.126042554729
ACH-000651,0.0642795651235
ACH-000652,0.23051526137400002
ACH-000653,0.213539877341
ACH-000657,0.0930860697232
ACH-000658,0.0568329181666
ACH-000661,0.164824095871
ACH-000662,0.00210577726811
ACH-000663,0.439757433825
ACH-000665,0.053289659416300005
ACH-000671,-0.0016778646535799998
ACH-000673,0.042340282282
ACH-000676,0.138154765286
ACH-000677,0.247389578626
ACH-000681,0.17815105005999998
ACH-000682,0.05584010583980001
ACH-000683,0.0105316531451
ACH-000684,0.051968430716000005
ACH-000688,-0.162341902969
ACH-000693,0.0657681447418
ACH-000694,0.147831894525
ACH-000695,-0.135883181204
ACH-000696,0.0901780794717
ACH-000697,0.139830771146
ACH-000699,0.169833961225
ACH-000701,-0.106828536963
ACH-000706,0.00826601443678
ACH-000711,0.08589622311270001
ACH-000713,-0.11753192805099999
ACH-000714,0.0536310314613
ACH-000718,0.0652239946125
ACH-000720,0.10262591919700001
ACH-000721,-0.0389841857177
ACH-000724,0.283065525609
ACH-000725,-0.141914107749
ACH-000732,-0.04491126085180001
ACH-000734,0.217610324812
ACH-000735,-0.0663372360991
ACH-000736,0.0480912070573
ACH-000738,0.18969488537700002
ACH-000746,0.087739844303
ACH-000747,0.0936549758341
ACH-000748,0.0304079438906
ACH-000753,0.08793710871169999
ACH-000756,0.151744370815
ACH-000757,0.135813259891
ACH-000758,0.17682188229899998
ACH-000760,0.147494507233
ACH-000763,-0.08830930548930001
ACH-000764,0.21243874820099998
ACH-000765,0.150547012575
ACH-000766,0.0876802989919
ACH-000767,0.0455409922712
ACH-000768,0.100889024985
ACH-000769,-0.0076297199886099995
ACH-000770,0.10188335636700001
ACH-000771,-0.0375913684219
ACH-000773,0.200180514237
ACH-000776,-0.0316206123886
ACH-000777,0.17014224091299998
ACH-000778,0.026043813899199998
ACH-000781,0.180652085841
ACH-000782,0.054216194553199995
ACH-000783,0.21416966751699998
ACH-000784,0.131625825602
ACH-000785,0.163191650429
ACH-000787,0.0688550127787
ACH-000788,0.032660154737
ACH-000791,0.105753722462
ACH-000792,0.00171673601736
ACH-000794,-0.107454230044
ACH-000796,0.0552268101892
ACH-000799,0.007050491210039999
ACH-000800,0.22761429550099999
ACH-000802,-0.0355618013104
ACH-000804,0.0605878750347
ACH-000805,0.038560266397099995
ACH-000809,0.053964194314
ACH-000810,0.575694560256
ACH-000811,0.010786558126100002
ACH-000817,-0.007716514901319999
ACH-000819,0.24440820071
ACH-000820,0.267473946483
ACH-000821,0.0157103479414
ACH-000822,-0.0483413586527
ACH-000823,0.0565281935915
ACH-000824,0.0781669242538
ACH-000827,0.0771622576545
ACH-000829,-0.0864826231754
ACH-000831,-0.07576488277589999
ACH-000832,0.09459494069
ACH-000833,0.178270025314
ACH-000834,0.171679120937
ACH-000835,0.23723088588000002
ACH-000836,0.0198870327818
ACH-000837,0.0719772308936
ACH-000838,0.128320659649
ACH-000839,0.024163448796599995
ACH-000840,0.107152390276
ACH-000841,0.21972404567200002
ACH-000843,0.06829367888559999
ACH-000846,0.00563836697923
ACH-000847,0.0281887249029
ACH-000848,-0.0391114601555
ACH-000849,0.0828853080555
ACH-000851,0.10117190371899999
ACH-000855,-0.0411562446638
ACH-000856,-0.055546401174400004
ACH-000858,0.012859696999
ACH-000859,-0.0357129997384
ACH-000861,0.16355223037699998
ACH-000862,-0.005480494639590001
ACH-000865,0.0806652726193
ACH-000866,0.0601962705779
ACH-000867,0.0383465489913
ACH-000869,0.07815649215699999
ACH-000872,0.0760598297443
ACH-000873,0.26906710363200004
ACH-000876,0.046441446886400006
ACH-000878,0.330238293307
ACH-000880,0.10353256329600001
ACH-000881,0.15252438038
