,SRRM1 (10250)
ACH-000004,-0.605496533082
ACH-000007,-0.971351297182
ACH-000009,-1.01800456085
ACH-000011,-0.9723010803650001
ACH-000012,-1.08699104754
ACH-000013,-1.02317876458
ACH-000014,-1.0030397427700002
ACH-000015,-0.9555663893170001
ACH-000017,-1.09766898869
ACH-000018,-0.8035582835189999
ACH-000019,-1.31214717928
ACH-000021,-1.16187175468
ACH-000022,-1.10092528627
ACH-000025,-0.8084274475
ACH-000028,-1.0239262656700001
ACH-000030,-1.0936121593500001
ACH-000035,-0.895856775091
ACH-000036,-1.04776274505
ACH-000037,-1.8083069990599998
ACH-000039,-0.9405117167010001
ACH-000040,-1.4176047121000002
ACH-000041,-0.851756492332
ACH-000042,-0.987500502098
ACH-000045,-1.08533597784
ACH-000047,-0.83910571056
ACH-000052,-0.910946768552
ACH-000053,-1.0796717886799998
ACH-000054,-0.856079722271
ACH-000055,-0.8821169658600001
ACH-000060,-1.1573611289899999
ACH-000067,-1.20131472201
ACH-000070,-1.03273228275
ACH-000075,-1.1711356029200002
ACH-000078,-1.28333805418
ACH-000082,-1.00543990512
ACH-000085,-0.755844607408
ACH-000086,-1.0307758792
ACH-000087,-1.01843052712
ACH-000092,-1.03730586756
ACH-000095,-1.1757128228899998
ACH-000097,-1.1445637656299998
ACH-000098,-0.9568097974330001
ACH-000099,-1.38643333706
ACH-000108,-0.623022085542
ACH-000113,-0.8368081247079999
ACH-000115,-1.53108628004
ACH-000116,-0.9250572267880001
ACH-000118,-0.947605266333
ACH-000120,-1.18919118325
ACH-000123,-1.01850860348
ACH-000127,-0.978755191466
ACH-000128,-1.01854453739
ACH-000132,-1.38235178536
ACH-000133,-1.1499629777399998
ACH-000137,-0.9971601043330001
ACH-000138,-1.00017780909
ACH-000142,-1.1838926056799999
ACH-000143,-0.951140095613
ACH-000146,-0.7833614910760001
ACH-000148,-1.01714328797
ACH-000150,-1.09165059267
ACH-000152,-1.15836386415
ACH-000153,-1.3306811406399999
ACH-000159,-1.24011166582
ACH-000160,-0.643364519542
ACH-000163,-0.7834519908959999
ACH-000167,-0.900126310508
ACH-000168,-1.33863992949
ACH-000169,-0.845192486214
ACH-000178,-0.91847040948
ACH-000182,-1.16603813474
ACH-000183,-1.01808756645
ACH-000188,-1.0905985464899999
ACH-000189,-0.8887900121150001
ACH-000190,-0.856153807241
ACH-000198,-0.9985823730940001
ACH-000204,-0.9490154304359999
ACH-000206,-1.10253171221
ACH-000207,-1.00062544494
ACH-000211,-0.930216770484
ACH-000215,-1.22676070128
ACH-000221,-1.0343967549200002
ACH-000222,-0.850642977181
ACH-000223,-1.23669058182
ACH-000226,-1.03398679406
ACH-000227,-1.30469352445
ACH-000228,-1.08744566529
ACH-000231,-1.02253591576
ACH-000232,-0.9278938891740001
ACH-000233,-1.09339651604
ACH-000234,-1.07097449178
ACH-000235,-1.13993776882
ACH-000237,-1.03064551466
