,ARRB1 (408)
ACH-000004,-0.23459636788199997
ACH-000007,-0.073264981494
ACH-000009,-0.12220069083900001
ACH-000011,0.0458108743018
ACH-000012,-0.0270021757002
ACH-000013,-0.0922562190518
ACH-000014,-0.07212652841030001
ACH-000015,-0.09754179575089998
ACH-000017,-0.132510281525
ACH-000018,-0.202939069475
ACH-000019,-0.10879381732000001
ACH-000021,-0.213970971428
ACH-000022,0.11042905735400001
ACH-000025,-0.122990462941
ACH-000028,-0.154999264089
ACH-000030,-0.217718106554
ACH-000035,-0.0404739232085
ACH-000036,-0.19014837801399997
ACH-000037,-0.554218984457
ACH-000039,-0.0117380459999
ACH-000040,-0.00846610394272
ACH-000041,-0.261630527329
ACH-000042,-0.38536728823
ACH-000045,-0.25293339884300003
ACH-000047,-0.176551303351
ACH-000052,-0.209079833833
ACH-000053,-0.11183649896299999
ACH-000054,0.039784038786
ACH-000055,0.117324585779
ACH-000060,-0.104727617666
ACH-000067,-0.223962060799
ACH-000070,-0.257170720664
ACH-000075,-0.216450120982
ACH-000078,-0.081385531814
ACH-000082,-0.0601967813468
ACH-000085,-0.6329047416179999
ACH-000086,-0.334107941407
ACH-000087,-0.323928976271
ACH-000092,-0.16914164510899998
ACH-000095,-0.146116383695
ACH-000097,-0.26543886274
ACH-000098,-0.016974969378599998
ACH-000099,-0.109324482302
ACH-000108,-0.110705793815
ACH-000113,-0.0172763264985
ACH-000115,0.023905628261599997
ACH-000116,-0.14187407149700001
ACH-000118,-0.21351725492100002
ACH-000120,-0.136820243539
ACH-000123,-0.12027451397700001
ACH-000127,-0.148980984298
ACH-000128,-0.17731828180599998
ACH-000132,0.04919232006180001
ACH-000133,-0.207767468288
ACH-000137,-0.12958955223500002
ACH-000138,-0.142396145615
ACH-000142,-0.126743324636
ACH-000143,-0.16167176665
ACH-000146,0.0303674030689
ACH-000148,-0.10083792563100001
ACH-000150,-0.0868495392585
ACH-000152,-0.07117661101850001
ACH-000153,-0.372319616267
ACH-000159,-0.164027463813
ACH-000160,0.231492408648
ACH-000163,-0.14552446382
ACH-000167,0.367863933347
ACH-000168,-0.0242057653639
ACH-000169,-0.09023798606030001
ACH-000178,-0.00816314919529
ACH-000182,-0.0350830146265
ACH-000183,-0.251704833047
ACH-000188,-0.28093579606400004
ACH-000189,-0.7653917900470001
ACH-000190,0.024629318163900002
ACH-000198,-0.209301845252
ACH-000204,0.0662053039642
ACH-000206,-0.157725587206
ACH-000207,-0.519583068259
ACH-000211,-0.137890282275
ACH-000215,-0.186436613876
ACH-000221,-0.25911443855
ACH-000222,0.07291163851389999
ACH-000223,-0.0628387532124
ACH-000226,-0.22199195783700001
ACH-000227,-0.059882784176
ACH-000228,-0.326556832423
ACH-000231,-0.12391125962
ACH-000232,-0.124320135684
ACH-000233,-0.06838200564619999
ACH-000234,-0.179983059217
ACH-000235,-0.0996891630057
ACH-000237,-0.159895796828
ACH-000238,-0.15013224435699998
ACH-000243,-0.0249135121086
ACH-000244,0.144515944525
ACH-000246,-0.088323532874
ACH-000248,-0.00617890225154
ACH-000250,-0.139574007808
ACH-000251,-0.16944854456099998
ACH-000253,-0.239391417271
ACH-000255,-0.111074690426
ACH-000256,-0.08147004312919999
ACH-000257,0.049955565889
ACH-000258,0.175711229554
ACH-000259,-0.128080038536
ACH-000260,0.052960515751099994
ACH-000261,-0.278458647595
ACH-000262,-0.100381668465
ACH-000263,-0.391847056707
ACH-000264,-0.30080740838000003
ACH-000265,-0.0656594045044
ACH-000266,-0.132368642137
ACH-000272,-0.109418564751
ACH-000273,-0.156234899703
ACH-000274,-0.192090391094
ACH-000277,-0.240794196726
ACH-000278,-0.169842800145
