,OSM (5008)
ACH-000004,-0.120939070277
ACH-000007,0.169212210451
ACH-000009,-0.21588135225400001
ACH-000011,-0.10869900933700001
ACH-000012,-0.195818546832
ACH-000013,-0.130760622902
ACH-000014,-0.108281637546
ACH-000015,-0.145695775463
ACH-000017,-0.073130341666
ACH-000018,-0.273377282866
ACH-000019,-0.22638148210099998
ACH-000021,-0.135515211281
ACH-000022,0.0244603611212
ACH-000025,-0.23663101342300003
ACH-000028,-0.043570213290800006
ACH-000030,-0.22512982391999997
ACH-000035,-0.469229809135
ACH-000036,-0.329525560847
ACH-000037,-0.0535968870709
ACH-000039,-0.185317567604
ACH-000040,-0.15184596161
ACH-000041,-0.410929069859
ACH-000042,-0.307699982571
ACH-000045,-0.130230729772
ACH-000047,-0.17237264599500002
ACH-000052,-0.21787873886
ACH-000053,-0.182977466535
ACH-000054,-0.159407102351
ACH-000055,-0.273357051198
ACH-000060,-0.379863469124
ACH-000067,-0.201799675062
ACH-000070,-0.153213115314
ACH-000075,-0.031906170287000005
ACH-000078,0.017575572686
ACH-000082,0.09779865374199999
ACH-000085,-0.212829323941
ACH-000086,0.0728136571514
ACH-000087,-0.24018870652600002
ACH-000092,-0.444291145774
ACH-000095,-0.288156165232
ACH-000097,-0.0625125603298
ACH-000098,-0.18538428545699998
ACH-000099,-0.030332084606599998
ACH-000108,-0.13317420212099998
ACH-000113,-0.218786810812
ACH-000115,-0.231643454964
ACH-000116,-0.00807650077184
ACH-000118,-0.19001596211199998
ACH-000120,-0.20554914295200002
ACH-000123,-0.073787695809
ACH-000127,-0.059897138586300004
ACH-000128,-0.164078692217
ACH-000132,-0.137456902062
ACH-000133,-0.148901794669
ACH-000137,-0.018392554603
ACH-000138,-0.0026943889649899996
ACH-000142,-0.269082560075
ACH-000143,-0.316994313555
ACH-000146,-0.36699331308
ACH-000148,-0.013188727146199999
ACH-000150,-0.19291427308200002
ACH-000152,0.032034821966499996
ACH-000153,-0.06365989710440001
ACH-000159,-0.026030239437400002
ACH-000160,-0.116852192515
ACH-000163,-0.244417896514
ACH-000167,-0.268240754562
ACH-000168,-0.215477597377
ACH-000169,-0.22721062484700003
ACH-000178,-0.043753296108900004
ACH-000182,-0.114366586846
ACH-000183,-0.273019641686
ACH-000188,-0.241597366585
ACH-000189,0.0609644501683
ACH-000190,-0.188717263087
ACH-000198,-0.356854219081
ACH-000204,-0.147878276796
ACH-000206,-0.330918326737
ACH-000207,-0.417912331844
ACH-000211,0.0133999997693
ACH-000215,-0.025990171208000002
ACH-000221,-0.176308254288
ACH-000222,0.0031807137099000003
ACH-000223,-0.141829803615
ACH-000226,-0.324472126741
ACH-000227,-0.285111841013
ACH-000228,-0.146888767264
ACH-000231,-0.170818806001
ACH-000232,-0.117705599778
ACH-000233,0.08830826874780001
ACH-000234,-0.06464178239730001
ACH-000235,-0.09194168747510001
ACH-000237,-0.16244227113600002
ACH-000238,-0.435543617662
ACH-000243,-0.10931701915200001
ACH-000244,-0.700638970024
ACH-000246,-0.113299828831
ACH-000248,-0.193103635378
ACH-000250,-0.018947459046200002
ACH-000251,-0.242668786504
ACH-000253,-0.10625315887
ACH-000255,-0.250424668079
ACH-000256,-0.162621839595
ACH-000257,-0.405656924676
ACH-000258,-0.06189253470930001
ACH-000259,-0.0946599411398
ACH-000260,-0.15483336387
ACH-000261,-0.0865562702149
ACH-000262,-0.0050569696861
ACH-000263,0.6846899731380001
ACH-000264,-0.175742660009
ACH-000265,-0.21890064958299998
ACH-000266,-0.10836615387
ACH-000272,-0.140191257032
ACH-000273,-0.054832676144599996
ACH-000274,-0.21133108022799998
ACH-000277,-0.0292848953406
ACH-000278,-0.16302315144500001
ACH-000279,-0.12503141559
ACH-000280,-0.0350820572672
ACH-000281,-0.248060232012
ACH-000288,-0.151170936836
ACH-000291,-0.128740664754
ACH-000293,-0.243070782309
ACH-000294,-0.123919697293
ACH-000295,0.06246362997550001
ACH-000296,-0.10161516813799999
ACH-000302,-0.393840594323
ACH-000304,-0.0507860301287
ACH-000307,-0.108281254963
ACH-000308,-0.261141656015
ACH-000310,-0.101868537107
ACH-000311,-0.18901704595600002
ACH-000312,0.00441451262409
ACH-000315,-0.17474050039500003
ACH-000316,-0.08674687051789999
ACH-000317,-0.147618529237
ACH-000318,-0.137924238277
ACH-000319,-0.22905253376999996
ACH-000320,-0.405088390547
ACH-000322,-0.368096134971
ACH-000323,-0.469364279528
