,ASCC3 (10973)
ACH-000004,-0.169579793322
ACH-000007,-0.279225052112
ACH-000009,-0.305312452555
ACH-000011,-0.206072256038
ACH-000012,-0.438779139833
ACH-000013,-0.149206253635
ACH-000014,-0.0580408018526
ACH-000015,-0.352755353878
ACH-000017,-0.40416105202299996
ACH-000018,-0.183420168257
ACH-000019,-0.0800201516143
ACH-000021,-0.253210112766
ACH-000022,-0.10452313274
ACH-000025,-0.180052617911
ACH-000028,-0.177027924232
ACH-000030,-0.157229020432
ACH-000035,-0.369284046375
ACH-000036,0.0286398221454
ACH-000037,-0.419604149595
ACH-000039,-0.313168654557
ACH-000040,-0.457444930049
ACH-000041,-0.321985994593
ACH-000042,-0.228541682132
ACH-000045,-0.12190971943800001
ACH-000047,-0.257351470713
ACH-000052,-0.158111006221
ACH-000053,-0.224032008664
ACH-000054,-0.028830298332099998
ACH-000055,-0.494191836086
ACH-000060,-0.329738029399
ACH-000067,-0.154711636736
ACH-000070,-0.783233771232
ACH-000075,0.0639742854724
ACH-000078,-0.306726775997
ACH-000082,-0.6441223760379999
ACH-000085,-0.180598200647
ACH-000086,-0.171016415939
ACH-000087,-0.558387625555
ACH-000092,-0.0673109802393
ACH-000095,-0.33259198934900003
ACH-000097,-0.484859954261
ACH-000098,0.0407018792121
ACH-000099,-0.33284115679299997
ACH-000108,-0.256156009929
ACH-000113,-0.28119228175
ACH-000115,-0.241370719846
ACH-000116,-0.0944592121603
ACH-000118,-0.48161584984800004
ACH-000120,-0.12673427754
ACH-000123,-0.353614466927
ACH-000127,-0.45988343914499996
ACH-000128,-0.298399004097
ACH-000132,-0.388891395495
ACH-000133,-0.169628822861
ACH-000137,-0.308333755814
ACH-000138,-0.14117301595999998
ACH-000142,-0.172828160324
ACH-000143,-0.252197124875
ACH-000146,0.0657509854427
ACH-000148,-0.133017035636
ACH-000150,-0.116543599024
ACH-000152,-0.218918851014
ACH-000153,-0.28888389963100003
ACH-000159,-0.059140422403800005
ACH-000160,-0.257330780822
ACH-000163,0.0280944093237
ACH-000167,-0.33887607056599994
ACH-000168,-0.0704974113317
ACH-000169,-0.467241933863
ACH-000178,-0.332348969219
ACH-000182,-0.135333104837
ACH-000183,-0.203014044932
ACH-000188,-0.577841818526
ACH-000189,-0.396266006637
ACH-000190,-0.135585786031
ACH-000198,0.006557590840439999
ACH-000204,-0.37529830212399995
ACH-000206,-0.334114418638
ACH-000207,0.00021088297387400002
ACH-000211,-0.36454810411
ACH-000215,-0.20888343811500001
ACH-000221,-0.294950210061
ACH-000222,-0.230172247397
ACH-000223,-0.34958903332099994
ACH-000226,-0.342990903512
ACH-000227,-0.48011990738399996
ACH-000228,-0.315386669194
ACH-000231,-0.07486706300410001
ACH-000232,-0.480657239592
ACH-000233,-0.255005776117
ACH-000234,0.045815462272899996
ACH-000235,-0.07680933434880001
ACH-000237,-0.213488138472
ACH-000238,-0.344285196232
ACH-000243,-0.0885701196919
ACH-000244,-0.15519842712999998
ACH-000246,-0.145008577956
ACH-000248,-0.606290802089
ACH-000250,-0.09373352918069999
ACH-000251,0.038519893781
