,LEPREL4 (10609)
ACH-000004,-0.57341694304
ACH-000007,-0.207513289898
ACH-000009,-0.399520818264
ACH-000011,-0.10030487955
ACH-000012,-0.550506134829
ACH-000013,-0.0817173577568
ACH-000014,-0.37182041099200003
ACH-000015,-0.406825032619
ACH-000017,-0.622284071343
ACH-000018,-0.363314566171
ACH-000019,-0.535295611909
ACH-000021,-0.357318015521
ACH-000022,-0.407482928674
ACH-000025,-0.219293040496
ACH-000028,-0.401807234978
ACH-000030,-0.395053832164
ACH-000035,-0.6134172937619999
ACH-000036,-0.326301395088
ACH-000037,-0.17960687091400002
ACH-000039,-0.33705289825199997
ACH-000040,-0.48467810069399997
ACH-000041,-0.456228225412
ACH-000042,-0.273351363132
ACH-000045,-0.362496187748
ACH-000047,-0.346473216694
ACH-000052,-0.283465608809
ACH-000053,-0.37140286116899995
ACH-000054,-0.199650630077
ACH-000055,-0.537980654649
ACH-000060,-0.41661884648599995
ACH-000067,-0.562056527667
ACH-000070,-0.18121384827599998
ACH-000075,-0.27902379878899997
ACH-000078,-0.45967393699500003
ACH-000082,-0.410114859405
ACH-000085,-0.34506779553800004
ACH-000086,-0.267429835556
ACH-000087,-0.265920262293
ACH-000092,-0.439171145933
ACH-000095,-0.550913613654
ACH-000097,-0.380388601633
ACH-000098,-0.379560780957
ACH-000099,-0.302696562997
ACH-000108,-0.240881711604
ACH-000113,-0.39573307394900004
ACH-000115,-0.0233018734516
ACH-000116,-0.367539629463
ACH-000118,-0.190921445179
ACH-000120,-0.31782868755
ACH-000123,-0.36896371135
ACH-000127,-0.379728472521
ACH-000128,-0.491252729352
ACH-000132,-0.49049384529
ACH-000133,-0.366488616356
ACH-000137,-0.18187735178800002
ACH-000138,-0.649280826734
ACH-000142,-0.449947302429
ACH-000143,-0.225313605262
ACH-000146,-0.35562615012800003
ACH-000148,-0.42462352964500005
ACH-000150,-0.22657147674400002
ACH-000152,-0.25146358536999996
ACH-000153,-0.331518198491
ACH-000159,-0.37839282549900005
ACH-000160,-0.360922998518
ACH-000163,-0.224837891105
ACH-000167,-0.33785676694300004
ACH-000168,-0.22982107936299997
ACH-000169,-0.315404887659
ACH-000178,-0.38215608221299996
ACH-000182,-0.265850802516
ACH-000183,-0.22522971274599998
ACH-000188,-0.34837898702200004
ACH-000189,-0.166223093717
ACH-000190,-0.47972789562
ACH-000198,-0.31911897665
ACH-000204,-0.30540735027800003
ACH-000206,-0.0372159622291
ACH-000207,-0.402773392775
ACH-000211,-0.450425528792
ACH-000215,-0.309963915479
ACH-000221,-0.30950850499899996
ACH-000222,-0.382387467276
ACH-000223,-0.229633404468
ACH-000226,-0.482012184154
ACH-000227,-0.390762574939
ACH-000228,-0.354731263633
ACH-000231,-0.34865467763
ACH-000232,-0.39166945544200005
ACH-000233,-0.22985201079999998
ACH-000234,-0.643198075731
ACH-000235,-0.48171775852300003
ACH-000237,-0.35082631162
ACH-000238,-0.37185824381399996
ACH-000243,-0.41332349840899996
ACH-000244,-0.31438646626999994
ACH-000246,-0.244450079623
ACH-000248,-0.417126820529
ACH-000250,-0.37620908013099996
ACH-000251,-0.45963880547499997
ACH-000253,-0.349550443482
ACH-000255,-0.277130392988
ACH-000256,-0.502628316795
ACH-000257,-0.032020694945
ACH-000258,-0.27390952341999997
ACH-000259,-0.353032410202
ACH-000260,-0.332037231439
ACH-000261,-0.436414997555
ACH-000262,-0.756918361116
ACH-000263,-0.282157605714
ACH-000264,-0.44842964074600006
ACH-000265,-0.380914744859
ACH-000266,-0.414863147688
ACH-000272,-0.5885493619100001
ACH-000273,-0.295499146132
ACH-000274,-0.375370270831
ACH-000277,-0.21769962026
ACH-000278,-0.20767287684
ACH-000279,-0.36265841832199996
ACH-000280,-0.110347012342
ACH-000281,-0.23885082286999998
ACH-000288,-0.38466775127999997
ACH-000291,-0.454178642109
ACH-000293,-0.51702891008
ACH-000294,-0.755800787124
ACH-000295,-0.299836722547
ACH-000296,-0.41216629311999997
ACH-000302,-0.417808392227
ACH-000304,-0.523815293344
ACH-000307,-0.161857780189
ACH-000308,-0.392865189533
ACH-000310,-0.39496875391900005
ACH-000311,-0.373806527904
ACH-000312,-0.302476937918
ACH-000315,-0.28701640667100004
ACH-000316,-0.56733287097
ACH-000317,-0.13095818958799998
ACH-000318,-0.432378493742
ACH-000319,-0.315510122519
ACH-000320,-0.35085725239
ACH-000322,-0.314536051127
ACH-000323,-0.358390529379
ACH-000324,-0.609459978868
ACH-000329,-0.268959942676
ACH-000330,-0.7056995445569999
ACH-000331,-0.35653865817100006
ACH-000332,-0.396054859479
ACH-000334,-0.24395408094
ACH-000335,-0.46835119255
ACH-000336,-0.09277541911210001
ACH-000337,-0.134368631274
ACH-000339,-0.34081972584700004
ACH-000341,-0.48001870195600005
ACH-000348,-0.391620986255
ACH-000350,-0.37371218897299996
ACH-000352,-0.450490065466
ACH-000356,-0.223600344624
ACH-000361,-0.262396773319
ACH-000362,-0.308322955115
ACH-000363,-0.26069573051600003
ACH-000364,-0.357669840029
ACH-000365,-0.39255943518700004
ACH-000366,-0.315489058396
ACH-000368,-0.208430596006
ACH-000374,-0.37628440127400004
ACH-000375,-0.226189487709
ACH-000376,-0.271051927213
ACH-000381,-0.40598344878700005
ACH-000383,-0.485120080318
ACH-000387,-0.31760101071400004
ACH-000389,-0.27672003649599997
ACH-000390,-0.369643461558
ACH-000393,-0.370886374653
ACH-000395,-0.192047583937
ACH-000397,-0.314933205001
ACH-000401,-0.516563603754
ACH-000402,-0.5019896920660001
ACH-000403,-0.263859362021
ACH-000404,-0.240083017742
ACH-000406,-0.274389799212
ACH-000407,-0.213995201551
ACH-000408,-0.513278182913
ACH-000410,-0.24920080561299998
ACH-000411,-0.36190868963399997
ACH-000414,-0.38440777670500004
ACH-000415,-0.577481056155
ACH-000416,-0.37107722854099995
ACH-000420,-0.38248000364100004
ACH-000421,-0.33592173707199996
ACH-000424,-0.08472367181649999
ACH-000425,-0.45002966897
ACH-000426,-0.429562651139
ACH-000427,-0.698945440877
ACH-000433,-0.15168893456399998
ACH-000436,-0.263847763627
ACH-000444,-0.221344889599
ACH-000445,-0.116490368805
ACH-000448,-0.350891902916
ACH-000450,-0.0244154748796
ACH-000452,-0.276105823419
ACH-000454,-0.07888982065189999
ACH-000458,-0.493190603861
ACH-000459,-0.243279014302
ACH-000460,-0.353440098218
ACH-000461,-0.07039796949760001
ACH-000463,-0.277103761582
ACH-000464,-0.36513903899899997
ACH-000466,-1.09527134469
ACH-000467,-0.166230906514
ACH-000468,-0.410881165449
ACH-000469,-0.464795636478
ACH-000470,-0.347366483487
ACH-000471,-0.426809302492
ACH-000472,-0.390418371324
ACH-000473,-0.41166147581600004
ACH-000475,-0.39892175179899997
ACH-000476,-0.39190362696099995
ACH-000477,-0.13508833739499998
ACH-000480,-0.37504011867299997
ACH-000481,-0.377459531697
ACH-000483,0.09489813151979999
ACH-000484,-0.317391489098
ACH-000485,-0.293800606869
ACH-000486,-0.35808056312799996
ACH-000487,-0.289769027798
ACH-000488,-0.30009753925
ACH-000490,-0.255051695796
ACH-000491,-0.366225963149
ACH-000495,-0.22521428575599997
ACH-000496,-0.243025241058
ACH-000499,-0.216894501483
ACH-000500,-0.176707208983
ACH-000502,-0.398180347057
ACH-000503,-0.332007052017
ACH-000505,-0.376659010348
ACH-000507,-0.42964463948700005
ACH-000510,-0.23222385136100002
ACH-000511,-0.353779951506
ACH-000512,-0.29389529355300004
ACH-000516,-0.35992399908100003
ACH-000517,-0.330256714919
ACH-000518,-0.538005132015
ACH-000520,-0.438156849027
ACH-000521,-0.495309003557
ACH-000522,-0.383985597433
ACH-000524,-0.328156243886
ACH-000527,-0.310744856726
ACH-000528,-0.289586126549
ACH-000537,-0.203188597168
ACH-000541,-0.103619894768
ACH-000542,-0.38234113655100005
ACH-000544,-0.482810364259
ACH-000545,-0.321714632346
ACH-000547,-0.325022211501
ACH-000548,-0.175497928747
ACH-000549,-0.223114368453
ACH-000550,-0.46729316747
ACH-000552,-0.286168470341
ACH-000556,-0.381381705507
ACH-000557,-0.321682192753
ACH-000570,-0.402007593012
ACH-000571,-0.356785039888
ACH-000573,-0.28715161343
ACH-000576,-0.330542590329
ACH-000580,-0.125134137953
ACH-000584,-0.131031513924
ACH-000585,-0.216822712102
ACH-000588,-0.218108766389
ACH-000589,-0.21090064292999997
ACH-000591,-0.458866240787
ACH-000593,-0.32020745642299997
ACH-000600,-0.520991163352
ACH-000601,-0.37801381743900003
ACH-000604,-0.440269478374
ACH-000605,-0.359428803818
ACH-000606,-0.357329670528
ACH-000608,-0.396295545598
ACH-000614,-0.209403084874
ACH-000616,-0.283323711822
ACH-000618,-0.37005942269000003
ACH-000619,-0.359895604567
ACH-000620,-0.19418337931200003
ACH-000621,-0.342131386641
ACH-000622,-0.18576218084899998
ACH-000623,-0.35717393345
ACH-000624,-0.32564573739700003
ACH-000627,-0.308445674335
ACH-000630,-0.356422877106
ACH-000632,-0.46752919454899994
ACH-000633,-0.38494813794699995
ACH-000637,-0.554425008548
ACH-000638,-0.51379184768
