,KRR1 (11103)
ACH-000004,-1.3449383483500001
ACH-000007,-1.30631348497
ACH-000009,-1.0636669832899999
ACH-000011,-1.39421753558
ACH-000012,-1.11445734771
ACH-000013,-1.22770758876
ACH-000014,-1.3101422994399998
ACH-000015,-1.26720486662
ACH-000017,-0.753331873812
ACH-000018,-1.3409950483700002
ACH-000019,-1.21177548571
ACH-000021,-1.3148534063
ACH-000022,-1.15911273269
ACH-000025,-1.12380558228
ACH-000028,-1.08224966905
ACH-000030,-1.18600119589
ACH-000035,-0.710337644789
ACH-000036,-1.07591009988
ACH-000037,-1.54946972151
ACH-000039,-0.992702721209
ACH-000040,-1.08159434775
ACH-000041,-1.31086288358
ACH-000042,-1.14094563263
ACH-000045,-1.41256636892
ACH-000047,-1.19693534246
ACH-000052,-0.933530530194
ACH-000053,-0.874534582638
ACH-000054,-0.99985123891
ACH-000055,-1.2380663009200001
ACH-000060,-1.12314599383
ACH-000067,-1.00868157146
ACH-000070,-1.1368272559600001
ACH-000075,-1.47208534473
ACH-000078,-1.3960685229700003
ACH-000082,-1.16462801166
ACH-000085,-1.20049699289
ACH-000086,-0.8107051488979999
ACH-000087,-1.1865546119900001
ACH-000092,-0.988992508789
ACH-000095,-1.1328345830600002
ACH-000097,-1.16837818644
ACH-000098,-1.07303434738
ACH-000099,-1.07399538309
ACH-000108,-1.3422020914200001
ACH-000113,-0.886858032019
ACH-000115,-0.7173048990109999
ACH-000116,-1.20914218563
ACH-000118,-1.1131169843000002
ACH-000120,-1.2020868632700001
ACH-000123,-1.10567228861
ACH-000127,-1.22274070217
ACH-000128,-1.02541303104
ACH-000132,-0.920606617211
ACH-000133,-1.17478099093
ACH-000137,-1.21402598566
ACH-000138,-1.2449331237799999
ACH-000142,-0.9875083263079999
ACH-000143,-1.1980434137
ACH-000146,-0.922444398785
ACH-000148,-1.3336427684299998
ACH-000150,-1.27648068619
ACH-000152,-1.11171736677
ACH-000153,-1.45237344619
ACH-000159,-1.21374728911
ACH-000160,-1.36120768402
ACH-000163,-1.17020441448
ACH-000167,-1.15212548693
ACH-000168,-0.9118060244339999
ACH-000169,-1.0371513723299999
ACH-000178,-1.19551001781
ACH-000182,-1.11387909375
ACH-000183,-1.1049082776
ACH-000188,-1.1218510835
ACH-000189,-0.9638015387409999
ACH-000190,-1.13410275755
ACH-000198,-1.0534379867700001
ACH-000204,-1.0937657583700002
ACH-000206,-1.05818208432
ACH-000207,-0.765332781201
ACH-000211,-1.0160961788
ACH-000215,-1.29837639495
ACH-000221,-1.00717002662
ACH-000222,-1.5334238933200002
ACH-000223,-0.939209531204
ACH-000226,-1.09439694374
ACH-000227,-1.2073270339
ACH-000228,-1.05476934842
ACH-000231,-1.2466517535400001
ACH-000232,-1.1444324169
ACH-000233,-0.7929135557260001
ACH-000234,-1.08571179288
