,BICD2 (23299)
ACH-000004,0.0354688367191
ACH-000007,-0.176759529077
ACH-000009,-0.153678996404
ACH-000011,-0.313222413467
ACH-000012,-0.264338789208
ACH-000013,-0.298758953041
ACH-000014,-0.0077822313226
ACH-000015,-0.396164326874
ACH-000017,-0.137717952003
ACH-000018,-0.578751846762
ACH-000019,0.00463367194462
ACH-000021,-0.255028871483
ACH-000022,-0.257886343553
ACH-000025,-0.245297064102
ACH-000028,-0.171862751655
ACH-000030,-0.239186020807
ACH-000035,-0.339271227649
ACH-000036,-0.244528856376
ACH-000037,-0.348458173473
ACH-000039,-0.0815855163825
ACH-000040,-0.364150692416
ACH-000041,-0.248091209226
ACH-000042,-0.266527857256
ACH-000045,-0.0665005394357
ACH-000047,-0.303122355068
ACH-000052,-0.19613869771099998
ACH-000053,-0.17506604921100002
ACH-000054,-0.21783148905400002
ACH-000055,-0.20673390333
ACH-000060,-0.268430830351
ACH-000067,-0.19573747274
ACH-000070,-0.24424983291299998
ACH-000075,-0.415416784065
ACH-000078,-0.0765145908667
ACH-000082,-0.18805765564100002
ACH-000085,-0.0547423458715
ACH-000086,-0.135716445151
ACH-000087,-0.6979301310930001
ACH-000092,-0.256127017623
ACH-000095,-0.29244826268199997
ACH-000097,-0.387712828018
ACH-000098,-0.282626040824
ACH-000099,-0.193421549512
ACH-000108,-0.222025053959
ACH-000113,-0.04897551409109999
ACH-000115,-0.511664343589
ACH-000116,-0.581296750889
ACH-000118,0.0104379031726
ACH-000120,-0.274066844106
ACH-000123,-0.224183240947
ACH-000127,-0.201927791157
ACH-000128,-0.26518128702300003
ACH-000132,-0.0998640377832
ACH-000133,-0.13183731247199998
ACH-000137,-0.0668506544789
ACH-000138,-0.218160755555
ACH-000142,-0.315963229824
ACH-000143,-0.217496782678
ACH-000146,-0.277831596192
ACH-000148,-0.305156613395
ACH-000150,-0.0545480530848
ACH-000152,-0.27243345401700003
ACH-000153,-0.126676431324
ACH-000159,-0.226704643012
ACH-000160,-0.24580624800099998
ACH-000163,-0.39935699602499997
ACH-000167,0.0637733472543
ACH-000168,-0.280825580429
ACH-000169,-0.194140400257
ACH-000178,-0.169874740812
ACH-000182,-0.248535943171
ACH-000183,-0.229244368242
ACH-000188,-0.213357211505
ACH-000189,-0.411051494017
ACH-000190,-0.590437120047
ACH-000198,-0.06979620206380001
ACH-000204,-0.157087294898
ACH-000206,-0.35777031356899996
ACH-000207,-0.20037912822099999
ACH-000211,-0.211535592977
ACH-000215,-0.295005906504
ACH-000221,-0.257184633361
ACH-000222,-0.214180760035
ACH-000223,-0.276047651043
ACH-000226,-0.239789577856
ACH-000227,-0.00337635968407
ACH-000228,-0.215569093519
ACH-000231,-0.23133073490800002
ACH-000232,-0.275623810336
ACH-000233,-0.191113156408
ACH-000234,-0.270128590572
