,HIST1H3I (8354)
ACH-000004,-0.5329166098229999
ACH-000007,-0.268972230678
ACH-000009,-0.0615139829139
ACH-000011,-0.49907380705
ACH-000012,-0.315658197958
ACH-000013,0.0218464886712
ACH-000014,-0.594902991091
ACH-000015,-0.0697867811196
ACH-000017,-0.411387713931
ACH-000018,-0.35673644621399997
ACH-000019,-0.29345352686500004
ACH-000021,-0.08416295510130001
ACH-000022,-0.663685129342
ACH-000025,-0.338672469071
ACH-000028,-0.31605479087
ACH-000030,-0.12468366992999999
ACH-000035,-0.6929351918800001
ACH-000036,-0.437811288737
ACH-000037,-0.32553786894299996
ACH-000039,-0.23922806565000002
ACH-000040,-0.450298353804
ACH-000041,-0.24049397384799998
ACH-000042,-0.175137534994
ACH-000045,-0.42306762907799994
ACH-000047,-0.13085360972100002
ACH-000052,-0.6034058338270001
ACH-000053,-0.14697326896
ACH-000054,-0.39896145218199996
ACH-000055,-0.351469158515
ACH-000060,-0.323790223442
ACH-000067,-0.589899551088
ACH-000070,-0.7521272576119999
ACH-000075,-0.64242500375
ACH-000078,-0.185366460884
ACH-000082,-0.502205918382
ACH-000085,-0.240469046945
ACH-000086,-0.788245714255
ACH-000087,-0.265185655834
ACH-000092,-0.43915232269500004
ACH-000095,-0.156436032836
ACH-000097,-0.199823625083
ACH-000098,-0.381915454478
ACH-000099,-0.344139765075
ACH-000108,-0.10269854797599999
ACH-000113,-0.502855584516
ACH-000115,-0.583173609136
ACH-000116,-0.139863551072
ACH-000118,-0.259088775482
ACH-000120,-0.07666300627730001
ACH-000123,-0.15188933073
ACH-000127,-0.315695348017
ACH-000128,-0.42769914396799996
ACH-000132,-0.168451505709
ACH-000133,-0.45394957560500004
ACH-000137,-0.335288191919
ACH-000138,-0.370800638931
ACH-000142,-0.610723535071
ACH-000143,-0.30788641026999997
ACH-000146,-0.264865322075
ACH-000148,-0.254505228955
ACH-000150,-0.39261528584
ACH-000152,-0.44802882374499997
ACH-000153,-0.17565605457000003
ACH-000159,-0.219700373639
ACH-000160,-0.5595658468110001
ACH-000163,-0.540529458617
ACH-000167,-0.864787295299
ACH-000168,-0.39641676414000004
ACH-000169,-0.564119031325
ACH-000178,-0.48865875388499996
ACH-000182,-0.43130202868999995
ACH-000183,-0.24164310251200002
ACH-000188,-0.78619352075
ACH-000189,-0.7119754451729999
ACH-000190,-0.5958069763930001
ACH-000198,-0.568231915468
ACH-000204,-0.0986877965228
ACH-000206,-0.82065004082
ACH-000207,-0.407164585966
ACH-000211,-0.302532078102
ACH-000215,-0.453277341716
ACH-000221,-0.41736094855899997
ACH-000222,-0.277571540926
ACH-000223,-0.568865442945
ACH-000226,-0.14328823941500002
ACH-000227,-0.286874338361
ACH-000228,-0.26806679401
