,HSPA5 (3309)
ACH-000004,-1.32040822026
ACH-000007,-1.18905827678
ACH-000009,-1.24231716714
ACH-000011,-1.24095089155
ACH-000012,-1.21766262808
ACH-000013,-1.31853754569
ACH-000014,-1.27521183139
ACH-000015,-1.20358802159
ACH-000017,-1.2863264320999999
ACH-000018,-0.946336464413
ACH-000019,-1.7430321101400004
ACH-000021,-1.24287617142
ACH-000022,-1.40438208057
ACH-000025,-1.1604815689
ACH-000028,-1.2200246187000001
ACH-000030,-1.27191704125
ACH-000035,-1.10606051305
ACH-000036,-1.37097417755
ACH-000037,-0.464377611833
ACH-000039,-0.967032150169
ACH-000040,-1.0991232318100002
ACH-000041,-1.0743674578799998
ACH-000042,-1.40546211955
ACH-000045,-1.44568297914
ACH-000047,-1.51151227083
ACH-000052,-1.21170585798
ACH-000053,-1.4731916120100002
ACH-000054,-1.31784822581
ACH-000055,-1.08959717021
ACH-000060,-1.25729041571
ACH-000067,-1.16083503869
ACH-000070,-1.45971873201
ACH-000075,-1.2684553627600001
ACH-000078,-1.2825784264700002
ACH-000082,-1.6835064531900001
ACH-000085,-1.04859894705
ACH-000086,-1.00989430933
ACH-000087,-0.768606188113
ACH-000092,-1.37934624762
ACH-000095,-1.5809207619
ACH-000097,-1.3425321639399999
ACH-000098,-1.3179109736499999
ACH-000099,-1.15784469271
ACH-000108,-1.27538319692
ACH-000113,-1.5073078933000001
ACH-000115,-1.8979088348900002
ACH-000116,-1.05584271066
ACH-000118,-1.38648356016
ACH-000120,-0.9974835348700001
ACH-000123,-1.18146424106
ACH-000127,-1.3835916852899999
ACH-000128,-1.2788739773200002
ACH-000132,-1.06708350556
ACH-000133,-1.3504860566499999
ACH-000137,-1.28281388329
ACH-000138,-1.3934473402399998
ACH-000142,-0.753047135562
ACH-000143,-1.47175916901
ACH-000146,-1.82233880504
ACH-000148,-1.29739030145
ACH-000150,-0.846501914705
ACH-000152,-1.1766426948100002
ACH-000153,-1.22057022608
ACH-000159,-1.50474733528
ACH-000160,-1.48652503688
ACH-000163,-1.42432635136
ACH-000167,-1.57048240713
ACH-000168,-1.24468304289
ACH-000169,-1.3113894094499998
ACH-000178,-1.14951461854
ACH-000182,-1.4735661895299998
ACH-000183,-1.46263015446
ACH-000188,-1.18017703389
ACH-000189,-1.09689907588
ACH-000190,-1.67358850519
ACH-000198,-1.53600320591
ACH-000204,-1.21077572804
ACH-000206,-1.7320630503299999
ACH-000207,-2.18623315116
ACH-000211,-1.1701616661399998
ACH-000215,-1.44727121027
ACH-000221,-1.4924962965600002
ACH-000222,-1.20470510843
ACH-000223,-1.2277269074500001
ACH-000226,-1.0980245032
ACH-000227,-1.4875873906200001
ACH-000228,-1.3188033422799998
ACH-000231,-1.04525552752
ACH-000232,-1.58834251187
ACH-000233,-1.4230041128400002
ACH-000234,-1.6197267078100002
ACH-000235,-1.21065427586
ACH-000237,-1.34995897421
ACH-000238,-1.0819955843100002
ACH-000243,-1.25529578676
ACH-000244,-0.689992224517
ACH-000246,-1.34237403718
ACH-000248,-1.18817972639
ACH-000250,-1.3732564968099998
ACH-000251,-1.43399387685
ACH-000253,-1.35241878473
ACH-000255,-1.3898999433500001
ACH-000256,-1.11391072249
ACH-000257,-0.92890719705
ACH-000258,-1.08229787906
ACH-000259,-1.39264845183
ACH-000260,-1.3693935506700001
ACH-000261,-1.3579410216299999
ACH-000262,-1.23266576123
ACH-000263,-1.4081818522299998
ACH-000264,-1.21575989234
ACH-000265,-1.21116527875
ACH-000266,-1.3616031687399999
ACH-000272,-1.2467316503299999
ACH-000273,-1.0981365217
ACH-000274,-1.6320284739300002
ACH-000277,-1.3109257411
ACH-000278,-1.47578803207
ACH-000279,-1.04779467498
ACH-000280,-1.1799992003
ACH-000281,-1.01990988303
ACH-000288,-0.939336577707
ACH-000291,-1.2497414038799999
ACH-000293,-1.6076153282199999
ACH-000294,-1.38744814654
ACH-000295,-1.29446704246
ACH-000296,-1.08680850522
ACH-000302,-1.35244850282
ACH-000304,-2.0372572891400003
ACH-000307,-1.2051059742
ACH-000308,-1.4007725005399998
ACH-000310,-1.5239493333899998
ACH-000311,-1.28753024662
ACH-000312,-1.22781526053
ACH-000315,-1.08812739625
ACH-000316,-1.4236111634200002
ACH-000317,-1.02517982009
ACH-000318,-1.48122158847
ACH-000319,-1.18097887911
ACH-000320,-0.948752441654
ACH-000322,-1.31417140406
ACH-000323,-1.2225794486200001
ACH-000324,-1.36238638291
ACH-000329,-1.44824998386
ACH-000330,-0.7916741905679999
ACH-000331,-1.43715440364
ACH-000332,-1.36530699157
ACH-000334,-2.08344625753
ACH-000335,-1.0771946103899999
ACH-000336,-1.8908196939200002
ACH-000337,-0.959881898028
ACH-000339,-1.2470476748700001
ACH-000341,-2.03704225028
ACH-000348,-1.7767906111000003
ACH-000350,-1.58672939882
ACH-000352,-1.42522581389
ACH-000356,-1.45537502428
ACH-000361,-1.38488826975
ACH-000362,-1.5635705495399999
ACH-000363,-1.7569003020400003
ACH-000364,-1.30062399701
ACH-000365,-1.2753252691899999
ACH-000366,-1.45666320545
ACH-000368,-1.1380162464
ACH-000374,-1.12447888794
ACH-000375,-1.1125507547700002
ACH-000376,-1.28875951781
ACH-000381,-1.1445484133
ACH-000383,-1.30359172636
ACH-000387,-1.25825067988
ACH-000389,-1.5162763203299998
ACH-000390,-1.73127102607
ACH-000393,-1.15139381736
ACH-000395,-0.979191133427
ACH-000397,-1.18877412212
ACH-000401,-1.70425310027
ACH-000402,-1.58786640065
ACH-000403,-1.30715789871
ACH-000404,-1.22648946235
ACH-000406,-1.70484361109
ACH-000407,-1.15230936222
ACH-000408,-1.0483937869700002
ACH-000410,-1.4637156595899998
ACH-000411,-1.09075400442
ACH-000414,-1.6123662743399998
ACH-000415,-1.30193352583
ACH-000416,-1.1944647773700001
ACH-000420,-1.2686603465200001
ACH-000421,-1.19615829927
ACH-000424,-1.25582322366
ACH-000425,-1.27217657064
ACH-000426,-2.1307858838400002
ACH-000427,-1.3551798692800001
ACH-000433,-1.13234751132
ACH-000436,-1.54897005732
ACH-000444,-1.25554889874
ACH-000445,-1.18560845554
ACH-000448,-1.19360780316
ACH-000450,-1.41865676227
ACH-000452,-1.18488022614
