,MTFR1L (56181)
ACH-000004,-0.25702783109
ACH-000007,-0.141576194151
ACH-000009,-0.25831487408500003
ACH-000011,-0.0987596855783
ACH-000012,-0.21134036105999998
ACH-000013,-0.171379648129
ACH-000014,-0.014561721865700001
ACH-000015,-0.0559583366386
ACH-000017,-0.24796696957199998
ACH-000018,-0.0511540934704
ACH-000019,-0.16527592535900001
ACH-000021,-0.149115512314
ACH-000022,-0.08848885809250001
ACH-000025,-0.23484832291299998
ACH-000028,-0.270115516974
ACH-000030,-0.209585451098
ACH-000035,-0.349775145839
ACH-000036,-0.0610080219709
ACH-000037,-0.264702152921
ACH-000039,-0.233984745401
ACH-000040,-0.207860547394
ACH-000041,-0.32202764192
ACH-000042,-0.0888454091248
ACH-000045,-0.16131683955700002
ACH-000047,-0.0889254966306
ACH-000052,-0.0871655786087
ACH-000053,-0.217866045024
ACH-000054,-0.18735837104800002
ACH-000055,-0.193785221466
ACH-000060,-0.0876557003202
ACH-000067,-0.148566433381
ACH-000070,-0.06510137033340001
ACH-000075,-0.043352973431599995
ACH-000078,-0.227406453183
ACH-000082,-0.08568301021430001
ACH-000085,-0.13072519886199999
ACH-000086,-0.21374304264600003
ACH-000087,0.04668127238480001
ACH-000092,-0.346318558285
ACH-000095,-0.16916716164599999
ACH-000097,-0.209743628374
ACH-000098,-0.213936250768
ACH-000099,-0.164391663092
ACH-000108,-0.264480101199
ACH-000113,-0.09265650857660002
ACH-000115,-0.00210929391173
ACH-000116,-0.250670422588
ACH-000118,-0.0975311844043
ACH-000120,-0.116847968418
ACH-000123,-0.131745654144
ACH-000127,-0.142185995392
ACH-000128,-0.39301945268
ACH-000132,-0.19710106397100002
ACH-000133,-0.167336545824
ACH-000137,-0.45941566163599995
ACH-000138,-0.10449373588
ACH-000142,-0.0930173545523
ACH-000143,-0.333056238343
ACH-000146,-0.0641622085947
ACH-000148,-0.132565870789
ACH-000150,-0.355447033331
ACH-000152,-0.19162776808200002
ACH-000153,-0.293304496657
ACH-000159,-0.18284540570900001
ACH-000160,-0.22149925620299998
ACH-000163,-0.00827622015286
ACH-000167,-0.17114436203400002
ACH-000168,-0.34368320599
ACH-000169,-0.0582420530519
ACH-000178,-0.246277840894
ACH-000182,-0.12053440445699999
ACH-000183,-0.192186711809
ACH-000188,-0.17933149014199998
ACH-000189,-0.261461012132
ACH-000190,-0.250238305098
ACH-000198,-0.19889531579199998
ACH-000204,-0.502068198138
ACH-000206,-0.134312963621
