,ITPRIP (85450)
ACH-000004,-0.135007494526
ACH-000007,-0.200410176805
ACH-000009,-0.007724531641520001
ACH-000011,-0.194463393944
ACH-000012,-0.20042475553599998
ACH-000013,-0.029827413298299996
ACH-000014,-0.18891320103599998
ACH-000015,-0.308003242743
ACH-000017,-0.0274762605299
ACH-000018,0.0473795053724
ACH-000019,0.0103480355061
ACH-000021,0.00816317186976
ACH-000022,-0.132449361687
ACH-000025,-0.202866348974
ACH-000028,-0.184057357573
ACH-000030,-0.234101341641
ACH-000035,-0.262472900275
ACH-000036,-0.407857182832
ACH-000037,-0.0680638019475
ACH-000039,-0.256526660788
ACH-000040,-0.171551166142
ACH-000041,-0.0119719537841
ACH-000042,-0.18526872811
ACH-000045,-0.0463732463118
ACH-000047,-0.116448455263
ACH-000052,-0.298648526496
ACH-000053,-0.211144187417
ACH-000054,-0.257596025634
ACH-000055,-0.132050647731
ACH-000060,-0.0886786345134
ACH-000067,-0.19445683974199998
ACH-000070,-0.130069103836
ACH-000075,-0.142537623693
ACH-000078,-0.195714478794
ACH-000082,-0.0528754444351
ACH-000085,-0.192774470856
ACH-000086,-0.197058614547
ACH-000087,-0.151209741324
ACH-000092,-0.00024440595118200003
ACH-000095,0.00893402861629
ACH-000097,-0.09856384395680001
ACH-000098,-0.209136866336
ACH-000099,-0.316761816956
ACH-000108,-0.170169304887
ACH-000113,-0.112496744049
ACH-000115,-0.142083286833
ACH-000116,-0.0571348404012
ACH-000118,-0.158741138137
ACH-000120,-0.0620967608342
ACH-000123,-0.165392672675
ACH-000127,-0.07382091334049999
ACH-000128,-0.109679180086
ACH-000132,-0.318564245305
ACH-000133,-0.11245620803300001
ACH-000137,-0.015322217616
ACH-000138,-0.103595729462
ACH-000142,-0.14762059802400002
ACH-000143,-0.178005175777
ACH-000146,-0.127848511513
ACH-000148,-0.137156916126
ACH-000150,-0.0112874603019
ACH-000152,-0.12008085077899999
ACH-000153,0.00566684046992
ACH-000159,0.0161453193613
ACH-000160,-0.36489807645000005
ACH-000163,-0.180515005991
ACH-000167,0.105736890388
ACH-000168,-0.16810845386
ACH-000169,-0.148116041737
ACH-000178,-0.0938727938003
ACH-000182,-0.254810570517
ACH-000183,-0.243828877945
ACH-000188,-0.07062387939180001
ACH-000189,-0.171684024749
ACH-000190,-0.348178274808
ACH-000198,-0.057428066078
ACH-000204,-0.330163911526
ACH-000206,-0.199362163832
ACH-000207,-0.208494312043
ACH-000211,-0.023638206217400003
ACH-000215,-0.0674929289119
ACH-000221,-0.11606190417300001
ACH-000222,-0.165490908961
ACH-000223,-0.24063722619800001
ACH-000226,-0.12283791804199999
ACH-000227,-0.0425179011015
ACH-000228,-0.08730500539319999
ACH-000231,-0.244106897975
ACH-000232,-0.142113841111
ACH-000233,-0.260431992015
ACH-000234,-0.0293903189187
ACH-000235,-0.161232093375
ACH-000237,-0.136687584377
ACH-000238,-0.214185350702
ACH-000243,-0.228596526226
ACH-000244,-0.0179941855286
ACH-000246,-0.16615326701199998
ACH-000248,-0.272592925879
ACH-000250,-0.12487970070999999
ACH-000251,-0.25848236605999997
ACH-000253,-0.13652520492599998
ACH-000255,-0.0674446405379
ACH-000256,-0.0357934492318
ACH-000257,-0.289889491736
ACH-000258,0.0122691557592
ACH-000259,-0.15067905395199999
ACH-000260,-0.266572123521
ACH-000261,-0.0871440548391
ACH-000262,-0.238217903091
ACH-000263,-0.08577186045810001
ACH-000264,-0.295434773935
ACH-000265,-0.0392666482864
ACH-000266,-0.0880182065717
ACH-000272,-0.0958165249545
ACH-000273,-0.10232577967499999
ACH-000274,-0.0793130923526
ACH-000277,-0.0137366231377
ACH-000278,-0.0340258347991
ACH-000279,-0.147070608503
ACH-000280,-0.149488455761
ACH-000281,-0.5001756525500001
ACH-000288,-0.13952310883
ACH-000291,-0.35361190139
ACH-000293,-0.06428710433740001
ACH-000294,-0.306444592711
ACH-000295,-0.0256308486243
ACH-000296,-0.293360778364
ACH-000302,-0.158226272643
ACH-000304,-0.20788317826699998
ACH-000307,-0.263853252361
ACH-000308,-0.222921464421
ACH-000310,-0.307160884324
ACH-000311,-0.140697347247
ACH-000312,-0.326803131436
ACH-000315,-0.272224551866
ACH-000316,-0.09116733873600001
ACH-000317,-0.058002122538199995
ACH-000318,-0.231353523553
ACH-000319,-0.185048821748
ACH-000320,-0.011105472391
ACH-000322,-0.24401741208299998
ACH-000323,-0.123386567504
ACH-000324,-0.221248885601
