,CCNA2 (890)
ACH-000004,-1.4627204311000002
ACH-000007,-1.3223207518100002
ACH-000009,-1.26457139088
ACH-000011,-1.3788712311899998
ACH-000012,-1.52147171396
ACH-000013,-1.03326475979
ACH-000014,-1.03625003198
ACH-000015,-1.5872008294
ACH-000017,-1.43608903284
ACH-000018,-1.15671896025
ACH-000019,-1.21715543161
ACH-000021,-1.3597684895
ACH-000022,-1.49816701544
ACH-000025,-1.18276172399
ACH-000028,-1.55334631655
ACH-000030,-1.30037626014
ACH-000035,-1.09914065154
ACH-000036,-1.60581053454
ACH-000037,-1.5506808057400001
ACH-000039,-1.3661059465799998
ACH-000040,-1.26844804785
ACH-000041,-1.52103746075
ACH-000042,-1.53510454399
ACH-000045,-1.35943608694
ACH-000047,-1.50460263877
ACH-000052,-1.56853431431
ACH-000053,-1.13688924701
ACH-000054,-1.4466253978799999
ACH-000055,-1.2978257287700001
ACH-000060,-1.4699012690200002
ACH-000067,-1.3830666026299998
ACH-000070,-1.1959474624700002
ACH-000075,-1.57284199756
ACH-000078,-1.18898477484
ACH-000082,-1.5151368555899998
ACH-000085,-1.22003284779
ACH-000086,-1.14770251262
ACH-000087,-1.58532379003
ACH-000092,-1.62205446095
ACH-000095,-1.4000869781099998
ACH-000097,-1.49679665854
ACH-000098,-1.24389529547
ACH-000099,-1.2423801504799998
ACH-000108,-1.2710940687799999
ACH-000113,-1.4108091565099998
ACH-000115,-1.49399518728
ACH-000116,-1.6352930416299998
ACH-000118,-1.18439921663
ACH-000120,-1.34346232204
ACH-000123,-1.41337324128
ACH-000127,-1.43262360158
ACH-000128,-1.6517847216400001
ACH-000132,-1.5381023910499998
ACH-000133,-1.58448332116
ACH-000137,-1.3351721770799998
ACH-000138,-1.18685285594
ACH-000142,-1.01552145838
ACH-000143,-1.51782308527
ACH-000146,-1.48461827419
ACH-000148,-1.23080301366
ACH-000150,-1.29574813503
ACH-000152,-1.51433185111
ACH-000153,-1.6609460062099999
ACH-000159,-1.6597623677200002
ACH-000160,-1.633741116
ACH-000163,-1.14207474082
ACH-000167,-1.79531300303
ACH-000168,-1.4116237369799998
ACH-000169,-1.54892673854
ACH-000178,-1.3253095457100001
ACH-000182,-1.3826442839200002
ACH-000183,-1.12550062079
ACH-000188,-1.2738109130700002
ACH-000189,-1.1749041446100001
ACH-000190,-1.40282126595
ACH-000198,-1.1076610849500002
ACH-000204,-1.05414501912
ACH-000206,-1.1705012441
ACH-000207,-1.51120978395
ACH-000211,-1.5444634295200002
ACH-000215,-1.21257611078
ACH-000221,-1.61916877977
ACH-000222,-1.4950943311200002
ACH-000223,-1.3772315635299999
ACH-000226,-1.10557855088
ACH-000227,-1.48544652033
ACH-000228,-1.57130946437
ACH-000231,-1.3320793262700001
ACH-000232,-1.33104542094
ACH-000233,-1.2177493983499998
ACH-000234,-1.30386363314
ACH-000235,-1.3062292494299999
ACH-000237,-1.3660173580500001
ACH-000238,-1.54599339998
ACH-000243,-1.35833094285
ACH-000244,-1.4074534975
ACH-000246,-1.0912596558
ACH-000248,-1.3619200572499999
ACH-000250,-1.2431217800799998
ACH-000251,-1.51385287819
ACH-000253,-1.4988660381
ACH-000255,-1.20723111004
ACH-000256,-1.1091884864700001
ACH-000257,-1.5611132560299998
ACH-000258,-1.3498272936700002
ACH-000259,-1.22575978683
ACH-000260,-1.19103247954
ACH-000261,-1.54030401256
ACH-000262,-1.53847587997
ACH-000263,-1.9613231020099997
ACH-000264,-1.3521199215900002
ACH-000265,-1.2339340598100002
ACH-000266,-1.5322867181200002
ACH-000272,-1.4262832534999998
ACH-000273,-1.4423199553200001
ACH-000274,-1.5795599680399999
ACH-000277,-1.55313921928
ACH-000278,-0.7941577110070001
ACH-000279,-1.6377548649399998
ACH-000280,-1.5073469860100002
ACH-000281,-1.04210714095
ACH-000288,-1.34795665537
ACH-000291,-1.3642586487000001
ACH-000293,-1.34244438437
ACH-000294,-1.5440604043000001
ACH-000295,-0.922313743567
ACH-000296,-1.1359365938
ACH-000302,-1.4966347901600001
ACH-000304,-1.8651443187
ACH-000307,-1.34371127753
ACH-000308,-1.42688121292
ACH-000310,-1.4745348826700002
ACH-000311,-1.2481159624200002
ACH-000312,-1.12100772165
ACH-000315,-1.21252652256
ACH-000316,-1.24241400448
ACH-000317,-1.2208244158
ACH-000318,-1.50662600176
ACH-000319,-1.25588901406
ACH-000320,-1.29254273506
ACH-000322,-1.3131090217299999
ACH-000323,-1.3238365058200001
ACH-000324,-1.55503050396
ACH-000329,-1.5701671969600002
ACH-000330,-1.53741008866
ACH-000331,-1.3691462328600001
ACH-000332,-1.60803227052
ACH-000334,-1.7460696963299998
ACH-000335,-1.2574779025299998
ACH-000336,-1.6359350510100001
ACH-000337,-1.11397513134
ACH-000339,-1.36375081252
ACH-000341,-1.5220420354
ACH-000348,-1.2615969332899999
ACH-000350,-1.8718791691599999
ACH-000352,-1.2471755232500001
ACH-000356,-1.0844228304799999
ACH-000361,-1.69933915678
ACH-000362,-1.34880074651
ACH-000363,-1.53930557049
ACH-000364,-1.2001449067299998
ACH-000365,-1.19868082416
ACH-000366,-1.0271435489299998
ACH-000368,-1.4723378904299997
ACH-000374,-1.54177494481
ACH-000375,-1.1335525282799999
ACH-000376,-1.3465781970800001
ACH-000381,-1.18409466365
ACH-000383,-1.068596206
ACH-000387,-1.3316319098
ACH-000389,-1.2871562324799999
ACH-000390,-1.46754159076
ACH-000393,-1.3711203053
ACH-000395,-1.1019853666500001
ACH-000397,-1.1623674664599999
ACH-000401,-1.7045571707499998
