,KCNMA1 (3778)
ACH-000004,-0.060724206523
ACH-000007,-0.17581923311
ACH-000009,0.12099930093800002
ACH-000011,-0.0558446376076
ACH-000012,-0.0166484920279
ACH-000013,0.0167408535184
ACH-000014,-0.0043630226294
ACH-000015,0.0543358705224
ACH-000017,-0.115528582218
ACH-000018,0.0061756938717
ACH-000019,-0.259765231833
ACH-000021,0.0313042303621
ACH-000022,-0.0850285850128
ACH-000025,-0.100894853863
ACH-000028,-0.201200570523
ACH-000030,-0.145015272218
ACH-000035,-0.0998670142291
ACH-000036,0.023276117584700003
ACH-000037,0.0509104772945
ACH-000039,-0.05143226010890001
ACH-000040,-0.11850017001299999
ACH-000041,-0.159512520318
ACH-000042,-0.0290915806293
ACH-000045,0.194320576236
ACH-000047,0.037274951465
ACH-000052,-0.25766775961
ACH-000053,0.0366787195811
ACH-000054,0.0202750977748
ACH-000055,0.0668230616914
ACH-000060,-0.028259358048900004
ACH-000067,-0.28061207542800004
ACH-000070,-0.08476131845580001
ACH-000075,-0.14707613529000002
ACH-000078,-0.048985026620500007
ACH-000082,-0.272297357522
ACH-000085,-0.17725160639899998
ACH-000086,-0.027057112303299997
ACH-000087,-0.174899233317
ACH-000092,-0.0419011277753
ACH-000095,-0.00804178897563
ACH-000097,-0.129249593264
ACH-000098,0.0252506333544
ACH-000099,-0.0561985599982
ACH-000108,-0.032529205127
ACH-000113,0.143961700801
ACH-000115,-0.123269877657
ACH-000116,-0.0603323685657
ACH-000118,-0.0487034985018
ACH-000120,-0.047126922249999995
ACH-000123,-0.0399420465726
ACH-000127,-0.00320375142413
ACH-000128,-0.04960460236409999
ACH-000132,-0.0244241771268
ACH-000133,-0.0149823997621
ACH-000137,-0.117129870754
ACH-000138,0.00958881229174
ACH-000142,-0.10558168059
ACH-000143,0.06929916865380001
ACH-000146,0.0180704635213
ACH-000148,-0.19899281294799998
ACH-000150,-0.00863881386432
ACH-000152,-0.0753895089126
ACH-000153,0.263606104989
ACH-000159,0.00694497736654
ACH-000160,-0.081711844777
ACH-000163,-0.0814003854033
ACH-000167,-0.23369468075999997
ACH-000168,0.07000042882060001
ACH-000169,0.0018723130270599999
ACH-000178,-0.055193842687099995
ACH-000182,-0.112159267984
ACH-000183,-0.126064874644
ACH-000188,-0.219679525373
ACH-000189,-0.129885492734
ACH-000190,-0.15227241756100002
ACH-000198,-0.0131817127642
ACH-000204,0.162471312313
ACH-000206,-0.282360480198
ACH-000207,-0.0553867496459
ACH-000211,-0.0680175604684
ACH-000215,-0.123109628099
ACH-000221,0.22198388800299998
ACH-000222,-0.23369166343400002
ACH-000223,-0.152009607378
ACH-000226,0.0889575188741
ACH-000227,-0.46700983336999996
ACH-000228,-0.0210869541084
ACH-000231,-0.0822573067656
ACH-000232,-0.16473492941
ACH-000233,-0.0237453037185
ACH-000234,-0.19039915484099998
ACH-000235,-0.0135940420916
ACH-000237,-0.0741176458535
ACH-000238,-0.182802343484
ACH-000243,-0.08511958806160001
ACH-000244,-0.15331105986
ACH-000246,-0.041771074106099995
ACH-000248,-0.08092924997510001
ACH-000250,-0.000204916426871
ACH-000251,0.318645979675
ACH-000253,0.007309804195569999
ACH-000255,-0.067658289347
ACH-000256,-0.0598680978153
ACH-000257,0.0368618412398
ACH-000258,0.025948694416700002
ACH-000259,0.012661012179
ACH-000260,0.0006756657710160001
ACH-000261,-0.0196158461245
ACH-000262,-0.27871194268599997
ACH-000263,-0.104994455873
ACH-000264,-0.0933123005893
ACH-000265,-0.0189151532214
ACH-000266,-0.0859393082304
ACH-000272,-0.046697952695399995
ACH-000273,-0.06172200270219999
ACH-000274,-0.0712226729015
ACH-000277,-0.060666721345499997
ACH-000278,0.0929721918933
ACH-000279,-0.0695489822425
ACH-000280,0.0569037430617
ACH-000281,-0.039366517711099995
ACH-000288,-0.10440110917999999
ACH-000291,-0.0873354953593
ACH-000293,-0.144764655738
ACH-000294,0.10676916142000001
ACH-000295,-0.0347455904725
ACH-000296,0.0533991445129
ACH-000302,0.0628444687747
ACH-000304,-0.248499849315
ACH-000307,-0.00795717084295
ACH-000308,-0.05589909145600001
ACH-000310,-0.19137126368299998
ACH-000311,0.126918662411
ACH-000312,-0.115258918107
ACH-000315,-0.185394082073
ACH-000316,-0.00101137230335
ACH-000317,0.11461629505899999
ACH-000318,-0.022292015497
ACH-000319,-0.190753378381
ACH-000320,-0.11023409094799999
ACH-000322,-0.0952040615642
ACH-000323,-0.17365714372699997
ACH-000324,-0.055495653698399997
ACH-000329,-0.11114177405200001
ACH-000330,-0.23816452911
ACH-000331,-0.18207008531399999
ACH-000332,-0.07595537497819999
ACH-000334,0.09930787130889998
ACH-000335,-0.09461207972439999
ACH-000336,-0.08695790795080001
ACH-000337,-0.19288706369800002
ACH-000339,-0.067597802698
ACH-000341,0.0955686682357
ACH-000348,-0.044987418252
ACH-000350,0.12879994638599998
ACH-000352,0.0024038583162499997
ACH-000356,-0.07926435558310001
ACH-000361,0.153567515172
ACH-000362,0.00329988392322
ACH-000363,-0.0215731060215
ACH-000364,-0.0113098181253
ACH-000365,0.0532588051511
ACH-000366,0.021246101535099995
ACH-000368,-0.327329142197
ACH-000374,-0.0648004515742
ACH-000375,0.121531829353
ACH-000376,-0.127560037282
ACH-000381,-0.064303252535
ACH-000383,0.0181734627904
ACH-000387,0.251092488943
