,PRSS45 (377047)
ACH-000414,0.246041705072
ACH-000415,0.05111637282669999
ACH-000416,0.129121243203
ACH-000420,0.052279062919500005
ACH-000421,0.0693658225774
ACH-000424,-0.12684869427200002
ACH-000425,0.17259311379099998
ACH-000426,-0.0158379939248
ACH-000427,0.10965167757000001
ACH-000433,-0.0199360669373
ACH-000436,-0.16754431874
ACH-000444,0.00751045368849
ACH-000445,0.24121833550299998
ACH-000448,0.269855652328
ACH-000450,0.276468369309
ACH-000452,0.105806343589
ACH-000454,-0.0478723343947
ACH-000458,0.0710436807055
ACH-000459,0.105607589737
ACH-000460,0.144837254327
ACH-000461,0.16429953310599998
ACH-000463,0.03817680645530001
ACH-000464,0.133682533887
ACH-000466,0.20878685207000003
ACH-000467,0.030161062480700003
ACH-000468,0.209053225458
ACH-000469,-0.04213462787280001
ACH-000470,0.278568403142
ACH-000471,-0.00895142252724
ACH-000472,-0.0353124703048
ACH-000473,-0.137864238897
ACH-000475,-0.0143833764904
ACH-000476,-0.0259053183449
ACH-000477,0.3454497622
ACH-000480,0.256393051644
ACH-000481,0.135445124305
ACH-000483,0.115635404317
ACH-000484,-0.023658409415199998
ACH-000485,0.052374827600800006
ACH-000486,0.0553756610188
ACH-000487,0.084040078372
ACH-000488,0.07048590532719999
ACH-000490,0.0632335354121
ACH-000491,-0.120736862218
ACH-000495,-0.00013983275272499998
ACH-000496,0.116776458492
ACH-000499,-0.0752846225407
ACH-000500,0.284348095068
ACH-000502,0.153600304083
ACH-000503,0.20841701564399998
ACH-000505,0.164540864352
ACH-000507,0.19512982799800002
ACH-000510,0.0878505064291
ACH-000511,0.185974811339
ACH-000512,0.09173212110480002
ACH-000516,0.00912956003315
ACH-000517,0.11854736980000001
ACH-000518,0.239174230513
ACH-000520,0.015894971256
ACH-000521,0.13026516385
ACH-000522,0.0611411588
ACH-000524,0.12193839902100001
ACH-000527,0.07610625853939999
ACH-000528,0.0714630911482
ACH-000537,0.16535757739
ACH-000541,-0.0371915249679
ACH-000542,-0.122548298786
ACH-000544,0.118304290272
ACH-000545,0.022209238287999998
ACH-000547,-0.104870951756
ACH-000548,-0.00582936486189
ACH-000549,0.134735142162
ACH-000550,0.128205523744
ACH-000552,0.258974506203
ACH-000556,-0.049054846160000005
