,MYADM (91663)
ACH-000004,-0.332137045994
ACH-000007,-0.113153976599
ACH-000009,-0.209552418637
ACH-000011,-0.19990731692000002
ACH-000012,-0.102628261082
ACH-000013,-0.43096945776699996
ACH-000014,0.10649542851
ACH-000015,-0.168382634289
ACH-000017,-0.20233654011
ACH-000018,-0.259471165537
ACH-000019,0.0175712642266
ACH-000021,-0.25536339124400004
ACH-000022,0.0153240550169
ACH-000025,0.0268576847394
ACH-000028,-0.020175988968499998
ACH-000030,-0.22050645263799998
ACH-000035,-0.0912801455797
ACH-000036,-0.10876356651900002
ACH-000037,-0.256570531838
ACH-000039,0.00517042884557
ACH-000040,-0.056298122688199996
ACH-000041,-0.150260827386
ACH-000042,-0.0317238347833
ACH-000045,-0.047925608552900005
ACH-000047,-0.0969883874869
ACH-000052,-0.210081262489
ACH-000053,0.00944749403241
ACH-000054,-0.324841866974
ACH-000055,-0.15473051392
ACH-000060,-0.0938512362747
ACH-000067,-0.04433720051580001
ACH-000070,-0.175015479049
ACH-000075,-0.316951547901
ACH-000078,0.213009313211
ACH-000082,0.10979538378900001
ACH-000085,-0.0289026095736
ACH-000086,0.0157707327926
ACH-000087,-0.302485966219
ACH-000092,-0.173038447603
ACH-000095,-0.0708828669901
ACH-000097,-0.16702039787200001
ACH-000098,-0.19562423849899999
ACH-000099,0.0068486917446300005
ACH-000108,-0.10658849272
ACH-000113,-0.175207030018
ACH-000115,-0.11844899217700001
ACH-000116,-0.130872799832
ACH-000118,-0.235183420497
ACH-000120,-0.18235410950199998
ACH-000123,0.0782931905783
ACH-000127,-0.134148688548
ACH-000128,0.0964600812858
ACH-000132,-0.0819473669736
ACH-000133,-0.17973227362
ACH-000137,-0.12317113215999999
ACH-000138,-0.148572500658
ACH-000142,-0.205704144002
ACH-000143,-0.0126472669646
ACH-000146,-0.0697407627246
ACH-000148,-0.15008154942399998
ACH-000150,-0.105038655298
ACH-000152,-0.169600688308
ACH-000153,-0.484678088547
ACH-000159,-0.148735856042
ACH-000160,-0.282878478407
ACH-000163,-0.0899477836008
ACH-000167,-0.474957655809
ACH-000168,-0.031116263063799998
ACH-000169,-0.24502778189
ACH-000178,-0.09263374557039998
ACH-000182,-0.06968607885589999
ACH-000183,-0.257488582434
ACH-000188,-0.129675782475
ACH-000189,-0.164930529509
ACH-000190,-0.165581964018
ACH-000198,-0.09826867063400001
ACH-000204,-0.163973437311
ACH-000206,0.0145728834134
ACH-000207,0.015484077117700001
ACH-000211,-0.051613512366500004
ACH-000215,-0.331469072903
ACH-000221,-0.21844602524
ACH-000222,-0.168183175516
ACH-000223,-0.0445970886632
ACH-000226,-0.0395572566514
ACH-000227,-0.159499153378
ACH-000228,0.164385268528
ACH-000231,0.0215808385891
ACH-000232,-0.1869889813
ACH-000233,-0.0655173226928
ACH-000234,-0.38829141111000004
ACH-000235,-0.0916186804983
ACH-000237,-0.360618212402
ACH-000238,-0.0485553774628
ACH-000243,-0.173969667377
ACH-000244,0.0532107286951
ACH-000246,-0.407034515629
ACH-000248,-0.0239583127857
ACH-000250,-0.103289423704
ACH-000251,-0.411214268413
ACH-000253,-0.164904852808
ACH-000255,-0.199024179859
ACH-000256,-0.12210761575899999
ACH-000257,-0.0511027222906
