,NUBPL (80224)
ACH-000004,-0.26239648522799996
ACH-000007,-0.390251619853
ACH-000009,-0.453449607732
ACH-000011,0.0340223858435
ACH-000012,-0.514228566147
ACH-000013,-0.613896112138
ACH-000014,-0.259025380502
ACH-000015,-0.221825536459
ACH-000017,-0.20446254882399997
ACH-000018,-0.105199581209
ACH-000019,-0.11886896655300001
ACH-000021,-0.391849748488
ACH-000022,-0.201822813112
ACH-000025,-0.351342570491
ACH-000028,-0.46220531650700003
ACH-000030,-0.25786981617
ACH-000035,-0.23545955455200002
ACH-000036,-0.0653544157414
ACH-000037,-0.44882514588600003
ACH-000039,-0.19855527786
ACH-000040,-0.421803361382
ACH-000041,-0.281948820101
ACH-000042,-0.266671707892
ACH-000045,-0.509723788753
ACH-000047,-0.487347356562
ACH-000052,-0.36932888028599997
ACH-000053,-0.36127561801799996
ACH-000054,-0.184601399213
ACH-000055,-0.143541744601
ACH-000060,-0.34095120979800003
ACH-000067,-0.251153239414
ACH-000070,-0.248084161222
ACH-000075,-0.296541362346
ACH-000078,-0.233224549471
ACH-000082,-0.301048917785
ACH-000085,-0.4213465414
ACH-000086,-0.535623916401
ACH-000087,-0.40942706451300004
ACH-000092,-0.35166118341499997
ACH-000095,-0.163048150603
ACH-000097,-0.210433193793
ACH-000098,-0.38023416212899996
ACH-000099,-0.362523082453
ACH-000108,-0.273249737373
ACH-000113,-0.11428570486800001
ACH-000115,-0.354096445883
ACH-000116,-0.341052220585
ACH-000118,-0.792712463316
ACH-000120,-0.483799056377
ACH-000123,-0.37302488442299997
ACH-000127,-0.275017594113
ACH-000128,-0.372925738976
ACH-000132,-0.163563922972
ACH-000133,-0.19353572752599998
ACH-000137,-0.17550927063299998
ACH-000138,-0.498373256445
ACH-000142,-0.29138686113699996
ACH-000143,-0.337089083723
ACH-000146,-0.12269077560999998
ACH-000148,-0.474587891795
ACH-000150,-0.11393841524000001
ACH-000152,-0.418195772641
ACH-000153,-0.7024231536040001
ACH-000159,-0.478586618901
ACH-000160,-0.6584932622640001
ACH-000163,-0.35284607906800003
ACH-000167,-0.111202690468
ACH-000168,-0.335093554357
ACH-000169,-0.524830127591
ACH-000178,-0.10574065503499999
ACH-000182,-0.5274154486779999
ACH-000183,-0.20822281851100002
ACH-000188,-0.061077035274
ACH-000189,-0.684224863594
ACH-000190,-0.552354699998
ACH-000198,-0.665245476852
ACH-000204,-0.448309575793
ACH-000206,0.0112558154342
ACH-000207,-0.83465272858
ACH-000211,-0.274072501088
ACH-000215,-0.45459448899899996
ACH-000221,-0.422048112053
ACH-000222,-0.443760609609
