,MYC (4609)
ACH-000004,-1.99388170716
ACH-000007,-1.9701030413999998
ACH-000009,-1.6619887009099998
ACH-000011,-2.26764196189
ACH-000012,-1.72756218854
ACH-000013,-1.27527584982
ACH-000014,-1.5989788118500001
ACH-000015,-2.07014743376
ACH-000017,-1.6780700831400002
ACH-000018,-1.8173749458099997
ACH-000019,-1.43795264292
ACH-000021,-1.33509660204
ACH-000022,-2.18757166614
ACH-000025,-1.80941914146
ACH-000028,-1.6353142597299999
ACH-000030,-1.99742646089
ACH-000035,-1.49918994002
ACH-000036,-1.87862924982
ACH-000037,-1.4539370178100002
ACH-000039,-2.30919931162
ACH-000040,-1.52888285783
ACH-000041,-2.27912422153
ACH-000042,-2.08172137543
ACH-000045,-1.99851612719
ACH-000047,-1.4969102419999998
ACH-000052,-1.7140661350400002
ACH-000053,-1.8093086298099998
ACH-000054,-1.33205376174
ACH-000055,-1.94864919282
ACH-000060,-2.12625954192
ACH-000067,-1.37430274182
ACH-000070,-2.21899127731
ACH-000075,-1.6168168534600003
ACH-000078,-0.9390264500929999
ACH-000082,-1.5443212331
ACH-000085,-2.15795631546
ACH-000086,-1.68749733389
ACH-000087,-2.18628428722
ACH-000092,-1.7513817676499999
ACH-000095,-1.61377508609
ACH-000097,-1.68038252424
ACH-000098,-1.66524990756
ACH-000099,-0.7094887801440001
ACH-000108,-1.7212372899900001
ACH-000113,-1.9890549681099998
ACH-000115,-2.48315004179
ACH-000116,-1.00547046539
ACH-000118,-1.6258854729499999
ACH-000120,-0.949364018697
ACH-000123,-1.63619863914
ACH-000127,-1.81489880568
ACH-000128,-1.5456160598299997
ACH-000132,-1.78401804375
ACH-000133,-1.50313032648
ACH-000137,-1.7194512147299998
ACH-000138,-2.10518860937
ACH-000142,-2.01576292939
ACH-000143,-2.05876024898
ACH-000146,-2.2158188710799998
ACH-000148,-1.94946807963
ACH-000150,-2.3036664400799998
ACH-000152,-1.6835691072999999
ACH-000153,-2.1542396589200004
ACH-000159,-1.5860828796700002
ACH-000160,-1.8134755026599998
ACH-000163,-2.28084482386
ACH-000167,-2.01910926531
ACH-000168,-2.5148874659200002
ACH-000169,-1.7632006357299999
ACH-000178,-2.05721258685
ACH-000182,-1.6444734517200001
ACH-000183,-1.97382077128
ACH-000188,-1.7363496472
ACH-000189,-1.58329301053
ACH-000190,-1.54351919468
ACH-000198,-1.7517469680700002
ACH-000204,-1.5791923064700002
ACH-000206,-3.1888519989899997
ACH-000207,-2.90896228959
ACH-000211,-1.72654816563
ACH-000215,-1.7310891769799999
ACH-000221,-1.9482929966799998
ACH-000222,-2.04871660845
ACH-000223,-1.52481777632
ACH-000226,-1.7938487402599999
ACH-000227,-0.978853326093
ACH-000228,-1.7779543163900002
ACH-000231,-1.48609610273
ACH-000232,-1.89474206833
ACH-000233,-1.93834045643
ACH-000234,-1.9820627394099999
ACH-000235,-1.9897721128299999
ACH-000237,-1.83208522808
ACH-000238,-2.14344091233
ACH-000243,-2.05485990091
ACH-000244,-1.47653399695
ACH-000246,-1.66636551325
ACH-000248,-1.8117437339099998
ACH-000250,-1.69459838585
ACH-000251,-2.5464232157900004
ACH-000253,-1.46230596109
ACH-000255,-1.4748079184399998
ACH-000256,-1.5432329519699999
ACH-000257,-1.79818808463
ACH-000258,-2.0840784810099997
ACH-000259,-0.702058004762
ACH-000260,-1.7561702036400002
ACH-000261,-1.9020382196099999
ACH-000262,-1.89394522716
ACH-000263,-1.7559433390599999
ACH-000264,-1.07195171566
ACH-000265,-1.79779817027
ACH-000266,-1.78472529308
ACH-000272,-1.4491200816299998
ACH-000273,-1.29273885905
ACH-000274,-1.5909910759099999
ACH-000277,-1.99791070247
ACH-000278,-1.8712549571700001
ACH-000279,-2.0942641242
ACH-000280,-2.0248681511099997
ACH-000281,-2.19656314277
ACH-000288,-2.0224442535900002
ACH-000291,-1.96482579752
ACH-000293,-1.63253430051
ACH-000294,-2.34253747252
ACH-000295,-2.05325125766
ACH-000296,-1.45953077675
ACH-000302,-2.2143120009799997
ACH-000304,-2.84642680503
ACH-000307,-2.17634340789
ACH-000308,-1.71848261722
ACH-000310,-1.25363322931
ACH-000311,-2.18380074796
ACH-000312,-0.943712460291
ACH-000315,-1.9619322774099999
ACH-000316,-2.29129536986
ACH-000317,-2.02584473223
ACH-000318,-2.5911325959
ACH-000319,-1.7335437420599997
ACH-000320,-2.27124989541
ACH-000322,-1.35463730856
ACH-000323,-1.6814286604100002
ACH-000324,-1.28923897896
ACH-000329,-1.03375988761
ACH-000330,-1.51338775178
ACH-000331,-1.58581601149
ACH-000332,-2.03970154305
ACH-000334,-3.38591422079
ACH-000335,-1.6529607046700001
ACH-000336,-2.26985486155
ACH-000337,-2.0337935734
ACH-000339,-1.8668817101599997
ACH-000341,-1.02326592741
ACH-000348,-1.29147955544
ACH-000350,-2.03070028376
ACH-000352,-1.78641918162
ACH-000356,-1.6017210291600001
ACH-000361,-1.48087101771
ACH-000362,-2.22670698401
ACH-000363,-2.31309370983
ACH-000364,-1.78157256461
ACH-000365,-2.07101309616
ACH-000366,-0.470337363356
ACH-000368,-1.5817942445299997
ACH-000374,-1.31124896582
ACH-000375,-1.69087089351
ACH-000376,-1.9570655279799998
ACH-000381,-1.6554126225299999
ACH-000383,-2.1269375733900002
ACH-000387,-2.2912621774599997
ACH-000389,-1.7613508555000001
ACH-000390,-2.18166055465
ACH-000393,-1.2941381641399998
ACH-000395,-2.03757284585
ACH-000397,-1.36670444457
ACH-000401,-2.10752799183
ACH-000402,-1.9369532320099998
ACH-000403,-2.18010061322
ACH-000404,-1.80654764676
ACH-000406,-1.8127526192099996
ACH-000407,-1.46430692896
ACH-000408,-2.16120916223
ACH-000410,-1.7666151720900003
ACH-000411,-1.82217489598
ACH-000414,-2.47785471482
ACH-000415,-1.78624191074
ACH-000416,-1.7201628351299998
ACH-000420,-1.4938004927500002
ACH-000421,-1.89397308998
ACH-000424,-2.13135279894
ACH-000425,-1.9402646657099998
ACH-000426,-2.68218497984
ACH-000427,-1.74843659354
ACH-000433,-1.60039602579
ACH-000436,-2.45615720362
ACH-000444,-1.6925240074799999
ACH-000445,-1.3497525075299999
ACH-000448,-2.19772748443
ACH-000450,-2.35163960031
ACH-000452,-1.53331795762
ACH-000454,-2.3570040845299998
ACH-000458,-2.1901738514
ACH-000459,-1.67926603618
ACH-000460,-1.65876423956
ACH-000461,-1.85282799593
ACH-000463,-1.62176423706
ACH-000464,-1.51254999886
ACH-000466,-2.3540790780400003
ACH-000467,-1.9908390426099998
ACH-000468,-2.37427271017
ACH-000469,-1.75124082232
ACH-000470,-1.51742269866
ACH-000471,-1.75039524965
ACH-000472,-2.41516491495
ACH-000473,-2.35290305917
ACH-000475,-1.9301003908400003
ACH-000476,-1.64495398893
ACH-000477,-2.16796015157
ACH-000480,-1.72027294043
ACH-000481,-1.2566999314
ACH-000483,-1.51699666417
ACH-000484,-1.27520358828
ACH-000485,-2.17158395616
ACH-000486,-2.08732612344
ACH-000487,-2.0556969727200003
ACH-000488,-1.82606778935
ACH-000490,-1.6294459457700001
ACH-000491,-1.2168422296799999
ACH-000495,-1.2023254214899999
ACH-000496,-1.6748297202200002
ACH-000499,-1.9235543513599997
ACH-000500,-1.4342316879700001
ACH-000502,-2.04675713557
ACH-000503,-2.17675632772
ACH-000505,-2.1425093770299997
ACH-000507,-1.99297951061
ACH-000510,-1.8689457871400001
ACH-000511,-2.03851270054
ACH-000512,-1.60700898388
ACH-000516,-1.85673591257
ACH-000517,-1.84658735626
ACH-000518,-2.15124002365
ACH-000520,-1.35187590933
ACH-000521,-2.1250495104400002
ACH-000522,-1.99005478903
ACH-000524,-1.9771301470500002
ACH-000527,-1.3509870855000001
ACH-000528,-0.7156360034579999
ACH-000537,-1.80664475257
ACH-000541,-1.97338821805
ACH-000542,-1.8860951837200002
ACH-000544,-1.93081442336
ACH-000545,-2.04730898603
ACH-000547,-1.94257044349
ACH-000548,-1.91291711384
ACH-000549,-1.94816780782
ACH-000550,-1.6758893102099999
ACH-000552,-1.76793506878
ACH-000556,-1.65380177278
ACH-000557,-3.10598174528
ACH-000570,-1.8330316923599996
ACH-000571,-1.2436767572299998
ACH-000573,-1.8235345263499998
ACH-000576,-2.11860804878
ACH-000580,-2.10974247045
ACH-000584,-1.5961402291
ACH-000585,-2.0656091441799997
ACH-000588,-1.96678942135
ACH-000589,-1.9221715989700001
ACH-000591,-1.727973195
ACH-000593,-2.10265689718
ACH-000600,-1.7021269618200001
ACH-000601,-1.8135173731999998
ACH-000604,-2.02095886488
ACH-000605,-2.2297884435900004
ACH-000606,-1.70058695304
ACH-000608,-1.73871520542
ACH-000614,-2.4799697104400003
ACH-000616,-1.8786161907799999
ACH-000618,-1.75811802795
ACH-000619,-1.9140990907799997
ACH-000620,-1.7199742816299999
ACH-000621,-1.4647569288799998
ACH-000622,-0.438172289903
ACH-000623,-1.24650088687
ACH-000624,-1.62481391417
ACH-000627,-1.52924082424
ACH-000630,-1.8128318437900002
ACH-000632,-1.7364529557599997
ACH-000633,-1.40416879701
ACH-000637,-1.89706567003
ACH-000638,-2.10003774637
ACH-000646,-1.9562378497
ACH-000647,-1.4906893757100002
ACH-000648,-1.9885278396400001
ACH-000649,-1.77812671122
ACH-000651,-1.67354796625
ACH-000652,-2.13849878956
ACH-000653,-2.07730683146
ACH-000657,-1.77113033836
ACH-000658,-2.5669165605
ACH-000661,-2.28371767167
ACH-000662,-1.8154098515500001
ACH-000663,-2.3453602178999997
ACH-000665,-1.64354449805
ACH-000671,-2.10421467211
ACH-000673,-1.64472313998
ACH-000676,-1.85844095316
ACH-000677,-1.91624017332
ACH-000681,-2.2479164596200003
ACH-000682,-1.68575267761
ACH-000683,-1.71724998243
ACH-000684,-1.66926400347
ACH-000688,-1.2509527883299998
ACH-000693,-1.69074749105
ACH-000694,-1.5431523561700002
ACH-000695,-0.970036345055
ACH-000696,-1.5980138122499998
ACH-000697,-1.24583987222
ACH-000699,-1.72886134997
ACH-000701,-1.9857476026700003
ACH-000706,-1.9139061767200003
ACH-000711,-1.6338421417299998
ACH-000713,-1.4159193228600002
ACH-000714,-1.8013871313099998
ACH-000718,-2.02900984361
ACH-000720,-1.7664708669599998
ACH-000721,-1.9785210793299999
ACH-000724,-2.34971920003
ACH-000725,-1.2764159769
ACH-000732,-1.7213533432299999
ACH-000734,-2.05718189216
ACH-000735,-1.69036092252
ACH-000736,-1.7514175030599999
ACH-000738,-1.83719546727
ACH-000746,-1.28066684531
ACH-000747,-1.6753023753
ACH-000748,-1.6045894030399999
ACH-000753,-1.8661645695099998
ACH-000756,-1.90220906051
ACH-000757,-1.6827299910299998
ACH-000758,-1.7857449216299999
ACH-000760,-1.5914447757899999
ACH-000763,-2.53850098813
ACH-000764,-1.3361367129100001
ACH-000765,-2.15264884924
ACH-000766,-1.76982022232
ACH-000767,-0.903668498267
ACH-000768,-1.94603044256
ACH-000769,-1.83480879996
ACH-000770,-2.15701614915
ACH-000771,-1.8139244313299998
ACH-000773,-2.07602678078
ACH-000776,-1.94768608521
ACH-000777,-2.19983330868
ACH-000778,-2.52512964628
ACH-000781,-2.15460429057
ACH-000782,-1.9281560832700002
ACH-000783,-1.0344960884299998
ACH-000784,-1.83471860872
ACH-000785,-2.18310816638
ACH-000787,-1.9047077957599998
ACH-000788,-1.3073185713
ACH-000791,-1.03954866415
ACH-000792,-2.3636242259799998
ACH-000794,-1.96329358625
ACH-000796,-1.8957997433400002
ACH-000799,-1.2994840776
ACH-000800,-1.96241399283
ACH-000802,-1.8700555639200003
ACH-000804,-0.800564767757
ACH-000805,-1.96207505993
ACH-000809,-1.86536782115
ACH-000810,-2.4992361603099997
ACH-000811,-1.58843167815
ACH-000817,-2.0834902692
ACH-000819,-1.59036164022
