,ZER1 (10444)
ACH-000004,-0.511270125863
ACH-000007,-0.00305300790555
ACH-000009,-0.471556405938
ACH-000011,0.0136879810541
ACH-000012,-0.230053754593
ACH-000013,-0.150326238062
ACH-000014,-0.140199571391
ACH-000015,-0.503607119985
ACH-000017,-0.0412097143909
ACH-000018,-0.22258266289099998
ACH-000019,-0.276265057885
ACH-000021,-0.238477905599
ACH-000022,-0.228830275767
ACH-000025,-0.0324824816959
ACH-000028,-0.0145109185953
ACH-000030,-0.14166878742
ACH-000035,-0.202318523218
ACH-000036,-0.35501622780500003
ACH-000037,-0.216432416471
ACH-000039,-0.33485068523
ACH-000040,-0.33616509829
ACH-000041,-0.278185745506
ACH-000042,-0.39025108568899997
ACH-000045,-0.060253723378900004
ACH-000047,-0.0140507772942
ACH-000052,-0.46898456200599997
ACH-000053,-0.101864102999
ACH-000054,-0.440964139684
ACH-000055,-0.22156362759
ACH-000060,-0.313267717762
ACH-000067,-0.08990068073219999
ACH-000070,-0.161204216384
ACH-000075,-0.0219513437659
ACH-000078,-0.255865229218
ACH-000082,-0.370606144629
ACH-000085,-0.384766427919
ACH-000086,-0.417779458024
ACH-000087,-0.0274795918034
ACH-000092,-0.276904337113
ACH-000095,-0.462708452893
ACH-000097,-0.286644608068
ACH-000098,-0.11596227120899999
ACH-000099,-0.0371631438319
ACH-000108,-0.267892946827
ACH-000113,-0.0130381447068
ACH-000115,0.00728321296754
ACH-000116,-0.20422754841600002
ACH-000118,-0.272796976458
ACH-000120,-0.32094091894
ACH-000123,-0.205713782298
ACH-000127,-0.100137217297
ACH-000128,-0.00356301727227
ACH-000132,-0.39077362923299996
ACH-000133,-0.190111697634
ACH-000137,-0.16722398444199998
ACH-000138,-0.28803338799199996
ACH-000142,-0.120995442961
ACH-000143,-0.0857807841656
ACH-000146,-0.116409932736
ACH-000148,-0.183410412763
ACH-000150,-0.387389493494
ACH-000152,-0.289067631592
ACH-000153,-0.248766623103
ACH-000159,-0.203788062835
ACH-000160,-0.23605975219099998
ACH-000163,-0.00146338782104
ACH-000167,-0.593508287101
ACH-000168,-0.1981102822
ACH-000169,-0.273635999266
ACH-000178,-0.110717097827
ACH-000182,-0.31898659063
ACH-000183,-0.207728758712
ACH-000188,-0.289238949707
ACH-000189,-0.367562911163
ACH-000190,-0.0925123904775
ACH-000198,-0.256222809103
ACH-000204,-0.5917760142180001
ACH-000206,-0.341285323671
ACH-000207,-0.531905335914
ACH-000211,-0.248450335185
ACH-000215,-0.216516425722
ACH-000221,-0.218667135275
ACH-000222,-0.39073002332900003
ACH-000223,-0.318094765368
ACH-000226,-0.233181351572
ACH-000227,-0.23582243066300002
ACH-000228,-0.30300114327100003
ACH-000231,-0.19403896817000002
ACH-000232,-0.240526912434
ACH-000233,-0.216916406622
ACH-000234,-0.44894686433700004
ACH-000235,-0.22007548498399998
ACH-000237,-0.343680930748
ACH-000238,-0.33639584698200004
ACH-000243,-0.253552650847
ACH-000244,-0.489313406582
ACH-000246,-0.186253089871
ACH-000248,-0.09986076331560001
ACH-000250,-0.212480250213
ACH-000251,-0.122047156749
ACH-000253,-0.154281896925
ACH-000255,-0.164668221754
ACH-000256,0.0113908531147
ACH-000257,-0.20739526065400002
ACH-000258,-0.407404813684
ACH-000259,-0.243469540363
ACH-000260,-0.16502223501
ACH-000261,-0.245070450621
ACH-000262,-0.24171988802299998
ACH-000263,-0.331284827124
ACH-000264,-0.16370787283399998
ACH-000265,-0.196988405613
ACH-000266,-0.290713606592
ACH-000272,-0.159456128261
ACH-000273,-0.27471847809300004
ACH-000274,-0.377041338586
ACH-000277,-0.338489250436
ACH-000278,0.0533493743704
ACH-000279,-0.241697338114
ACH-000280,-0.35619709020199997
ACH-000281,-0.0627997937386
ACH-000288,-0.127196838716
ACH-000291,-0.17122190505100002
ACH-000293,0.0418271601051
ACH-000294,-0.10574877794399999
ACH-000295,0.0340486169308
ACH-000296,-0.22960275608199998
ACH-000302,0.0142594147682
ACH-000304,-0.5051402185320001
ACH-000307,-0.145222269925
ACH-000308,-0.234593872416
ACH-000310,-0.23627571831
ACH-000311,-0.212321277652
ACH-000312,-0.309240753671
ACH-000315,-0.18691371920000002
ACH-000316,-0.11054879122899999
ACH-000317,-0.30907922973900004
ACH-000318,-0.353063326284
ACH-000319,-0.0341810367305
ACH-000320,-0.37648934174599996
ACH-000322,-0.0824238776132
ACH-000323,-0.192586448466
ACH-000324,-0.350043063235
ACH-000329,-0.124796132807
ACH-000330,-0.103031899923
ACH-000331,-0.269664115621
ACH-000332,-0.15637057204500002
ACH-000334,-0.302640722703
ACH-000335,-0.20469028284200003
ACH-000336,-0.433279966686
ACH-000337,0.061348916080900005
ACH-000339,-0.19043431099199998
ACH-000341,-0.119210174574
ACH-000348,-0.43113339537900003
ACH-000350,-0.024994036942400003
ACH-000352,-0.0350637591586
ACH-000356,-0.16558720012800002
ACH-000361,-0.0902447518883
ACH-000362,-0.240489534578
ACH-000363,-0.230987163565
ACH-000364,-0.0680095065504
ACH-000365,-0.0321502359713
ACH-000366,-0.131985695593
ACH-000368,-0.312640552651
ACH-000374,-0.24590084002300003
ACH-000375,-0.36193018340000005
ACH-000376,-0.308177024028
ACH-000381,-0.218246082296
ACH-000383,-0.174651511532
ACH-000387,-0.211817828882
ACH-000389,0.160744849629
