,PSMC6 (5706)
ACH-000004,-1.4858116005700002
ACH-000007,-1.3464321936
ACH-000009,-1.28975629848
ACH-000011,-1.08351197782
ACH-000012,-1.48093406651
ACH-000013,-1.01022936526
ACH-000014,-1.4807864442200003
ACH-000015,-1.00629827704
ACH-000017,-1.2099624932100002
ACH-000018,-1.1005783576600001
ACH-000019,-0.916256347892
ACH-000021,-1.13751268079
ACH-000022,-1.02727589949
ACH-000025,-1.08863887164
ACH-000028,-1.0980537384
ACH-000030,-1.2463826421600002
ACH-000035,-0.875020634885
ACH-000036,-1.2005628131100001
ACH-000037,-1.3414499391399999
ACH-000039,-1.08512695684
ACH-000040,-1.07529300673
ACH-000041,-1.29281425562
ACH-000042,-1.0793078901
ACH-000045,-1.20087627734
ACH-000047,-1.12356076004
ACH-000052,-1.25875663104
ACH-000053,-1.19436192768
ACH-000054,-1.16635412455
ACH-000055,-1.21993960442
ACH-000060,-0.993393454938
ACH-000067,-1.1190647144399999
ACH-000070,-1.19711948985
ACH-000075,-1.20273521065
ACH-000078,-1.22083972113
ACH-000082,-1.19072153561
ACH-000085,-0.7953530774070001
ACH-000086,-1.04163103441
ACH-000087,-1.15677110178
ACH-000092,-1.1109478475399999
ACH-000095,-1.0833063704
ACH-000097,-1.21257118445
ACH-000098,-1.05009614112
ACH-000099,-1.48463764371
ACH-000108,-1.37029500655
ACH-000113,-1.15563792921
ACH-000115,-1.13069534483
ACH-000116,-0.8662903297399999
ACH-000118,-1.1064208350799998
ACH-000120,-1.4239048253600002
ACH-000123,-1.03715834161
ACH-000127,-1.2834760551
ACH-000128,-1.20480910689
ACH-000132,-0.9685673617489999
ACH-000133,-1.25252047229
ACH-000137,-1.09495058879
ACH-000138,-1.07982928906
ACH-000142,-1.24427943607
ACH-000143,-1.29744847596
ACH-000146,-1.11187917815
ACH-000148,-1.31829688289
ACH-000150,-1.03115670514
ACH-000152,-1.15692910054
ACH-000153,-1.49716642339
ACH-000159,-1.4088202506999998
ACH-000160,-1.19443921805
ACH-000163,-1.40941531101
ACH-000167,-0.655895542692
ACH-000168,-1.1173131222600001
ACH-000169,-1.0032642045
ACH-000178,-1.2327681123
ACH-000182,-1.1794292362799998
ACH-000183,-1.15393897896
ACH-000188,-1.29252391469
ACH-000189,-1.40462969351
ACH-000190,-1.1963324818
ACH-000198,-1.31867814923
ACH-000204,-1.30393852721
ACH-000206,-0.9810137681659999
ACH-000207,-1.1935567225100001
ACH-000211,-1.22818316784
ACH-000215,-1.11802689669
ACH-000221,-1.1862666903899999
ACH-000222,-1.63154710178
ACH-000223,-1.12177845069
ACH-000226,-1.1030871851100001
ACH-000227,-1.78351579188
ACH-000228,-0.763146574848
ACH-000231,-1.18949961599
ACH-000232,-1.3399167968
ACH-000233,-1.13356879277
ACH-000234,-1.17376239974
ACH-000235,-1.15496638213
ACH-000237,-0.976617456172
ACH-000238,-0.995943774587
ACH-000243,-1.24718780988
ACH-000244,-0.9158450862630001
ACH-000246,-1.2311051688299999
ACH-000248,-0.9804016240719999
ACH-000250,-1.3376477570999998
ACH-000251,-0.6918806546899999
ACH-000253,-1.3295813370899998
ACH-000255,-1.0752068997600002
ACH-000256,-1.3489864974799999
ACH-000257,-1.02060662921
ACH-000258,-1.2494920927
ACH-000259,-1.39706136831
ACH-000260,-1.14366971706
ACH-000261,-1.08608756998
ACH-000262,-1.0041173857899999
ACH-000263,-0.90713157639
ACH-000264,-1.0875978112
ACH-000265,-1.17447563662
ACH-000266,-1.2553715715
ACH-000272,-1.2246705290200002
ACH-000273,-1.22427381156
ACH-000274,-1.32666207575
ACH-000277,-1.19972314703
ACH-000278,-1.23468921754
ACH-000279,-1.62659850799
ACH-000280,-1.0053857654
ACH-000281,-1.56807153121
ACH-000288,-1.22720474977
ACH-000291,-1.1436158821
ACH-000293,-1.25192072294
ACH-000294,-1.03533884233
ACH-000295,-1.10152697034
ACH-000296,-0.960232501182
ACH-000302,-1.20962146656
ACH-000304,-1.2587414252
ACH-000307,-1.1160044845200001
ACH-000308,-1.09774434214
ACH-000310,-1.3455192432799998
ACH-000311,-1.09456372985
ACH-000312,-1.40504029717
ACH-000315,-1.00503724378
ACH-000316,-1.1853925257
ACH-000317,-1.32886106854
ACH-000318,-0.68834078637
ACH-000319,-0.975248142182
ACH-000320,-1.1363190583299998
ACH-000322,-1.55800808322
ACH-000323,-1.0677445019399998
ACH-000324,-1.19626834653
ACH-000329,-1.1467151641700002
ACH-000330,-1.01238399192
ACH-000331,-1.1486149779000001
ACH-000332,-1.176053402
ACH-000334,-1.25675618439
ACH-000335,-1.16422331722
ACH-000336,-1.16485298821
ACH-000337,-0.8363079538220001
ACH-000339,-1.19883336669
ACH-000341,-1.39234288706
ACH-000348,-1.2918103331
ACH-000350,-1.33579254327
ACH-000352,-0.876682022744
ACH-000356,-1.04663691702
ACH-000361,-1.75409530192
ACH-000362,-1.15575368949
ACH-000363,-1.27025926975
ACH-000364,-1.03572524407
ACH-000365,-1.10892969324
ACH-000366,-1.3338251108799999
ACH-000368,-1.0392487783700002
ACH-000374,-0.8123462824519999
ACH-000375,-1.31327300597
ACH-000376,-1.34994824812
ACH-000381,-0.873917804464
ACH-000383,-1.39242609167
ACH-000387,-1.30989890407
ACH-000389,-1.31608571195
ACH-000390,-1.09330230351
ACH-000393,-1.4010498041400001
ACH-000395,-1.26041541065
ACH-000397,-0.926337017291
ACH-000401,-1.3488867426700002
ACH-000402,-1.13949745732
ACH-000403,-1.5857320595200002
ACH-000404,-1.17499482184
ACH-000406,-1.2847215111599999
ACH-000407,-1.27042677355
ACH-000408,-1.13389618785
ACH-000410,-1.16094331596
ACH-000411,-1.35012494905
ACH-000414,-1.25232934612
ACH-000415,-0.966996273558
ACH-000416,-1.18493185247
ACH-000420,-1.2033402558
ACH-000421,-1.02712644191
ACH-000424,-0.8985537826100001
ACH-000425,-1.0351687115500001
ACH-000426,-0.947766324569
