,NPAS1 (4861)
ACH-000004,-0.022359567661599997
ACH-000007,-0.15487138771199999
ACH-000009,-0.0804629141737
ACH-000011,-0.105263596899
ACH-000012,0.00192808579314
ACH-000013,-0.25722392873000005
ACH-000014,0.0475442161154
ACH-000015,-0.07853820231210001
ACH-000017,-0.00240936296534
ACH-000018,-0.331484603444
ACH-000019,0.41277064716300005
ACH-000021,-0.0803152700203
ACH-000022,-0.09179450126980002
ACH-000025,0.142944447733
ACH-000028,-0.185171199078
ACH-000030,-0.00201958350271
ACH-000035,-0.147279116419
ACH-000036,-0.025089706852799997
ACH-000037,-0.0197441657602
ACH-000039,0.324399352561
ACH-000040,0.124625046807
ACH-000041,-0.15343495908500002
ACH-000042,0.00300204210525
ACH-000045,0.127241431497
ACH-000047,-0.090160517042
ACH-000052,0.08335432663589999
ACH-000053,-0.211635487284
ACH-000054,-0.053135888653
ACH-000055,0.158031288261
ACH-000060,0.0340320225365
ACH-000067,-0.28790694987599996
ACH-000070,-0.370231061018
ACH-000075,-0.35482223500200005
ACH-000078,0.17011215089099999
ACH-000082,0.00380864126211
ACH-000085,-0.142750269539
ACH-000086,-0.142956766387
ACH-000087,-0.0288499558598
ACH-000092,-0.17152281837400002
ACH-000095,0.0632171493597
ACH-000097,-0.14776331973200002
ACH-000098,-0.0481739494073
ACH-000099,-0.00786577973867
ACH-000108,0.0302389120422
ACH-000113,-0.00658941090333
ACH-000115,-0.338390541118
ACH-000116,0.0593097023176
ACH-000118,-0.0236510226199
ACH-000120,-0.0032572915731599998
ACH-000123,-0.0923448343933
ACH-000127,-0.049623706639
ACH-000128,0.181601576976
ACH-000132,-0.137732123415
ACH-000133,-0.0612872684382
ACH-000137,-0.28248812711
ACH-000138,0.0231250767825
ACH-000142,0.09709069127460002
ACH-000143,0.255859488125
ACH-000146,0.050775476686699995
ACH-000148,0.00426768362473
ACH-000150,0.0956937329372
ACH-000152,-0.0567241810503
ACH-000153,-0.059193655149600004
ACH-000159,-0.139984173972
ACH-000160,-0.13213366799100001
ACH-000163,-0.00637300525993
ACH-000167,-0.125387142841
ACH-000168,-0.124291385613
ACH-000169,-0.0558250928597
ACH-000178,0.040431537174
ACH-000182,-0.23538933663400002
ACH-000183,0.17549868033100002
ACH-000188,-0.0949216284242
ACH-000189,-0.227528216171
ACH-000190,-0.015781236230899998
ACH-000198,-0.0300564236554
